apiname,achieved,unlock_time
COLLECT_FIVE_MASTERY_TOKENS,1,1593914133
SPEND_META_CURRENCY,1,1460571667
COMPLETE_GAME_WITH_ENCHANTED_GUN,1,1593038006
BEAT_FLOOR_SIX,1,1554663982
BUILD_BULLET,1,1532365158
BEAT_PAST_ALL,1,1540242959
BEAT_PAST_ROGUE,1,1540220268
BEAT_PAST_CONVICT,1,1540242959
BEAT_PAST_MARINE,1,1534345134
BEAT_PAST_GUIDE,1,1538958163
BEAT_FLOOR_FIVE,1,1532357450
BEAT_FLOOR_ONE_MULTI,1,1460409788
BEAT_FLOOR_TWO_MULTI,1,1531249919
BEAT_FLOOR_THREE_MULTI,1,1533547731
BEAT_FLOOR_FOUR_MULTI,1,1538957400
BEAT_FLOOR_FIVE_MULTI,1,1538241719
HAVE_MANY_COINS,1,1535803341
MAP_MAIN_FLOORS,1,1533679786
REACH_SEWERS,1,1460033854
REACH_CATHEDRAL,1,1535217580
COMPLETE_GOLEM_ARM,1,1535800328
COMPLETE_FRIFLE_MULTI,1,1594793967
ACE_WINCHESTER_MULTI,1,1536090738
COMPLETE_GUNSLING_MULTI,1,1461274227
UNLOCK_BULLET,1,1535752735
UNLOCK_ROBOT,1,1532365143
UNLOCK_FLOOR_TWO_SHORTCUT,1,1460391238
UNLOCK_FLOOR_THREE_SHORTCUT,1,1535751203
UNLOCK_FLOOR_FOUR_SHORTCUT,1,1537300353
UNLOCK_FLOOR_FIVE_SHORTCUT,1,1539207085
BEAT_MANFREDS_RIVAL,1,1460644699
BEAT_TUTORIAL,1,1459863338
POPULATE_BREACH,1,1533679786
PREFIRE_ON_MIMIC,1,1460287518
KILL_FROZEN_ENEMY_WITH_ROLL,1,1460383297
PUSH_TABLE_INTO_PIT,1,1459892929
STEAL_MULTI,1,1461250621
KILL_BOSS_WITH_GLITTER,1,1460289274
FALL_IN_END_TIMES,1,1532357542
KILL_WITH_CHANDELIER_MULTI,1,1462482883
KILL_IN_MINE_CART_MULTI,1,1532633021
KILL_WITH_PITS_MULTI,1,1460416120
DIE_IN_PAST,1,1532365837
BEAT_A_JAMMED_BOSS,1,1533679091
REACH_BLACK_MARKET,1,1461191064
HAVE_MAX_CURSE,1,1535496802
FLIP_TABLES_MULTI,1,1459940665
COMPLETE_GAME_WITH_BEAST_MODE,1,1532357450
BEAT_PAST_ROBOT,1,1537302976
BEAT_PAST_BULLET,1,1537194133
COMPLETE_GAME_WITH_CHALLENGE_MODE,1,1593139587
BEAT_ADVANCED_DRAGUN,1,1554663393
BEAT_METAL_GEAR_RAT,1,1539301811
COMPLETE_GAME_WITH_TURBO_MODE,1,1539727817
