apiname,achieved,unlock_time
CINE01,1,1739371239
CINE02,1,1739373460
CINE03,1,1739391130
CINE04,1,1739399321
CINE05,1,1739400303
CINE06,1,1739404796
CINE07,1,1739479018
CINE08,1,1739481079
CINE09,1,1739486051
CINE10,1,1739559532
CINE11,1,1739576075
CINE12,1,1739586012
MISSIONCOMPLETE01,1,1739587367
MISSIONCOMPLETE02,1,1739713157
MISSIONCOMPLETE03,1,1739870780
MISSIONCOMPLETE04,1,1740033714
MISSIONCOMPLETE05,1,1740100970
BRANCH01,1,1739573364
BRANCH02,1,1739579622
BRANCH03,1,1739675005
BRANCH04,1,1739477424
BRANCH05,1,1739584387
BRANCH06,1,1739578960
BRANCH07,1,1739675005
RIDDLER01,1,1739609772
RIDDLER02,1,1739687625
RIDDLER03,1,1739747181
RIDDLER04,1,1739706637
RIDDLER05,1,1739762714
RIDDLER06,1,1739657706
RIDDLER07,1,1739926122
RPG01,1,1739395500
RPG02,1,1739474748
RPG03,1,1739484613
RPG04,1,1739482318
RPG05,1,1739478387
RPG06,1,1739657706
RPG07,1,1739570272
RPG08,1,1739569047
RPG09,1,1739708017
RPG10,1,1739774826
RPG11,1,1740058809
RPG12,1,1739369941
RPG13,1,1739591086
RPG14,1,1739691556
RPG15,1,1739691644
RPG16,1,1739747196
RPG17,1,1739713157
RPG18,1,1739836861
EXPLORE01,1,1739687625
