apiname,achieved,unlock_time
Variant_TheSuperScientificTachyonCharacter,1,1467237472
Base_LargeAttack,1,1458481429
Base_WinGame,1,1458477854
Base_DefeatAllVillains,1,1467156789
Base_DefeatAllAdvanced,1,1561056636
Base_DefeatAllEnvironments,1,1458860959
Base_WinFullHP,1,1559503577
Base_CumulativeDamage,1,1559441949
Base_DefeatNemeses,1,1561327201
Base_CumulativeHeal,1,1458775340
Base_LastHeroStanding,1,1560109397
Base_NoPowers,1,1559511142
Base_NoCards,1,1559511141
Base_RedirectMany,1,1559518074
Base_MultiplayerInfection,1,1561402233
Variant_GIBunkerCharacter,1,1467333868
Variant_RookCityWraithCharacter,1,1467333697
Variant_YoungLegacyCharacter,1,1458479715
Variant_MadBomberBladeCharacter,1,1561312441
Variant_CosmicOmnitronCharacter,1,1559434106
Variant_AmericasGreatestLegacyCharacter,1,1558912018
Variant_DarkWatchMrFixerCharacter,1,1560039002
Variant_DarkWatchExpatrietteCharacter,1,1559421557
Variant_DarkVisionaryCharacter,1,1559514374
Variant_RaHorusOfTwoHorizonsCharacter,1,1559497594
Variant_RedeemerFanaticCharacter,1,1559442891
Variant_DarkWatchNightMistCharacter,1,1560047545
Variant_GloomWeaverSkinWalkerCharacter,1,1561493822
Variant_SpiteAgentOfGloomCharacter,1,1561489682
Variant_TheEternalHakaCharacter,1,1558918597
Variant_TheScholarOfTheInfiniteCharacter,1,1560080250
Variant_AbsoluteZeroFreedomSixCharacter,1,1558987631
Variant_BunkerFreedomSixCharacter,1,1559255029
Variant_TachyonFreedomSixCharacter,1,1559258334
Variant_TempestFreedomSixCharacter,1,1559258342
Variant_TheWraithFreedomSixCharacter,1,1560034955
Variant_UnityFreedomSixCharacter,1,1559261017
Variant_HeroicInfinitorCharacter,1,1561418418
Variant_OmnitronUCharacter,1,1560091059
Variant_SantaGuiseCharacter,1,1560103942
Variant_DarkWatchSetbackCharacter,1,1560125780
Variant_PrimeWardensArgentAdeptCharacter,1,1559486646
Variant_PrimeWardensCaptainCosmicCharacter,1,1560096278
Variant_PrimeWardensFanaticCharacter,1,1559489189
Variant_PrimeWardensHakaCharacter,1,1559493427
Variant_PrimeWardensTempestCharacter,1,1559505996
Variant_KnyfeRogueAgentCharacter,1,1560109103
Variant_TheHuntedNaturalistCharacter,1,1560114277
Variant_AdamantSentinelsInstructions,1,1560118898
Base_DefeatAllChallenge,1,1561323422
Base_DefeatAllAdvancedChallenge,1,1561328499
Variant_TermiNationAbsoluteZeroCharacter,1,1559424878
Variant_TermiNationBunkerCharacter,1,1559437728
Variant_TermiNationUnityCharacter,1,1560037343
Variant_TricksterKismetCharacter,1,1561419543
Variant_FugueStateParseCharacter,1,1560116281
Variant_XtremePrimeWardensArgentAdeptCharacter,1,1560041812
Variant_XtremePrimeWardensCaptainCosmicCharacter,1,1560099547
Variant_XtremePrimeWardensFanaticCharacter,1,1559480489
Variant_XtremePrimeWardensHakaCharacter,1,1559495284
Variant_XtremePrimeWardensTempestCharacter,1,1559506496
Variant_ChronoRangerBestOfTimesCharacter,1,1560081446
Variant_DarkConductorArgentAdeptCharacter,1,1560043289
Variant_ExtremistSkyScraperNormalCharacter,1,1560102251
Variant_CaptainCosmicRequitalCharacter,1,1560093068
Variant_TheVisionaryUnleashedCharacter,1,1559518733
Variant_FreedomFiveAbsoluteZeroCharacter,1,1561678271
Variant_FreedomFiveBunkerCharacter,1,1561678275
Variant_FreedomFiveLegacyCharacter,1,1561681622
Variant_FreedomFiveTachyonCharacter,1,1561678279
Variant_FreedomFiveWraithCharacter,1,1561678282
Variant_RaSettingSunCharacter,1,1559503553
Variant_ActionHeroStuntmanCharacter,1,1561215295
Variant_BenchmarkSupplyAndDemandCharacter,1,1561208817
Variant_VoidGuardDrMedicoMalpracticeCharacter,1,1561291979
Variant_VoidGuardSuperSentaiIdealistCharacter,1,1561295790
Variant_VoidGuardRoadWarriorMainstayCharacter,1,1561300822
Variant_VoidGuardWritheCosmicInventorCharacter,1,1561302523
Variant_AkashThriyaSpiritOfTheVoidCharacter,1,1561306865
Variant_LaComodoraCurseOfTheBlackSpotCharacter,1,1561311359
Variant_DarkWatchHarpyCharacter,1,1561400540
Variant_HeroicLuminaryCharacter,1,1561414128
Variant_LifelineBloodMageCharacter,1,1561408938
Variant_CompletionistGuiseCharacter,1,1562089905
Base_DefeatClassicVillains,1,1603655629
Base_DefeatClassicAdvanced,1,1603655628
Base_DefeatClassicChallenge,1,1603655628
Base_DefeatClassicUltimate,1,1603655628
Base_DefeatTeamVillains,1,1604182368
Base_DefeatTeamAdvanced,1,1604182367
Base_DefeatTeamChallenge,1,1604182368
Base_DefeatTeamUltimate,1,1604182368
Base_DefeatExpansionEnvironments,1,1603579440
Base_DefeatOblivAeon,1,1606768971
Base_DefeatOblivAeonAdvanced,1,1734125534
Base_DefeatOblivAeonChallenge,1,1734125534
Base_DefeatOblivAeonUltimate,1,1734125535
Base_DefeatAllShields,1,1730481862
Base_EarnAllRewards,1,1734133373
Base_TrueEnding,1,1734137298
