apiname,achieved,unlock_time
LEMON_STANDS_100,1,1430619215
OIL_RIG_1,1,1430626037
EVERYTHING_100,1,1430700770
EVERYTHING_1000,1,1431383040
EVERYTHING_3000,1,1431885958
ALL_ACHIEVEMENTS,1,1469937672
BUY_EARTH,1,1431383241
ANGEL_100K,1,1431112834
DECILLION,1,1431344635
GOOGALAIRE,1,1431420775
CAPITALISM_CLASSIC,1,1437704680
META_REFERENCE,1,1437704649
ACCURATE_DESCRIPTION,1,1469939973
LIFES_MANAGER,1,1437705047
TRIUMPH,1,1469040838
OMINOUS,1,1437704649
DELEGATION,1,1446027170
ONE_SMALL_STEP,1,1437704686
HERE_WE_GO_AGAIN,1,1437704686
OVER_9000,1,1460459027
MOON_WALK,1,1460444791
LUCKY_DUCKY,1,1460442832
THAT_ACHIEVEMENTS_NAME,1,1437704686
MOONUMENTAL_ACHIEVEMENT,1,1460456956
DIVINE_INTERVENTION,1,1437704686
ONE_MORE,1,1460457290
MOOGAL,1,1460443328
TWO_DECILLION_WINGS,1,1443201577
GALLERY_TOUR,1,1437704878
RELEASE_THE_HOUNDS,1,1468961762
MARS_ATTACKS,1,1468961804
