apiname,achieved,unlock_time
finished_adventure,1,1613490166
gold_sunflower_trophy,1,1613626047
izombie_streak,1,1646468278
vasebreaker_streak,1,1646468278
survival_streak,1,1646468278
all_plants,1,1615033153
tall_tree,1,1621082447
secret_zombie,1,1618932434
hypnotize_dancer,1,1613449168
potato_mine,1,1613445199
cherry_bomb,1,1613532977
mustache_mode,1,1617979732
pea_pool,1,1617980386
roll_heads,1,1613459236
grounded,1,1618933225
penny_pincher,1,1613448383
sunny_days,1,1617117844
popcorn,1,1619171693
good_morning,1,1619231879
no_fungus,1,1617513684
minigames,1,1613543799
