apiname,achieved,unlock_time
SUMMON_FIRST_CREATURE,1,1439226774
GAMBLING_LUCKY_7,1,1440278469
REALM_LEVEL_5,1,1439304738
REALM_LEVEL_10,1,1439761761
REALM_LEVEL_25,1,1440440223
REALM_LEVEL_50,1,1441050025
REALM_LEVEL_100,1,1442090924
REALM_LEVEL_250,1,1442956384
REALM_LEVEL_500,1,1443635734
REALMS_COUNT_25,1,1439322352
REALMS_COUNT_50,1,1439415555
REALMS_COUNT_100,1,1439638053
REALMS_COUNT_250,1,1440184872
REALMS_COUNT_500,1,1441481098
REALMS_COUNT_1000,1,1443018463
REALMS_COUNT_2500,1,1446492757
REALMS_COUNT_5000,1,1459264074
FLIRT_100,1,1464122602
FIRST_ARENA,1,1440188880
FIRST_GEMBOX,1,1439395220
FIRST_LUCKYGEMBOX,1,1439396876
UPGRADE_BLACKSMITH,1,1439241891
UPGRADE_ENCHANTER,1,1439296819
UPGRADE_EMBLEMSHOP,1,1439399646
UPGRADE_ARENA,1,1439481964
UPGRADE_HATCHERY,1,1439672821
UPGRADE_GEMTEMPLE,1,1439391837
DONATE_EMBLEMS_1,1,1439413328
DONATE_EMBLEMS_10,1,1439413328
DONATE_EMBLEMS_50,1,1439461565
DONATE_EMBLEMS_100,1,1439590446
DONATE_EMBLEMS_250,1,1440013322
DONATE_EMBLEMS_1000,1,1442167660
DONATE_EMBLEMS_500,1,1440846169
EMBLEMSHOP_FIRST_PURCHASE,1,1439413920
USE_PLASMAPORTAL,1,1439304662
USE_PENTAGRAM,1,1439296650
USE_MIRRORBALL,1,1439401838
KILL_PANDEMONIUMKING,1,1439589269
DUTIES_1,1,1439230478
DUTIES_10,1,1439300061
DUTIES_25,1,1439398140
DUTIES_50,1,1439498446
DUTIES_100,1,1439753545
DUTIES_250,1,1440448763
DUTIES_500,1,1442164019
DUTIES_1000,1,1443382789
DUTIES_2500,1,1456346535
DUTIES_5000,1,1459701276
OBTAIN_ORB,1,1439649523
USE_SHARD,1,1439457084
RITUALS_1,1,1439239963
RITUALS_5,1,1439299018
RITUALS_25,1,1439401684
RITUALS_50,1,1439473765
RITUALS_100,1,1439638854
CHANGE_CLASS,1,1439659465
CREATE_EGG,1,1439672699
GEMS_CREATED_1,1,1439393715
GEMS_CREATED_15,1,1439393999
GEMS_CREATED_50,1,1439642672
GEMS_CREATED_100,1,1439643810
GEMS_CREATED_250,1,1439748774
GEMS_CREATED_500,1,1440443248
GEMS_ENCHANTED_1,1,1439396678
GEMS_ENCHANTED_15,1,1439406229
GEMS_ENCHANTED_50,1,1439647640
GEMS_ENCHANTED_100,1,1439758669
GEMS_ENCHANTED_250,1,1440624020
GEMS_ENCHANTED_500,1,1441394127
UPGRADE_ALL_REALMS,1,1439324283
BATTLES_WON_1,1,1439226871
BATTLES_WON_10,1,1439230544
BATTLES_WON_50,1,1439294485
BATTLES_WON_100,1,1439306928
BATTLES_WON_250,1,1439415034
BATTLES_WON_500,1,1439585051
BATTLES_WON_1000,1,1439835975
BATTLES_WON_2500,1,1441312740
BATTLES_WON_5000,1,1443018285
BATTLES_WON_10000,1,1446317738
ARENA_STREAK_5,1,1440189200
ARENA_STREAK_10,1,1440710925
ARENA_STREAK_15,1,1440711298
ARENA_STREAK_20,1,1441053668
ARENA_STREAK_25,1,1441130320
ARENA_STREAK_30,1,1441907058
ARENA_STREAK_35,1,1441907416
ARENA_STREAK_40,1,1443468254
ARENA_STREAK_45,1,1443468427
ARENA_STREAK_50,1,1443468574
ARENA_STREAK_55,1,1443468684
ARENA_STREAK_60,1,1443468813
ARENA_STREAK_65,1,1443468931
ARENA_STREAK_70,1,1443469060
ARENA_STREAK_75,1,1443469154
ARENA_STREAK_80,1,1443469314
ARENA_STREAK_85,1,1443469421
ARENA_STREAK_90,1,1443469518
ARENA_STREAK_95,1,1443469708
ARENA_STREAK_100,1,1443469836
EGGS_HATCHED_1,1,1439673906
EGGS_HATCHED_3,1,1440846252
EGGS_HATCHED_6,1,1441572324
EGGS_HATCHED_10,1,1442426299
EGGS_HATCHED_15,1,1442698094
HATCH_DEMON,1,1441134633
CHESTS_5,1,1439230877
CHESTS_25,1,1439241664
CHESTS_250,1,1439499118
CHESTS_500,1,1439756593
CHESTS_1000,1,1441039665
CHESTS_2500,1,1443295076
CHESTS_5000,1,1456506354
CHESTS_100,1,1439391366
EXTRACT_1,1,1439238539
EXTRACT_10,1,1439239371
EXTRACT_25,1,1439294088
EXTRACT_100,1,1439307113
EXTRACT_200,1,1439397437
EXTRACT_300,1,1439458647
EXTRACT_500,1,1439577917
EXTRACT_1000,1,1440356611
ARTIFACT_LEVEL_10,1,1439646458
FORGE_1,1,1439242180
FORGE_10,1,1439494690
FORGE_25,1,1440103101
FORGE_50,1,1440624066
FORGE_100,1,1442511177
SALVAGE_1,1,1439392071
SALVAGE_50,1,1439635678
SALVAGE_100,1,1440016063
SALVAGE_250,1,1440842266
SALVAGE_500,1,1444486481
REFORGE_1,1,1439305108
REFORGE_50,1,1439417487
REFORGE_100,1,1439469752
REFORGE_250,1,1439661364
REFORGE_500,1,1439926870
ENCHANT_1,1,1439297301
ENCHANT_10,1,1439457731
ENCHANT_50,1,1439926620
ENCHANT_100,1,1440682621
ENCHANT_250,1,1442939172
ENCHANT_500,1,1464120795
ENCHANT_1000,1,1464122368
DISENCHANT_1,1,1439297141
DISENCHANT_10,1,1440103295
DISENCHANT_25,1,1440618586
DISENCHANT_50,1,1441831822
DISENCHANT_100,1,1442680887
MAXED_ROYALTY_PERK,1,1439844666
MINOR_SIGILS_1,1,1439833300
MINOR_SIGILS_10,1,1439838457
MINOR_SIGILS_25,1,1440098377
MINOR_SIGILS_50,1,1440358368
MINOR_SIGILS_100,1,1442261573
MINOR_SIGILS_250,1,1443733528
MINOR_SIGILS_500,1,1452953685
MINOR_SIGILS_1000,1,1453826509
MAJOR_SIGILS_1,1,1439836861
MAJOR_SIGILS_10,1,1439931767
MAJOR_SIGILS_25,1,1440191145
MAJOR_SIGILS_50,1,1441042043
MAJOR_SIGILS_100,1,1442257926
MAJOR_SIGILS_250,1,1454140915
MAJOR_SIGILS_UNIQUE_10,1,1440012024
MAJOR_SIGILS_UNIQUE_20,1,1440190141
MAJOR_SIGILS_UNIQUE_50,1,1442173980
MAJOR_SIGILS_UNIQUE_100,1,1442258944
MAJOR_SIGILS_UNIQUE_200,1,1458502332
MAJOR_SIGILS_UNIQUE_300,1,1458578845
POWERSPELLS_1,1,1439310555
POWERSPELLS_10,1,1439582978
POWERSPELLS_25,1,1439648079
POWERSPELLS_50,1,1439666665
POWERSPELLS_100,1,1439932779
POWERSPELLS_250,1,1441479529
POWERSPELLS_500,1,1443818657
POWERSPELLS_1000,1,1445444418
TRANSMUTE_1,1,1439297194
TRANSMUTE_25,1,1439495470
TRANSMUTE_100,1,1439495536
TRANSMUTE_250,1,1439669344
TRANSMUTE_500,1,1440011830
TRANSMUTE_1000,1,1440682172
TRANSMUTE_2500,1,1442093608
TRANSMUTE_5000,1,1445162026
TRANSMUTE_10000,1,1457964202
KILLS_10,1,1439230459
KILLS_100,1,1439294370
KILLS_250,1,1439300725
KILLS_500,1,1439323987
KILLS_1000,1,1439402580
KILLS_2500,1,1439578483
KILLS_5000,1,1439750836
KILLS_10000,1,1440354563
KILLS_25000,1,1442603865
KILLS_50000,1,1445624767
KILLS_100000,1,1459001286
SUMMON_5,1,1439297797
SUMMON_25,1,1439659613
SUMMON_50,1,1439660069
SUMMON_100,1,1439668849
SUMMON_150,1,1439931382
SUMMON_200,1,1440281489
SUMMON_250,1,1440683743
SUMMON_300,1,1441053046
PLAYER_LEVEL_5,1,1439230478
PLAYER_LEVEL_10,1,1439239323
PLAYER_LEVEL_20,1,1439300061
PLAYER_LEVEL_30,1,1439323526
PLAYER_LEVEL_40,1,1439400630
PLAYER_LEVEL_50,1,1439461164
PLAYER_LEVEL_60,1,1439499823
PLAYER_LEVEL_70,1,1439636168
PLAYER_LEVEL_80,1,1439649772
PLAYER_LEVEL_90,1,1439748556
PLAYER_LEVEL_100,1,1439839445
PLAYER_LEVEL_120,1,1440099455
PLAYER_LEVEL_140,1,1440358664
PLAYER_LEVEL_160,1,1440775288
PLAYER_LEVEL_180,1,1441038933
PLAYER_LEVEL_200,1,1441123987
PLAYER_LEVEL_250,1,1441912127
PLAYER_LEVEL_300,1,1442090924
PLAYER_LEVEL_400,1,1442259924
PLAYER_LEVEL_500,1,1442426682
KILL_TREASURE_GOLEM,1,1439638645
CREATURE_LEVEL_5,1,1439230478
CREATURE_LEVEL_10,1,1439231655
CREATURE_LEVEL_20,1,1439295802
CREATURE_LEVEL_30,1,1439307430
CREATURE_LEVEL_40,1,1439391207
CREATURE_LEVEL_50,1,1439414608
CREATURE_LEVEL_60,1,1439475176
CREATURE_LEVEL_70,1,1439578211
CREATURE_LEVEL_80,1,1439637569
CREATURE_LEVEL_90,1,1439654553
CREATURE_LEVEL_100,1,1439750237
CREATURE_LEVEL_120,1,1439927691
CREATURE_LEVEL_140,1,1440105665
CREATURE_LEVEL_160,1,1440354455
CREATURE_LEVEL_180,1,1440450462
CREATURE_LEVEL_200,1,1440931756
CREATURE_LEVEL_250,1,1441132947
CREATURE_LEVEL_300,1,1442165777
CREATURE_LEVEL_400,1,1442347508
CREATURE_LEVEL_500,1,1442510640
BREAK_25,1,1439238659
BREAK_100,1,1439299060
BREAK_500,1,1439458346
BREAK_1000,1,1439646015
BREAK_5000,1,1442690064
BREAK_10000,1,1452704185
BREAK_25000,0,0
BREAK_2500,1,1440441611
RES_10,1,1439231037
RES_50,1,1439300784
RES_100,1,1439324096
RES_250,1,1439455683
RES_500,1,1439643315
RES_1000,1,1440184083
RES_2500,1,1442960532
RES_5000,1,1456596171
SHRINES_1,1,1439230038
SHRINES_10,1,1439299699
SHRINES_25,1,1439393031
SHRINES_50,1,1439469467
SHRINES_100,1,1439660683
SHRINES_250,1,1440623049
SHRINES_500,1,1442608917
SHRINES_1000,1,1445962831
TOKENS_1,1,1439231791
TOKENS_10,1,1439588933
TOKENS_25,1,1439640567
TOKENS_50,1,1439662031
TOKENS_100,1,1439754364
TOKENS_250,1,1440933046
TOKENS_500,1,1463327902
TOKENS_1000,1,1463928731
DAILYREALM_CONSECUTIVE_5,1,1440011485
DAILYREALM_CONSECUTIVE_10,1,1441566539
DAILYREALM_CONSECUTIVE_15,1,1442163397
DAILYREALM_CONSECUTIVE_20,1,1442603912
DAILYREALM_CONSECUTIVE_25,1,1443017610
DAILYREALM_CONSECUTIVE_30,1,1443470734
DAILYREALM_CONSECUTIVE_35,1,1443887394
DAILYREALM_CONSECUTIVE_40,1,1444937793
DAILYREALM_CONSECUTIVE_45,1,1445875239
DAILYREALM_CONSECUTIVE_50,1,1445875239
DAILYREALM_CLEARS_1,1,1439395735
DAILYREALM_CLEARS_10,1,1440537797
DAILYREALM_CLEARS_20,1,1441658011
DAILYREALM_CLEARS_30,1,1442695438
DAILYREALM_CLEARS_40,1,1443548193
DAILYREALM_CLEARS_50,1,1445029586
DAILYREALM_CLEARS_60,1,1445959092
DAILYREALM_CLEARS_70,1,1446823775
DAILYREALM_CLEARS_80,1,1453319561
DAILYREALM_CLEARS_90,1,1454700222
DAILYREALM_CLEARS_100,1,1457111982
CONSUME_100,1,1439588663
CONSUME_250,1,1439654078
CONSUME_500,1,1439761768
CONSUME_1000,1,1440194860
CONSUME_2500,1,1442172955
CONSUME_5000,1,1446284644
CONSUME_10000,1,1460193699
CONSUME_50,1,1439581670
SPELLS_UNIQUE_5,1,1439232245
SPELLS_UNIQUE_10,1,1439240240
SPELLS_UNIQUE_25,1,1439328272
SPELLS_UNIQUE_50,1,1439499943
SPELLS_UNIQUE_75,1,1439658872
SPELLS_UNIQUE_100,1,1440105570
ABILITIES_UNIQUE_10,1,1439239440
ABILITIES_UNIQUE_20,1,1439303238
ABILITIES_UNIQUE_50,1,1439413920
ABILITIES_UNIQUE_100,1,1439589305
ABILITIES_UNIQUE_200,1,1439848210
ABILITIES_UNIQUE_300,1,1440359876
