apiname,achieved,unlock_time
HIGHEST_ZONE_10,1,1478609201
HIGHEST_ZONE_20,1,1478611810
HIGHEST_ZONE_50,1,1478621927
HIGHEST_ZONE_100,1,1478867456
HIGHEST_ZONE_120,1,1478963067
HIGHEST_ZONE_140,1,1478965491
HIGHEST_ZONE_160,1,1478965986
HIGHEST_ZONE_OMEET,1,1478867456
HIGHEST_ZONE_200,1,1479211313
HIGHEST_ZONE_300,1,1480569875
HIGHEST_ZONE_400,1,1480671569
HIGHEST_ZONE_500,1,1482056123
HIGHEST_ZONE_600,1,1482389476
HIGHEST_ZONE_700,1,1482755246
HIGHEST_ZONE_800,1,1485443277
HIGHEST_ZONE_900,1,1485444716
HIGHEST_ZONE_1000,1,1485530965
HIGHEST_ZONE_1200,1,1485876122
HIGHEST_ZONE_1400,1,1486216704
HIGHEST_ZONE_1600,1,1486554248
HIGHEST_ZONE_1800,1,1489329814
HIGHEST_ZONE_2000,1,1490009696
HIGHEST_ZONE_2200,1,1490701058
HIGHEST_ZONE_2400,1,1513855663
HIGHEST_ZONE_2600,1,1513860737
ASCENSIONS_1,1,1478950889
ASCENSIONS_3,1,1479212240
ASCENSIONS_5,1,1479632183
ASCENSIONS_10,1,1480673522
ASCENSIONS_25,1,1484861150
ASCENSIONS_50,1,1488278556
ASCENSIONS_100,1,1502098239
ASCENSIONS_250,1,1508934440
BOSSES_KILLED_10,1,1478611753
BOSSES_KILLED_100,1,1479193418
BOSSES_KILLED_1000,1,1481725996
"BOSSES_KILLED_10,000",1,1489911916
"BOSSES_KILLED_100,000",1,1503747441
HERO_LEVELS_100,1,1478609969
HERO_LEVELS_500,1,1478613422
HERO_LEVELS_2500,1,1478802967
"HERO_LEVELS_10,000",1,1479145180
"HERO_LEVELS_25,000",1,1482396625
"HERO_LEVELS_50,000",1,1487923224
MONSTERS_KILLED_100,1,1478608981
MONSTERS_KILLED_1000,1,1478614463
"MONSTERS_KILLED_10,000",1,1478969170
"MONSTERS_KILLED_100,000",1,1480604749
"MONSTERS_KILLED_1,000K",1,1491314952
"MONSTERS_KILLED_1,500K",1,1495864207
TOTAL_CLICKS_1000,1,1478608791
"TOTAL_CLICKS_10,000",1,1478613486
"TOTAL_CLICKS_50,000",1,1478950398
"TOTAL_CLICKS_100,000",1,1478955131
"TOTAL_CLICKS_250,000",1,1478995436
"TREASURES_10,000",1,1488275242
UPGRADES_25,1,1478613306
UPGRADES_50,1,1478619438
UPGRADES_100,1,1478830812
UPGRADES_200,1,1478960192
HIGHEST_ZONE_2800,1,1513928569
HIGHEST_ZONE_3000,1,1513935734
HIGHEST_ZONE_3200,1,1514393451
HIGHEST_ZONE_3400,1,1515144627
HIGHEST_ZONE_3600,1,1515145479
BURY_MERC_5,1,1479891670
BURY_MERC_25,1,1487567830
BURY_MERC_100,0,0
REVIVE_MERC_5,1,1484375013
REVIVE_MERC_25,0,0
REVIVE_MERC_100,0,0
GOLD_QUEST_5,1,1479196263
GOLD_QUEST_25,1,1479314498
GOLD_QUEST_100,1,1480599909
GOLD_QUEST_500,1,1494518695
RELIC_QUEST_5,1,1479191949
RELIC_QUEST_25,1,1479897391
RELIC_QUEST_100,1,1484337362
RELIC_QUEST_500,1,1495177548
RUBY_QUEST_5,1,1479226351
RUBY_QUEST_25,1,1479985322
RUBY_QUEST_100,1,1485061506
RUBY_QUEST_500,1,1496242281
SOUL_QUEST_5,1,1479626818
SOUL_QUEST_25,1,1480610710
SOUL_QUEST_100,1,1484826170
SOUL_QUEST_500,1,1488966370
FIVE_MIN_QUEST_10,1,1479274320
FIVE_MIN_QUEST_50,1,1480569875
FIVE_MIN_QUEST_250,1,1486138110
FIVE_MIN_QUEST_1000,1,1515993181
BURY_LEEROY_1,1,1508858035
HIGHEST_MERCENARY_5,1,1480578931
HIGHEST_MERCENARY_10,1,1483910253
HIGHEST_MERCENARY_15,1,1485082601
HIGHEST_MERCENARY_20,1,1485839776
HIGHEST_MERCENARY_25,1,1486742264
RAREST_MERCENARY_4,1,1487516052
MERCENARY_COUNT_5,1,1479190909
TRANSCENSION_1,1,1480673750
HIGHEST_TRANSCEND_ZONE_4000,1,1540317385
HIGHEST_TRANSCEND_ZONE_5000,0,0
HIGHEST_TRANSCEND_ZONE_7500,0,0
HIGHEST_TRANSCEND_ZONE_10000,0,0
HIGHEST_TRANSCEND_ZONE_15000,0,0
HIGHEST_TRANSCEND_ZONE_20000,0,0
HIGHEST_TRANSCEND_ZONE_30000,0,0
ANCIENT_SOULS_50,1,1513861173
ANCIENT_SOULS_100,0,0
ANCIENT_SOULS_200,0,0
ANCIENT_SOULS_500,0,0
