apiname,achieved,unlock_time
metric_mile,1,1441386702
around_the_world,1,1513761670
pretty_fast,1,1441386793
really_fast,1,1441387389
complete_forest,1,1441388622
complete_volcano,1,1452261216
complete_desert,1,1452623847
complete_space,1,1458602698
complete_abstract,1,1459029496
complete_forest_marathon,1,1452684169
complete_volcano_marathon,1,1459022417
complete_desert_marathon,1,1459066577
complete_space_marathon,1,1459443411
complete_abstract_marathon,1,1459064923
jump_amount_1,1,1441387664
jump_amount_2,1,1452170320
jump_amount_3,1,1452270851
air_time_1,1,1441387070
air_time_2,1,1452118970
air_time_3,1,1452270607
air_time_4,1,1452624787
death_1,1,1441387664
death_2,1,1452118128
death_3,1,1452621372
forest_trophys_collected,1,1452271596
volcano_trophys_collected,1,1452274121
desert_trophys_collected,1,1459066994
space_trophys_collected,1,1459527861
abstract_trophys_collected,1,1459598698
trophy_hunter,1,1512267305
otherworld_trophys_collected,1,1512267304
complete_otherworld,1,1512259487
complete_otherworld_marathon,1,1512261682
