apiname,achieved,unlock_time
ACH_SACRIFICE_4_SURVIVORS_IAM,1,1639088550
ACH_SACRIFICE_100_CAMPERS,1,1639830857
ACH_SACRIFICE_1000_CAMPERS,1,1654816510
ACH_KILL_1_CAMPER,1,1639605592
ACH_KILL_4_CAMPERS_IAM,1,1641767913
ACH_KILL_25_CAMPERS,1,1649457972
ACH_100_PICKUP_TRAPPED,1,1647902910
ACH_100_CHASE_INVISIBLE,1,1644186022
ACH_100_CHAINSAW,1,1648507783
ACH_HOOKED_ESCAPE,1,1644882273
ACH_50_ESCAPES,1,1642113784
ACH_ESCAPE_KO,1,1577995971
ACH_HATCH_ESCAPE,1,1577728615
ACH_4CAMPERS_ESCAPE,1,1651875731
ACH_HEALDYING_OR_UNHOOK,1,1577882072
ACH_HEALDYING_OR_UNHOOK_POSTEXIT,1,1636412925
ACH_HEAL,1,1638656061
ACH_REPAIR,1,1578056869
ACH_SKILL_CHECK,1,1578403609
ACH_CAMPER_MAXSCORE_BYCAT,1,1577635389
ACH_SLASHER_MAXSCORE_BYCAT,1,1639348766
ACH_10K_POINTS_ONECATEGORY,1,1577545530
ACH_BLOODWEB_LVL10,1,1570388293
ACH_BLOODWEB_LVL50,1,1577730177
ACH_BLOODWEB_1M_PTS,1,1577961065
ACH_CAMPER_RANK10,1,1644105016
ACH_CAMPER_RANK05,1,1646951355
ACH_CAMPER_RANK01,1,1649252441
ACH_RANKING,1,1507535319
ACH_SLASHER_RANK10,1,1641905769
ACH_SLASHER_RANK05,1,1651274964
ACH_SLASHER_RANK01,1,1651616692
ACH_BURN_ULTRARARE_OFFERING,1,1639436761
ACH_FULLLOADOUT_CAMPER,1,1577635841
ACH_FULLLOADOUT_SLASHER,1,1639253091
ACH_EQUIPANDESCAPE_ULTRARARE,1,1635091939
ACH_ESCAPE_WITH_ITEM,1,1507534119
ACH_ESCAPE_WITH_ITEM_FROM,1,1636929576
ACH_UNLOCK_JACK_PERKS,1,1640960105
ACH_UNLOCK_DWIGHT_PERKS,1,1577808054
ACH_UNLOCK_CLAUDETTE_PERKS,1,1578043197
ACH_UNLOCK_MEG_PERKS,1,1578221517
ACH_UNLOCK_CHUCKLES_PERKS,1,1647728315
ACH_UNLOCKBANSHEE_PERKS,1,1644072099
ACH_UNLOCKHILLBILY_PERKS,1,1644326203
ACH_PERK_LVL3,1,1577546443
ACH_PRESTIGE_LVL1,1,1635106172
ACH_PRESTIGE_LVL2,1,1636748798
ACH_PRESTIGE_LVL3,1,1640605048
ACH_PRESTIGE_LVL3_100,1,1642711968
ACH_NOBLOOD_ASYLUM,1,1577808054
ACH_2NDFLOORREPAIR_ASYLUM,1,1577972371
ACH_USE_NEA_PERKS,1,1641074027
ACH_DLC1_KILLER_1,1,1658574295
ACH_DLC1_KILLER_2,1,1654343458
ACH_DLC1_KILLER_3,1,1652571496
ACH_DLC2_KILLER_1,1,1651705656
ACH_DLC2_SURVIVOR_1,1,1641081190
ACH_DLC2_KILLER_2,1,1654114197
ACH_DLC2_KILLER_3,1,1652485386
ACH_DLC2_SURVIVOR_2,1,1651877901
ACH_DLC2_SURVIVOR_3,1,1640959393
ACH_DLC3_KILLER_1,1,1648473543
ACH_DLC3_KILLER_3,1,1648426289
ACH_DLC3_SURVIVOR_1,1,1637184651
ACH_DLC3_SURVIVOR_2,1,1658532069
ACH_DLC3_SURVIVOR_3,1,1641130736
