apiname,achieved,unlock_time
CPUCORES_ACHIEVEMENT_LAUNCH,1,1483399789
CPUCORES_ACHIEVEMENT_CORE1,1,1483399789
CPUCORES_ACHIEVEMENT_CORE2,1,1483399789
CPUCORES_ACHIEVEMENT_CORE4,1,1483399789
CPUCORES_ACHIEVEMENT_CORE6,1,1546080894
CPUCORES_ACHIEVEMENT_CORE8,1,1546080894
CPUCORES_ACHIEVEMENT_THEME_HALLOWEEN,1,1483399789
CPUCORES_ACHIEVEMENT_HOURS_24,1,1511582364
CPUCORES_ACHIEVEMENT_HOURS_48,1,1511628296
CPUCORES_ACHIEVEMENT_HOURS_100,1,1512087669
CPUCORES_ACHIEVEMENT_HOURS_250,1,1512988633
CPUCORES_ACHIEVEMENT_HOURS_500,1,1514789787
CPUCORES_ACHIEVEMENT_HOURS_1000,1,1518083213
CPUCORES_ACHIEVEMENT_HOURS_2000,1,1524924509
CPUCORES_ACHIEVEMENT_MEMORY_2GB,1,1736283355
CPUCORES_ACHIEVEMENT_MEMORY_4GB,1,1736283356
CPUCORES_ACHIEVEMENT_MEMORY_8GB,1,1736283356
CPUCORES_ACHIEVEMENT_MEMORY_16GB,1,1736283356
CPUCORES_ACHIEVEMENT_MEMORY_32GB,1,1736283356
CPUCORES_ACHIEVEMENT_STREAK_24HR,0,0
CPUCORES_ACHIEVEMENT_GAME_LAUNCH,1,1736283490
CPUCORES_ACHIEVEMENT_NONSTEAM,1,1736283459
CPUCORES_ACHIEVEMENT_MEMCLEAR,1,1736283424
CPUCORES_ACHIEVEMENT_OPTIMIZED_5,1,1736283757
CPUCORES_ACHIEVEMENT_OPTIMIZED_10,1,1736283799
CPUCORES_ACHIEVEMENT_OPTIMIZED_25,1,1736283921
CPUCORES_ACHIEVEMENT_OPTIMIZED_50,1,1736284123
CPUCORES_ACHIEVEMENT_OPTIMIZED_100,1,1736284527
