apiname,achieved,unlock_time
Tycoon_01,1,1437721787
Tycoon_02,1,1437724043
Tycoon_03,1,1437726616
Tycoon_04,1,1437757578
Collector_01,1,1437721787
Collector_02,1,1437721787
Collector_03,1,1437724043
Collector_04,1,1437752510
Collector_05,1,1437757578
Collector_06,1,1437833430
Collector_07,1,1437855066
Collector_08,1,1437855677
Collector_09,1,1437856390
Collector_10,1,1437885240
Collector_11,1,1437936460
Collector_12,1,1438157055
Defender_01,1,1437721787
Defender_02,1,1437721787
Defender_03,1,1437724043
Defender_04,1,1437726616
Defender_05,1,1437752510
Defender_06,1,1437753079
Defender_07,1,1437757578
Defender_08,1,1438485676
Defender_09,1,1438485676
Defender_10,1,1438485676
Defender_11,1,1440495903
Defender_12,1,1440951686
Defender_13,1,1441249493
Defender_14,1,1442793173
Defender_15,1,1442993396
Defender_16,1,1445491189
Defender_17,0,0
Major_General_01,1,1437726616
Major_General_02,1,1437835926
Major_General_03,1,1437891475
Major_general_04,1,1438316522
Major_General_05,1,1441481444
Major_General_06,0,0
Squad_01,1,1437721787
Squad_02,1,1437724043
Squad_03,1,1437724043
Squad_04,1,1437724043
Squad_05,1,1437726616
Squad_06,1,1437726616
Squad_07,1,1437752510
Squad_08,1,1437752510
Squad_09,1,1437757578
Squad_10,1,1437828204
Sharp_Shooter_01,1,1437721787
Sharp_Shooter_02,1,1437721787
Sharp_Shooter_03,1,1437721787
Sharp_Shooter_04,1,1437721787
Sharp_Shooter_05,1,1437721787
Sharp_Shooter_06,1,1437721787
Sharp_Shooter_07,1,1437730274
Ace_01,1,1437721787
Ace_02,1,1437724043
Ace_03,1,1437730274
Time_Traveller_01,1,1437726616
Time_Traveller_02,1,1437733097
Time_Traveller_03,1,1437752510
Time_Traveller_04,1,1437757578
Time_Traveller_05,1,1437923972
Time_Traveller_06,1,1438325198
Time_Traveller_07,1,1440952655
Time_Traveller_08,1,1445062928
Fat_Cat_01,1,1437737714
Opportunist_01,1,1442123093
Corporal_01,1,1437721787
Corporal_02,1,1437721787
Corporal_03,1,1437724043
Corporal_04,1,1437726616
Corporal_05,1,1437737714
Corporal_06,1,1437823365
Corporal_07,1,1438132666
Corporal_08,1,1440951806
Corporal_09,1,1445056321
Destroyer_01,1,1437733097
Destroyer_02,1,1437851498
Annihilator_01,1,1437737714
Annihilator_02,1,1437970177
Demolisher_01,1,1437942095
Demolisher_02,0,0
Exterminator_01,1,1437721787
Exterminator_02,1,1437726616
Exterminator_03,1,1437763297
Exterminator_04,1,1438134736
Exterminator_05,0,0
Exterminator_06,0,0
Spec_Ops_01,1,1437835651
Spec_Ops_02,1,1438258464
Spec_Ops_03,1,1440933812
Spec_Ops_04,1,1442841210
Spec_Ops_05,0,0
Hoarder_01,0,0
Arms_Race_01,0,0
Defender_18,0,0
Major_General_07,0,0
