apiname,achieved,unlock_time
Achievement_1,1,1723424341
Achievement_2,0,0
Achievement_3,0,0
Achievement_4,0,0
Achievement_5,0,0
Achievement_6,0,0
Achievement_7,0,0
Achievement_8,0,0
Achievement_9,0,0
Achievement_10,0,0
Achievement_11,0,0
Achievement_12,0,0
Achievement_13,0,0
Achievement_14,0,0
Achievement_15,0,0
Achievement_16,0,0
Achievement_17,0,0
Achievement_18,0,0
Achievement_19,0,0
Achievement_20,0,0
Achievement_21,0,0
Achievement_22,0,0
Achievement_23,0,0
Achievement_24,0,0
Achievement_25,0,0
Achievement_26,0,0
Achievement_27,0,0
Achievement_28,0,0
Achievement_29,0,0
Achievement_30,0,0
Achievement_31,1,1723424703
Achievement_32,1,1723435269
Achievement_33,0,0
Achievement_34,0,0
Achievement_35,0,0
Achievement_36,0,0
Achievement_37,0,0
Achievement_38,0,0
Achievement_39,0,0
Achievement_40,0,0
Achievement_41,0,0
Achievement_42,0,0
Achievement_43,0,0
Achievement_44,0,0
Achievement_45,0,0
Achievement_46,0,0
Achievement_47,0,0
Achievement_48,0,0
Achievement_49,0,0
Achievement_50,0,0
Achievement_51,0,0
Achievement_52,0,0
Achievement_56,0,0
Achievement_57,0,0
Achievement_58,0,0
Achievement_59,0,0
Achievement_60,0,0
Achievement_53_Fixed,0,0
Achievement_54_Fixed,0,0
Achievement_55_Fixed,0,0
Achievement_61,0,0
Achievement_62,0,0
Achievement_63,0,0
Achievement_64,0,0
Achievement_65,0,0
Achievement_66,0,0
Achievement_67,0,0
Achievement_68,0,0
Achievement_69,0,0
Achievement_70,0,0
Achievement_71,0,0
Achievement_72,0,0
Achievement_73,0,0
Achievement_74,0,0
Achievement_75,0,0
ACHIEVEMENT_76,0,0
ACHIEVEMENT_77,0,0
ACHIEVEMENT_78,0,0
ACHIEVEMENT_79,0,0
ACHIEVEMENT_80,0,0
ACHIEVEMENT_81,0,0
