apiname,achieved,unlock_time
ACHIEVEMENT_84,0,0
ACHIEVEMENT_90,0,0
ACHIEVEMENT_92,0,0
ACHIEVEMENT_94,0,0
ACHIEVEMENT_95,0,0
ACHIEVEMENT_100,0,0
ACHIEVEMENT_101,0,0
ACHIEVEMENT_102,0,0
ACHIEVEMENT_104,0,0
ACHIEVEMENT_105,0,0
ACHIEVEMENT_106,0,0
ACHIEVEMENT_107,0,0
ACHIEVEMENT_109,0,0
ACHIEVEMENT_110,0,0
ACHIEVEMENT_111,0,0
ACHIEVEMENT_112,0,0
ACHIEVEMENT_113,0,0
ACHIEVEMENT_114,0,0
ACHIEVEMENT_115,0,0
ACHIEVEMENT_116,0,0
ACHIEVEMENT_117,0,0
ACHIEVEMENT_119,0,0
ACHIEVEMENT_121,0,0
ACHIEVEMENT_122,0,0
ACHIEVEMENT_124,0,0
ACHIEVEMENT_125,0,0
ACHIEVEMENT_126,0,0
ACHIEVEMENT_128,0,0
ACHIEVEMENT_129,0,0
ACHIEVEMENT_130,0,0
ACHIEVEMENT_134,0,0
ACHIEVEMENT_135,0,0
ACHIEVEMENT_136,0,0
ACHIEVEMENT_137,0,0
ACHIEVEMENT_138,0,0
ACHIEVEMENT_139,0,0
ACHIEVEMENT_140,0,0
ACHIEVEMENT_141,0,0
ACHIEVEMENT_142,0,0
ACHIEVEMENT_478,0,0
ACHIEVEMENT_479,0,0
ACHIEVEMENT_480,0,0
ACHIEVEMENT_481,0,0
ACHIEVEMENT_482,0,0
ACHIEVEMENT_483,0,0
ACHIEVEMENT_484,0,0
ACHIEVEMENT_485,0,0
ACHIEVEMENT_486,0,0
ACHIEVEMENT_487,0,0
ACHIEVEMENT_488,0,0
ACHIEVEMENT_489,0,0
ACHIEVEMENT_490,0,0
ACHIEVEMENT_491,0,0
ACHIEVEMENT_492,0,0
ACHIEVEMENT_493,0,0
ACHIEVEMENT_494,0,0
ACHIEVEMENT_495,0,0
ACHIEVEMENT_496,0,0
ACHIEVEMENT_497,0,0
ACHIEVEMENT_498,0,0
ACHIEVEMENT_337,0,0
ACHIEVEMENT_338,0,0
ACHIEVEMENT_339,0,0
ACHIEVEMENT_340,0,0
ACHIEVEMENT_341,0,0
ACHIEVEMENT_342,0,0
ACHIEVEMENT_343,0,0
ACHIEVEMENT_344,0,0
ACHIEVEMENT_345,0,0
ACHIEVEMENT_346,0,0
ACHIEVEMENT_347,0,0
ACHIEVEMENT_348,0,0
ACHIEVEMENT_349,0,0
ACHIEVEMENT_350,0,0
ACHIEVEMENT_351,0,0
ACHIEVEMENT_352,0,0
ACHIEVEMENT_353,0,0
ACHIEVEMENT_354,0,0
ACHIEVEMENT_355,0,0
ACHIEVEMENT_356,0,0
ACHIEVEMENT_357,0,0
ACHIEVEMENT_358,0,0
ACHIEVEMENT_359,0,0
ACHIEVEMENT_360,0,0
ACHIEVEMENT_361,0,0
ACHIEVEMENT_362,0,0
ACHIEVEMENT_363,0,0
ACHIEVEMENT_364,0,0
ACHIEVEMENT_365,0,0
ACHIEVEMENT_366,0,0
ACHIEVEMENT_367,0,0
ACHIEVEMENT_368,0,0
ACHIEVEMENT_369,0,0
ACHIEVEMENT_370,0,0
ACHIEVEMENT_371,0,0
ACHIEVEMENT_372,0,0
ACHIEVEMENT_373,0,0
ACHIEVEMENT_374,0,0
ACHIEVEMENT_375,0,0
ACHIEVEMENT_376,0,0
ACHIEVEMENT_377,0,0
ACHIEVEMENT_378,0,0
ACHIEVEMENT_379,0,0
ACHIEVEMENT_380,0,0
ACHIEVEMENT_381,0,0
ACHIEVEMENT_382,0,0
ACHIEVEMENT_383,0,0
ACHIEVEMENT_384,0,0
ACHIEVEMENT_385,0,0
ACHIEVEMENT_386,0,0
ACHIEVEMENT_387,0,0
ACHIEVEMENT_388,0,0
ACHIEVEMENT_389,0,0
ACHIEVEMENT_390,0,0
ACHIEVEMENT_391,0,0
ACHIEVEMENT_392,0,0
ACHIEVEMENT_393,0,0
ACHIEVEMENT_394,0,0
ACHIEVEMENT_395,0,0
ACHIEVEMENT_396,0,0
ACHIEVEMENT_397,0,0
ACHIEVEMENT_398,0,0
ACHIEVEMENT_399,0,0
ACHIEVEMENT_400,0,0
ACHIEVEMENT_401,0,0
ACHIEVEMENT_402,0,0
ACHIEVEMENT_403,0,0
ACHIEVEMENT_404,0,0
ACHIEVEMENT_405,0,0
ACHIEVEMENT_406,0,0
ACHIEVEMENT_407,0,0
ACHIEVEMENT_408,0,0
ACHIEVEMENT_409,0,0
ACHIEVEMENT_410,0,0
ACHIEVEMENT_411,0,0
ACHIEVEMENT_412,0,0
ACHIEVEMENT_413,0,0
ACHIEVEMENT_414,0,0
ACHIEVEMENT_415,0,0
ACHIEVEMENT_416,0,0
ACHIEVEMENT_417,0,0
ACHIEVEMENT_418,0,0
ACHIEVEMENT_419,0,0
ACHIEVEMENT_420,0,0
ACHIEVEMENT_421,0,0
ACHIEVEMENT_422,0,0
ACHIEVEMENT_423,0,0
ACHIEVEMENT_424,0,0
ACHIEVEMENT_425,0,0
ACHIEVEMENT_426,0,0
ACHIEVEMENT_427,0,0
ACHIEVEMENT_428,0,0
ACHIEVEMENT_429,0,0
ACHIEVEMENT_430,0,0
ACHIEVEMENT_431,0,0
ACHIEVEMENT_432,0,0
ACHIEVEMENT_433,0,0
ACHIEVEMENT_434,0,0
ACHIEVEMENT_435,0,0
ACHIEVEMENT_436,0,0
ACHIEVEMENT_437,0,0
ACHIEVEMENT_438,0,0
ACHIEVEMENT_439,0,0
ACHIEVEMENT_440,0,0
ACHIEVEMENT_441,0,0
ACHIEVEMENT_442,0,0
ACHIEVEMENT_443,0,0
ACHIEVEMENT_444,0,0
ACHIEVEMENT_445,0,0
ACHIEVEMENT_446,0,0
ACHIEVEMENT_447,0,0
ACHIEVEMENT_448,0,0
ACHIEVEMENT_449,0,0
ACHIEVEMENT_450,0,0
ACHIEVEMENT_451,0,0
ACHIEVEMENT_452,0,0
ACHIEVEMENT_453,0,0
ACHIEVEMENT_454,0,0
ACHIEVEMENT_455,0,0
ACHIEVEMENT_456,0,0
ACHIEVEMENT_457,0,0
ACHIEVEMENT_458,0,0
ACHIEVEMENT_459,0,0
ACHIEVEMENT_460,0,0
ACHIEVEMENT_461,0,0
ACHIEVEMENT_462,0,0
