apiname,achieved,unlock_time
GMA_PLAY_SINGLEPLAYER,1,1253058846
GMA_PLAY_MULTIPLAYER,1,1253071855
GMA_X_STARTUPS,1,1353136429
GMA_SAY_1,1,1253063289
GMA_X_MINUTES,1,1293991990
GMA_X_MAPS,1,1253063289
GMA_NOT_SANDBOX,1,1253063289
GMA_BADDIES,1,1253059824
GMA_FRIENDS,1,1253294232
GMA_PLAYWITH_GARRY,1,1522119052
GMA_MARATHON,1,1253100703
GMA_HALFMARATHON,1,1253086297
GMA_DAY,1,1253391889
GMA_WEEK,1,1254677882
GMA_MONTH,1,1257379610
GMA_BYSTANDER,1,1253059824
GMA_BALLEATER,1,1253066909
GMA_PROPSPAWNER,1,1253059824
GMA_BALLOONPOPPER,1,1253066909
GMA_REMOVER,1,1253066909
GMA_SPAWNMENUER,1,1253095118
GMA_BADCODER,1,1253578561
GMA_NPCSPAWNER,1,1253059824
GMA_RAGDOLLSPAWNER,1,1253063289
GMA_GOODIES,1,1253059824
GMA_SMALLTHUMB,1,1519155208
GMA_MEDIUMTHUMB,1,1519155208
GMA_HUGETHUMB,1,1519155208
GMA_MEGAUPLOAD,1,1519155208
