apiname,achieved,unlock_time
objective_id_1,1,1460590111
objective_id_2,1,1460863210
objective_id_3,1,1461091090
objective_id_4,1,1461385079
objective_id_5,1,1461477962
objective_id_7,1,1461173378
objective_id_8,1,1461407093
objective_id_9,1,1461136958
objective_id_10,1,1461393613
objective_id_11,1,1461564931
objective_id_12,1,1461422466
objective_id_13,1,1461931127
objective_id_14,1,1463346139
objective_id_15,1,1462309776
objective_id_16,1,1461516866
objective_id_17,1,1462943891
objective_id_18,1,1470193886
objective_id_19,1,1469165133
objective_id_24,1,1463341577
objective_id_26,1,1463719216
objective_id_25,1,1465636097
objective_id_28,1,1467811686
objective_id_27,1,1461575235
objective_id_29,1,1464927555
objective_id_37,1,1466398369
objective_id_38,1,1465178358
objective_id_39,1,1465194963
objective_id_52,1,1463254319
objective_id_53,1,1466838401
objective_id_54,1,1468824004
objective_id_55,1,1470898088
objective_id_56,1,1470357156
objective_id_57,0,0
objective_id_69,1,1469024783
objective_id_70,0,0
objective_id_71,0,0
objective_id_90,0,0
objective_id_91,0,0
objective_id_92,0,0
objective_id_93,0,0
objective_id_94,1,1468472488
objective_id_95,0,0
objective_id_96,0,0
objective_id_98,0,0
objective_id_99,0,0
objective_id_100,0,0
objective_id_180,0,0
objective_id_181,0,0
objective_id_182,0,0
objective_id_183,0,0
objective_id_184,0,0
objective_id_185,0,0
objective_id_200,0,0
objective_id_201,0,0
objective_id_202,0,0
objective_id_203,0,0
objective_id_229,0,0
objective_id_230,0,0
objective_id_231,0,0
objective_id_232,0,0
objective_id_233,0,0
objective_id_234,0,0
objective_id_97,0,0
objective_id_243,0,0
objective_id_244,0,0
objective_id_245,0,0
objective_id_247,0,0
objective_id_248,0,0
objective_id_249,0,0
objective_id_250,0,0
objective_id_251,0,0
objective_id_252,0,0
objective_id_260,0,0
objective_id_261,0,0
objective_id_262,0,0
objective_id_263,0,0
objective_id_284,0,0
objective_id_285,0,0
objective_id_286,0,0
objective_id_287,0,0
objective_id_288,0,0
objective_id_289,0,0
objective_id_363,0,0
objective_id_364,0,0
objective_id_365,0,0
objective_id_366,0,0
objective_id_253,0,0
objective_id_373,0,0
objective_id_638,0,0
objective_id_639,0,0
objective_id_640,0,0
objective_id_641,0,0
objective_id_642,0,0
objective_id_643,0,0
objective_id_644,0,0
objective_id_647,0,0
objective_id_645,0,0
objective_id_646,0,0
objective_id_648,0,0
