apiname,achieved,unlock_time
SeriousBeginner,1,1280094764
GameMaster,1,1282035971
SeriousSam,1,1282035971
SeriousRun,1,1337689833
Matador,1,1333882846
LookItsASecret,1,1337603897
CathedralKing,1,1338131298
SamIAm,1,1337634299
CoopBeginner,1,1299586049
CoinopCoop,1,1342516594
DeathmatchBeginner,1,1333895792
DeathmatchMaster,1,1340367152
RocketJumper,1,1283689491
BurnBabyBurn,1,1281020962
SouthAmericaMaster,1,1280497223
PersiaMaster,1,1281442200
MedievalMaster,1,1282035971
TopSecret,1,1337689766
BirdHunter,1,1282909459
SpaceMarine,1,1282128668
BoneCrusher,1,1281968785
RocketMan,1,1282557655
BallsofSteel,1,1283684447
Braveheart,1,1333885017
LookMaIWon,1,1339594185
DeathmatchChampion,1,1342290459
DeathmatchVeteran,1,1340210572
DeathmatchDuelist,1,1339600564
Untouchable,1,1340293409
Fragger,1,1333896007
CrazyFragger,1,1339942085
SeriousFragger,1,1340906931
1337Fragger,1,1341512666
DesperateFragger,1,1339594351
Butcher,1,1339595726
Swordsman,1,1339595726
Backstabber,1,1339595726
DiverseFragger,1,1339940349
DeathmatchMarathon,1,1339596810
DeathmatchMarathonWinner,1,1339596810
Grudge,1,1339603698
Nemesis,1,1280417789
FragCombo,1,1339603691
RoyalFragCombo,1,1339604008
CoinopLifeSaver,1,1341755382
CoinopGoldRush,1,1341163158
BeastHuntBeginner,1,1339785037
BeastHuntMaster,1,1340052940
TeamBeastHuntBeginner,1,1340295309
TeamBeastHuntMaster,1,1341658858
CaptureTheFlagBeginner,1,1340294248
CaptureTheFlagMaster,1,1342381399
FlagThief,1,1342380775
InstantKillBeginner,1,1339601972
InstantKillMaster,1,1341344628
InstantKillPro,1,1339602236
LastManStandingBeginner,1,1340294500
LastManStandingMaster,1,1342788404
LastTeamStandingBeginner,1,1334501885
MyBurdenBeginner,1,1340209417
MyBurdenMaster,1,1342559339
HeavyWeightChampion,1,1340209191
TeamDeathmatchBeginner,1,1280417796
TeamDeathmatchMaster,1,1343300143
SurvivalBeginner,1,1282036131
SurvivalMaster,1,1341141522
CooperativeSurvivalBeginner,1,1338132994
CooperativeSurvivalMaster,1,1342000470
LastTeamStandingMaster,1,1343160420
TreasureDiver,1,1333020320
