apiname,achieved,unlock_time
SeriousBeginner,1,1351345477
SeriousSam,1,1353712365
AreYouSerious,1,1355685815
SeriousRun,1,1355329272
Ophthalmologist,1,1353752391
CardiacSurgeon,1,1352229964
Chiropractor,1,1353779125
KleerWrestler,1,1353752632
BugHunt,1,1353755594
Arachnophobia,1,1353755597
ScorpionSlayer,1,1353753246
LoadOfScrap,1,1353775657
TrickShot,1,1353778877
UsefulTrophy,1,1351615907
Berserker,1,1353753390
OldSchool,1,1353712365
ChainExplosion,1,1353705500
KungFuFighter,1,1353775657
WallOfBullets,1,1354055652
ApprenticeEgyptologist,1,1350482101
MasterEgyptologist,1,1355237660
WantedDeadOrAlive,1,1351345832
GetTheHellOffMyRide,1,1351351015
AllYourBaseAreBelongToUs,1,1351352526
ProblemSolver,1,1351617824
PainfulDivorce,1,1352229344
MissionCompleted,1,1352750592
DetroitSteel,1,1353709626
DoormanShouldWearASuit,1,1353711234
RodeoSurfer,1,1351619242
Skewer,1,1353710698
UpCloseAndPersonal,1,1353753182
KillerJewelry,1,1351618961
Headsman,1,1355669862
BoneCrusher,1,1351350024
CircleOfDeath,1,1353773441
ClayPigeons,1,1355154556
MaintenanceTime,1,1353773381
LookItsASecret,1,1355049636
TopSecret,1,1355238887
ClassicOutfit,1,1354810537
QueenHatshepsut,1,1355820195
Vista,1,1355177772
CoopBeginner,1,1355500201
CoopMaster,1,1355678041
CoinopCoop,1,1355780878
LifeSaver,1,1355504757
GoldRush,1,1355744609
DeathmatchBeginner,1,1353774915
DeathmatchMaster,1,1354099620
LookMaIWon,1,1353870380
HammerTime,1,1354099779
BeastHunter,1,1354100439
FlagThief,1,1353871670
InstantKiller,1,1353871127
LastManStanding,1,1353870380
HeavyWeightChampion,1,1353870810
Survivor,1,1353193644
GoldenSurvivor,1,1354054317
ChristmasInCairo,1,1354812527
JewelOfTheNile,1,1353774488
ReindeerHunter,1,1387581173
