apiname,achieved,unlock_time
a0,1,1467280068
1,1,1467368340
2,1,1468702829
3,1,1507805283
4,1,1471185327
5,1,1471191388
6,1,1467639684
7,1,1468662350
9,1,1469547755
11,1,1467808248
12,1,1467882088
13,1,1467974405
15,1,1471176902
16,1,1471177288
17,1,1683570895
18,1,1467312842
19,1,1467460972
20,1,1467373566
21,1,1469467579
22,1,1683570895
24,1,1467282685
25,1,1467308677
26,1,1683570895
27,1,1467279825
28,1,1468699406
29,1,1469117160
30,1,1683570895
31,1,1471191046
32,1,1471191388
34,1,1683570895
Achievement_PrairieKing,1,1683570895
Achievement_TheBottom,1,1469116552
Achievement_LocalLegend,1,1471177474
Achievement_Joja,1,1683570895
Achievement_Stardrop,1,1683570895
Achievement_FectorsChallenge,1,1683570895
Achievement_FullHouse,1,1683570895
Achievement_SingularTalent,1,1467898264
Achievement_MasterOfTheFiveWays,1,1471181276
Achievement_KeeperOfTheMysticRings,1,1683570895
35,0,0
36,1,1738259311
37,1,1737832837
38,1,1719059333
39,0,0
41,1,1738258874
42,0,0
44,0,0
40,1,1737911867
