apiname,achieved,unlock_time
apple_fanboy,1,1482574574
eggsellent,1,1488039279
goodnight,1,1480619108
come_get_some,1,1480615324
lets_dig,1,1480615378
mining_time,1,1480615296
learning_the_basics,1,1480615065
serious_tools,1,1480697455
master_of_tools,1,1481733575
best_of_the_best,1,1480874911
showroom,1,1488039107
a_book_or_two,1,1488039417
animal_tamer,1,1481396773
demolition_man,1,1488039880
make_it_boom,1,1483172957
sticky_fingers,1,1488040000
need_more_space,1,1480619172
compulsive_hoarding,1,1481960516
black_hole,1,1481661277
make_the_difference,1,1483189789
oh_no_poor_nature,1,1487968508
expert_miner,1,1480628917
world_carver,1,1480798354
my_finger_hurts,1,1484425700
dirty_work,1,1480723848
stone_quarry,1,1480712281
treasure_finder,1,1480795623
up,1,1480862387
bling_bling,1,1488040127
safe_home,1,1480619393
none_shall_pass,1,1482092772
time_to_upgrade,1,1488040401
a_nice_vista,1,1488040410
a_warmer_place,1,1488040522
trapped_in,1,1483102867
so_comfy,1,1488040612
lay_the_foundations,1,1481817248
family_matters,1,1488040865
another_brick_in_the_wall,1,1488041084
noah_ark,1,1488041598
nuclear_meltdown,1,1488041818
sign_me_up,1,1488042048
light_it_up,1,1480615852
let_there_be_light,1,1480697978
supernova,1,1480791461
working_hard,1,1480615454
blacksmith,1,1480622654
time_for_a_better_home,1,1481402688
construction_worker,1,1481815631
tailored_to_fit,1,1481227152
loom_of_fate,1,1481226846
cooking_time,1,1481821335
oh_mama,1,1481406104
hot_stuff,1,1480622306
tinker_tinker,1,1480714882
roses_are_red,1,1480969597
leatherworker,1,1480968529
chemist,1,1481821723
electrician,1,1481820453
going_up,1,1488042061
leap_of_faith,1,1481057326
bone_crusher,1,1482046242
slayer,1,1480857422
butcher,1,1481045315
getting_birds_angry,1,1480771918
dawn_of_the_dead,1,1481044186
fat_kills,1,1482992061
scorpion_king,1,1483448754
squishy_mess,1,1481043481
my_armor_is_better,1,1482996367
gone_with_a_boom,1,1481978560
where_are_you,1,1482436045
arachnophobia,1,1482171198
where_is_my_barrel,1,1483450136
grilled_bears,1,1483184217
hard_as_hell,1,1482595172
unhappy_feet,1,1482999642
kill_me_softly,1,1481401579
milked_to_death,1,1483106666
bacon_factory,1,1481394179
you_ripped_my_heart,1,1482095621
band_aid,1,1483449125
jacks_fried_chicken,1,1481398809
deadly_cute,1,1482094696
oh_meow,1,1482997611
it_stings,1,1482995036
in_cold_blood,1,1481229431
its_time_to_die,1,1480615994
one_more_time,1,1480775607
thats_life,1,1483372198
death_best_friend,1,1483373764
death_from_above,1,1488041874
the_adventure_begins,1,1480614232
arid_sands,1,1481053785
living_a_dream,1,1480777262
hostile_lands,1,1481390840
the_end_is_near,1,1481823877
are_they_dead,1,1480764969
spores_everywhere,1,1481313523
its_cold_out_there,1,1480867544
a_small_step_for_jack,1,1482181225
you_call_this_archaeology,1,1480845847
under_the_sea,1,1481222734
end_of_file,1,1480756737
head_in_the_clouds,1,1481965577
better_with_a_friend,0,0
do_your_homeworks,1,1480620748
plenty_of_time,1,1480769949
get_a_life,0,0
