apiname,achieved,unlock_time
BACK_IN_THE_FIGHT,1,1320766022
TOO_BIG_TO_FAIL,1,1320767890
WET_WORK,1,1320768808
CARPE_DIEM,1,1320770000
FREQUENT_FLIER,1,1320770832
UP_TO_NO_GOOD,1,1320772142
ONE_WAY_TICKET,1,1320773328
WELCOME_TO_WW3,1,1321053620
SANDSTORM,1,1321190837
BACK_SEAT_DRIVER,1,1321201435
WELL_ALWAYS_HAVE_PARIS,1,1321202369
VIVE_LA_REVOLUTION,1,1321203607
REQUIEM,1,1321204647
STORM_THE_CASTLE,1,1321206070
BAD_FIRST_DATE,1,1321207251
DIAMOND_IN_THE_ROUGH,1,1321208361
THE_BIG_APPLE,1,1714488107
OUT_OF_THE_FRYING_PAN,1,1714488107
EUROPEAN_VACATION,1,1714488107
CITY_OF_LIGHTS,1,1714488107
THE_DARKEST_HOUR,1,1714488107
THIS_IS_THE_END,1,1714488107
WHO_DARES_WINS,1,1321209402
THE_BEST_OF_THE_BEST,1,1714488107
STRIKE,1,1714488107
JACK_THE_RIPPER,1,1321126027
INFORMANT,1,1714488107
SCOUT_LEADER,1,1714488107
THIS_IS_MY_BOOMSTICK,1,1714488107
WHAT_GOES_UP,1,1714488107
FLIGHT_ATTENDANT,1,1714488107
FOR_WHOM_THE_SHELL_TOLLS,1,1714488107
KILL_BOX,1,1321190053
DANGER_CLOSE,1,1714488107
MENAGE_A_TROIS,1,1714488107
NEIN,1,1714488107
FIFTY_FIFTY,1,1322662287
BIRDIE,1,1322817374
SERRATED_EDGE,1,1323162560
ARMS_DEALER,1,1714488107
DANGER_ZONE,1,1714488107
DEFENSE_SPENDING,1,1714488107
GET_RICH_OR_DIE_TRYING,1,1326355052
I_LIVE,1,1321123818
SURVIVOR,1,1328535993
UNSTOPPABLE,1,1714488107
NO_ASSISTANCE_REQUIRED,1,1714488107
BRAG_RAGS,1,1321122563
TACTICIAN,1,1714488107
OVERACHIEVER,1,1714488107
SHOTGUN_DIPLOMACY,1,1714488107
NOT_ON_MY_WATCH,1,1714488107
SKILLED_NEGOTIATOR,1,1714488107
SLIPPERY_SLOPE,1,1714488107
A_BAKERS_DOZEN,1,1714488107
ICE_IN_YOUR_VEINS,1,1714488107
DONT_TREAD_ON_ME,1,1714488107
HIGH_ROLLER,1,1714488107
NOT_A_SCRATCH,1,1714488107
ONE_FOUR_ONE,1,1714488107
HELIPOCALYPSE_NOW,1,1714488107
EMPRESSIVE,1,1714488107
STAY_FROSTY,1,1714488107
SUB_ZERO,1,1714488107
DR0N3D,1,1714488107
APEX,1,1714488107
PINNACLE,1,1714488107
FLYSWATTER,1,1714488107
TO_JUGGER_OR_TO_JUGGER_NAUT,1,1714488107
HANDLE_WITH_CARE,1,1714488107
DELIVER_THIS,1,1714488107
DISCRIMINATING_BUYER,1,1714488107
UNTOUCHABLE,1,1714488107
SIEGE,1,1714488107
LIGHTS_OUT,1,1714488107
DEER_IN_THE_HEADLIGHTS,1,1714488107
