apiname,achieved,unlock_time
POST_SCENE_WALLPAPER,1,1646472364
POST_VIDEO_WALLPAPER,1,1646472364
POST_WEB_WALLPAPER,1,1646472364
POST_APP_WALLPAPER,1,1646472364
USE_TEMPLATE_2D,1,1645714109
USE_TEMPLATE_3D,1,1645714141
SCREENSHOT_WITH_WORKSHOP_WALLPAPER,1,1646472364
SUBSCRIBE_10_WALLPAPERS,1,1596594784
FAVORITE_10_WALLPAPERS,1,1618411938
PEST,1,1646472364
KON_CODE,1,1639063809
SUBSCRIBE_25_WALLPAPERS,1,1596595618
SUBSCRIBE_50_WALLPAPERS,1,1596596916
SUBSCRIBE_100_WALLPAPERS,1,1596979966
FAVORITE_25_WALLPAPERS,1,1618649955
FAVORITE_50_WALLPAPERS,1,1619018256
FAVORITE_100_WALLPAPERS,1,1620022919
