apiname,achieved,unlock_time
ACH_KILLER_FRANCHISE,1,1552511874
ACH_SUMMERCAMP,1,1496410633
ACH_CAMP_COUNSELOR,1,1500137424
ACH_HEAD_COUNSELOR,1,1552174016
ACH_FRIDAY_THE_13TH,1,1496411007
ACH_THE_SEQUEL,1,1528463148
ACH_FINAL_CHAPTER,1,1552511847
ACH_ROLL_CREDITS,1,1496955375
ACH_FIRST_BLOOD,1,1496411006
ACH_MY_LUCKY_NUMBER,1,1496414800
ACH_EVIL_LURKS,1,1500200500
ACH_GOTTA_KILL_EM_ALL,1,1528483753
ACH_NO_HAPPY_ENDINGS,1,1498651261
ACH_ONE_FOR_GOOD_MEASURE,1,1498651261
ACH_SEEN_EVERY_MOVIE,1,1496785705
ACH_SUPER_FAN,1,1496442037
ACH_GREASE_MONKEY,1,1498681969
ACH_SHIPWRIGHT,1,1500063415
ACH_SHOCK_JOCKEY,1,1496931662
ACH_OPERATOR,1,1496881671
ACH_DISC_JOCKEY,1,1496514531
ACH_FRIDAY_DRIVER,1,1496415859
ACH_ALONG_FOR_THE_RIDE,1,1496783026
ACH_ON_A_BOAT,1,1497733001
ACH_AYE_AYE_CAPTAIN,1,1496421163
ACH_ITS_A_TRAP,1,1496710825
ACH_HERE_IS_TOMMY,1,1496582852
ACH_GOOD_BOY,1,1496866281
ACH_VOODOO_DOLL,1,1496526837
ACH_EENIE_MEENIE,1,1496530620
ACH_YOU_DIED,1,1496410633
ACH_YOU_DIED_ALOT,1,1496625007
ACH_SLAM_JAM,1,1496513814
ACH_CRYSTAL_LAKE_FIVE_O,1,1496848986
ACH_FLARING_UP,1,1496442037
ACH_SNAP_CRACK_BOOM,1,1496608644
ACH_GET_OUT_OF_JAIL_FREE,1,1496494781
ACH_FACE_OFF,1,1496863462
ACH_NEW_THREADS,1,1496416550
ACH_GOALIE,1,1496412678
ACH_DOOR_WONT_CLOSE,1,1496412263
ACH_DOOR_WONT_OPEN,1,1496524038
ACH_WINDOWS_99,1,1496611635
ACH_A_CLASSIC,1,1496414800
ACH_COOKING_WITH_JASON,1,1496413303
ACH_SMASH_BROS,1,1498658600
ACH_I_NEED_A_MEDIC,1,1496857707
ACH_THIS_IS_MY_BOOMSTICK,1,1496593033
ACH_LETS_SPLIT_UP,1,1496427687
ACH_CHAD_IS_A_DICK,1,1496875976
ACH_PHD_IN_MURDER,1,1503999292
ACH_UNLIKELY_GIRL,1,1496861003
ACH_H20_DELIRIOUS,1,1496411409
