apiname,achieved,unlock_time
TF_PLAY_GAME_EVERYCLASS,1,1713452566
TF_PLAY_GAME_EVERYMAP,1,1713452566
TF_GET_HEALPOINTS,1,1713452566
TF_BURN_PLAYERSINMINIMUMTIME,1,1713452566
TF_GET_TURRETKILLS,1,1713452566
TF_KILL_NEMESIS,1,1713452566
TF_GET_CONSECUTIVEKILLS_NODEATHS,1,1713452566
TF_GET_HEALED_BYENEMY,1,1713452566
TF_PLAY_GAME_FRIENDSONLY,1,1713452566
TF_WIN_MULTIPLEGAMES,1,1713452566
TF_GET_MULTIPLEKILLS,1,1713452566
TF_GET_HEADSHOTS,1,1713452566
TF_MEDIC_TOP_SCOREBOARD,1,1713452566
TF_MEDIC_HEAL_UNDER_FIRE,1,1713452566
TF_MEDIC_SIMUL_CHARGE,1,1713452566
TF_MEDIC_SETUP_CHARGE,1,1713452566
TF_MEDIC_RAPID_CHARGE,1,1713452566
TF_MEDIC_COUNTER_CHARGE,1,1713452566
TF_MEDIC_SWITCH_TO_MEDIC,1,1713452566
TF_MEDIC_SAVE_TEAMMATE,1,1713452566
TF_MEDIC_CHARGE_BLOCKER,1,1713452566
TF_MEDIC_ASSIST_MEDIC,1,1713452566
TF_MEDIC_SYRINGE_SCOUTS,1,1713452566
TF_MEDIC_BONESAW_MEDICS,1,1713452566
TF_MEDIC_ASSIST_HEAVY_LONG,1,1713452566
TF_MEDIC_ASSIST_SCOUT,1,1713452566
TF_MEDIC_ASSIST_PYRO,1,1713452566
TF_MEDIC_ASSIST_HEAVY,1,1713452566
TF_MEDIC_ASSIST_DEMOMAN,1,1713452566
TF_MEDIC_HEAL_ENGINEER,1,1713452566
TF_MEDIC_ASSIST_CAPTURER,1,1713452566
TF_MEDIC_HEAL_CALLERS,1,1713452566
TF_WIN_2FORT_NOENEMYCAPS,1,1713452566
TF_WIN_WELL_MINIMUMTIME,1,1713452566
TF_WIN_HYDRO_NOENEMYCAPS,1,1713452566
TF_WIN_DUSTBOWL_NOENEMYCAPS,1,1713452566
TF_WIN_GRAVELPIT_NOENEMYCAPS,1,1713452566
TF_MEDIC_EXTINGUISH_TEAMMATES,1,1713452566
TF_MEDIC_ASSIST_VS_NEMESES,1,1713452566
TF_MEDIC_KILL_WHILE_CHARGED,1,1713452566
TF_MEDIC_BONESAW_NOMISSES,1,1713452566
TF_MEDIC_HEAL_LARGE,1,1713452566
TF_MEDIC_HEAL_HUGE,1,1713452566
TF_MEDIC_HEAL_GRIND,1,1713452566
TF_MEDIC_KILL_HEALED_SPY,1,1713452566
TF_MEDIC_SAVE_FALLING_TEAMMATE,1,1713452566
TF_MEDIC_CHARGE_JUGGLE,1,1713452566
TF_MEDIC_FREEZECAM_RAGDOLL,1,1713452566
TF_MEDIC_BONESAW_SPY_CALLERS,1,1713452566
TF_MEDIC_CHARGE_FRIENDS,1,1713452566
TF_MEDIC_INVITE_JOIN_CHARGE,1,1713452566
TF_MEDIC_HEAL_ACHIEVER,1,1713452566
TF_MEDIC_ASSIST_SOLDIER,1,1713452566
TF_MEDIC_ACHIEVE_PROGRESS1,1,1713452566
TF_MEDIC_ACHIEVE_PROGRESS2,1,1713452566
TF_MEDIC_ACHIEVE_PROGRESS3,1,1713452566
TF_PYRO_KILL_MULTIWEAPONS,1,1713452566
TF_PYRO_SIMULBURN_SCOUTS,1,1713452566
