apiname,achieved,unlock_time
LEVEL_2,1,1570720818
LEVEL_5,1,1570793821
LEVEL_10,1,1570976061
LEVEL_15,1,1571220312
LEVEL_20,1,1572306727
LEVEL_21,1,1572351515
MOB_KILL_1000,1,1570961589
MOB_KILL_10000,1,1571265987
MOB_KILL_100000,1,1572375687
MOB_DOG,1,1571089148
MOB_CISTOPOD,1,1571076863
MOB_FLY,1,1572410338
MOB_STINGER,1,1572375591
MOB_DENTICULAT,1,1571340567
MOB_SPITACID,1,1571753063
MOB_ZOMBIE,1,1572352216
MOB_MEGACEPHAL,1,1571717850
MOB_KRAB,1,1571684838
MOB_SECT,1,1571701376
MOB_SHTRIMP_CONTACT,1,1572627053
MOB_SHTRIMP_DISTTANCE,1,1572358515
MOB_ALIEN_ASSLT,1,1572320626
MOB_ALIEN_TANK,1,1572320091
MOB_SOLDER_PARASITE_CONTACT,1,1572803005
MOB_SOLDER_PARASITE_DIST,1,1572919219
MOB_UBER_TRANSGEN,1,1572783062
MOB_UBER_SOLDIER,1,1572739794
WEAP_DOUBLEKILL,1,1571623713
WEAP_MULTIKILL,1,1572443434
QUEST_ARC1,1,1570776402
QUEST_ARC2,1,1570821169
QUEST_ARC3,1,1571093228
QUEST_L11Q4,1,1571090199
QUEST_L10Q9,1,1571069491
QUEST_STALKERSECRET,1,1572276040
QUEST_L9Q3,1,1571736788
QUEST_ARENATOURNAMENT4_10,1,1572521998
QUEST_ARENATOURNAMENT1_3,1,1572603220
QUEST_HOLYGRENADE,1,1572688718
PAYSHOP_MEGADOC,1,1572485844
PAYSHOP_ADRENALIN,1,1572360592
PAYSHOP_REANIMATOR,1,1572306047
PAYSHOP_SPBUSTER,1,1571686833
PAYSHOP_GENETIC,1,1572691741
PAYSHOP_RESETSKILLS,1,1572487667
PAYSHOP_AVATAR,1,1572488505
PAYSHOP_SHOPCELL,1,1572522721
PAYSHOP_BINOCULAR,1,1572485806
PAYSHOP_GIFT,1,1572489730
PAYSHOP_UFOMANIA1,1,1570994821
PAYSHOP_UFOMANIA2,1,1571137509
PAYSHOP_UFOMANIA3,1,1572480455
OTHER_CRAFTMED,1,1572455104
OTHER_CRAFTAMMO,1,1571169224
OTHER_CRAFTWEAP,1,1571698703
OTHER_CRAFTARMOR,1,1572370241
OTHER_REPROCESSORGA,1,1571168456
OTHER_REPROCESSORE,1,1571508148
OTHER_CREATEREPAIRKIT,1,1571510906
OTHER_REPAIR,1,1571527508
OTHER_ANOMALY,1,1571139747
OTHER_MF,1,1571507297
OTHER_WEAPSPECIALMF,1,1572524375
OTHER_ARMORSPECIALMF,1,1572525748
OTHER_REPLICATOR,1,1572694594
OTHER_TRADE,1,1572484139
OTHER_BADSS,1,1572644139
OTHER_GOODSS,1,1572648048
MED_MED,1,1571483600
MED_STIM,1,1571340217
MED_ALCOHOL,1,1572855175
WEAP_GUN,1,1571233816
WEAP_SMG,1,1571237157
WEAP_AR,1,1571002487
WEAP_MG,1,1571014264
WEAP_SNIP,1,1571006754
WEAP_SG,1,1571076375
WEAP_GREN,1,1571269089
WEAP_MINE,1,1572272604
WEAP_LASTAMMO,1,1571079718
WEAP_KNOCKOUT,1,1572444169
PRISONTURRET,1,1572624097
ALLBADEFFECTS,1,1572088030
WITHOUTDAMAGE,1,1571011479
WEAP_DOC,1,1572274086
WEAP_DEAD,1,1572147273
WEAP_ARENA,1,1572606046
WEAP_HEADHUNTER,1,1571931343
