apiname,achieved,unlock_time
WINCONDITION_LEAVE,1,1568565180
WINCONDITION_STAY,1,1569176015
NO_PLANTERBOX,0,0
EAT_MEAT,0,0
BUILD_NATURE_RESERVES,1,1565625767
TWENTY_DUPES,0,0
SURVIVE_HUNDRED_CYCLES,1,1564832115
TAME_GASSYMOO,0,0
SIXKELVIN_BUILDING,1,1565651095
CLEAN_ENERGY,0,0
BUILD_OUTSIDE_BIOME,1,1564589607
TUBE_TRAVEL_DISTANCE,1,1565641828
REACH_SPACE_ANY_DESTINATION,1,1566138511
EQUIP_EIGHT_DUPES,1,1566068176
VARIETY_OF_ROOMS,1,1565525616
SURVIVE_ONE_YEAR,1,1565361960
EXPLORE_OIL_BIOME,1,1564864642
TAME_BASIC_CRITTERS,1,1569176932
COMPLETED_SKILL_BRANCH,1,1564583138
COMPLETED_RESEARCH,1,1569088348
COOKED_FOOD,1,1564593640
PLUMBED_WASHROOMS,1,1564859763
BASIC_COMFORTS,1,1564580636
BASIC_PUMPING,1,1565287687
AUTOMATE_A_BUILDING,1,1564829817
MASTERPIECE_PAINTING,1,1564866663
INSPECT_POI,1,1564754866
HATCH_A_CRITTER,1,1564823124
CURED_DISEASE,1,1564822387
GENERATOR_TUNEUP,1,1565468837
CLEAR_FOW,1,1565630103
HATCH_REFINEMENT,0,0
BUNKER_DOOR_DEFENSE,1,1565652286
IDLE_DUPLICANTS,1,1568419931
EXOSUIT_CYCLES,0,0
FIRST_TELEPORT,0,0
SOFT_LAUNCH,0,0
LANDED_ON_ALL_WORLDS,0,0
GMO_OK,0,0
MINE_THE_GAP,0,0
WINCONDITION_ARTIFACTS,0,0
RADICAL_TRIP,0,0
SWEETER_THAN_HONEY,0,0
SURVIVE_IN_A_ROCKET,0,0
REACTOR_USAGE,0,0
WINCONDITION_GEOPLANT,0,0
EFFICIENT_DATAMINING,0,0
ALL_THE_CIRCUITS,0,0
ASTEROID_DESTROYED,0,0
ASTEROID_SURVIVED,0,0
