apiname,achieved,unlock_time
eJT_GAME_START,1,1476407714
eJT_STG1A_MBOSS_KILL,1,1476407768
eJT_STG1_BOSS_KILL,1,1476407829
eJT_STG2B_MBOSS_KILL,1,1476407891
eJT_STG2_BOSS_KILL,1,1476408008
eJT_STG3_BOSS_KILL,1,1476408278
eJT_STG4B_MBOSS_KILL,1,1476409070
eJT_STG4_BOSS_KILL,1,1476409252
eJT_STG5_BOSS_KILL,1,1476409759
eJT_STGEX_BOSS_KILL,1,1476444538
eJT_STGEX_HIBACHI_KILL,1,1477103961
eJT_500HIT,1,1476407936
eJT_1000HIT,1,1476408821
eJT_5000HIT,1,1476409729
eJT_10000HIT,1,1478877083
eJT_BOKAAAN,1,1477388498
eJT_OMOTE2SYUUME,1,1476417694
eJT_URA2SYUUME,1,1477102346
eJT_IIE_TONDEMONAI,1,1477132797
eJT_BOMB_CLEAR,1,1477553399
eJT_POWER_CLEAR,1,1479020957
eJT_STRONG_CLEAR,1,1477388621
eJT_UKAI_ROOT,1,1476455776
eJT_ISOGABA_MAWARE_ROOT,1,1476540913
eJT_1UP_GET,1,1476408176
eJT_NOT_BOMB,1,1477553400
eJT_A_TYPE_CLEAR,1,1476419665
eJT_B_TYPE_CLEAR,1,1476409812
eJT_C_TYPE_CLEAR,1,1476439253
eJT_HACHI_PERFECT,1,1476408523
eJT_ARG_A_01,1,1476680746
eJT_ARG_A_02,1,1476665441
eJT_ARG_A_03,1,1476439615
eJT_ARG_A_04,1,1476673180
eJT_ARG_A_05,1,1476439603
eJT_ARG_A_06,1,1477674676
eJT_ARG_A_07,1,1476673277
eJT_ARG_A_08,0,0
eJT_ARG_A_09,1,1476682086
eJT_ARG_A_10,0,0
eJT_ARG_B_01_9_HYPER,1,1476680533
eJT_ARG_B_02_FREE_BOMB,1,1476679272
eJT_ARG_B_03_NICE_BOMB,1,1476680395
eJT_ARG_B_04_HYPER_MUTEKI,1,1477580645
eJT_ARG_B_05_LONG_RANGE_LASER,1,1476441062
eJT_ARG_B_06_EXPERT_GUAGE_MAX,1,1476679951
eJT_ARG_B_07_GREEN_FIELD,1,1477583365
eJT_ARG_B_08_MANY_EXPERT_ITEM,1,1477636519
eJT_ARG_B_09_3_AUTO_BOMB,1,1476437480
eJT_ARG_B_10_1000_MAN_PTS,1,1477668094
eJT_BLACK_RED_MODE,1,1476409974
eJT_BLACK_CHOOSE_STRONG,1,1476440533
eJT_BLACK_HYPER_USING_BOMB_STOCK,1,1476440546
eJT_BLACK_HYPER_CANCEL,1,1476440548
eJT_BLACK_RED_MAX,1,1476410003
eJT_BLACK_BOMB_CLEAR,0,0
eJT_BLACK_POWER_CLEAR,0,0
eJT_BLACK_STRONG_CLEAR,0,0
eJT_BLACK_NO_BOMB_NO_HYPER,1,1476669473
eJT_BLACK_RED_HIBACHI_KILL,0,0
eJT_BLPK_BOMB_USER,0,0
eJT_BLPK_POWER_USER,0,0
eJT_BLPK_STRONG_USER,0,0
eJT_BLPK_WHITE_BEE,1,1476410154
eJT_BLPK_MISSION_COMPLETE,1,1476411661
eJT_BLPK_GET_STAR,0,0
eJT_BLPK_TOUMAWARI,1,1476671186
eJT_BLPK_GEKISEN_HE,1,1476671479
eJT_BLPK_JIKUKO,1,1477676373
eJT_BLPK_AI,1,1476410082
eJT_BLPK_NEXY,1,1476410240
eJT_BLPK_PAFE,1,1476410502
eJT_BLPK_RAIN,1,1476410819
eJT_BLPK_SYUTY,1,1476411318
eJT_BLPK_GDS,1,1476411516
eJT_BLPK_5000HIT,1,1476410756
eJT_BLPK_10000HIT,1,1479529776
eJT_BLPK_REDMAX,1,1476410082
eJT_BLPK_REDMAX_ALL,1,1476693150
eJT_BLPK_2BAI_GET,1,1476410046
eJT_BLPK_3BAI_GET,1,1476410578
eJT_BLPK_4BAI_GET,1,1476410677
eJT_BLPK_5BAI_GET,1,1477675795
eJT_BLPK_6BAI_GET,1,1479529732
eJT_BLPK_7BAI_GET,1,1479529778
eJT_BLPK_COMBO_CUT,1,1476410057
eJT_BLPK_OOSUGI,1,1496253999
eJT_KARG_BAIRITSU_CHIP_1,1,1476440236
eJT_KARG_BAIRITSU_CHIP_2,1,1479532426
eJT_KARG_BAIRITSU_CHIP_3,1,1477126674
eJT_KARG_BAIRITSU_CHIP_4,1,1476440266
eJT_KARG_BAIRITSU_CHIP_5,1,1484865556
eJT_KARG_BAIRITSU_CHIP_10,1,1484841351
eJT_KARG_TENKOMORI,1,1476440377
eJT_KARG_JYUZUTSUNAGI,1,1476440193
eJT_KARG_HONSHIKOMI,1,1476440264
eJT_KARG_PIPIPIPIPIPI,1,1476440193
eJT_KARG_FULL_LOCK_IS_BOMB,1,1476440217
eJT_KARG_BOMB_COUNTER,0,0
eJT_KARG_DOOM,0,0
