apiname,achieved,unlock_time
vmilitary,1,1555799649
vmoney,1,1555207926
vfame,1,1555808538
vlore,1,1555193522
vhelheim,1,1555720317
vyggdrasil,1,1556744192
vodinsword,1,1556929538
expand,1,1555800749
loreseek,1,1575790846
draugrkill,1,1555169991
wolfkill,1,1555170479
ruinexplore,1,1555160352
houseswamp,1,1555193145
harbors,1,1556143222
wyvern,1,1555207752
giantfriend,1,1555207780
vwolf,1,1555799649
vstag,1,1555808538
vgoat,1,1555193522
trader,1,1555207480
guardian,1,1555356918
leguardian,1,1555719982
bearhunter,1,1556133249
plowshares,1,1556134361
slaughter,1,1575604742
scholar,1,1575570082
thewall,1,1555192814
ironminer,1,1555799303
stoneminer,1,1555801835
explorer,1,1555122742
storyteller,1,1556143009
goatmaster,1,1555192600
berserker,1,1555795383
vraven,1,1555207926
goldGoat,1,1681642621
goldRaven,1,1684436637
goldStag,1,1635107223
goldWolf,1,1635349934
rank1,1,1575327053
rank2,1,1576295107
rank3,1,1579220181
rank4,1,1581884127
vbear,1,1556134988
goldBear,0,0
birdEnthousiast,1,1555122142
birdLover,1,1580000790
hotWater,1,1555191253
northernSpa,1,1577027949
contactThor,1,1555206511
thorFanatic,1,1575928278
koboldWipeOut,1,1555287608
koboldsFriends,1,1555202582
vBoar,1,1556149960
goldBoar,1,1665791642
natureWonder,1,1577225718
rank5,1,1635180564
rank6,1,1682012434
rank7,1,1702218031
campwin1,1,1555109309
campwin2,1,1555112359
campwin3,1,1555115744
campwin4,1,1555119738
campwin5,1,1555173730
campwin6,1,1555175682
campwin7,1,1555181217
campwin8,1,1555187583
campwin9,1,1555201650
campwin10,1,1555723681
campwin11,1,1555760334
bonuses1,1,1555761771
bonuses2,1,1555768790
bonuses3,1,1555772283
bonuses4,1,1555793063
bonuses5,1,1556060577
bonuses6,1,1556063769
bonuses7,1,1575579207
bonuses8,1,1575617780
bonuses9,1,1575932994
bonuses10,1,1575942183
bonuses11,1,1575947421
allbonuses,1,1575947421
wcparty,1,1557175031
wonderfullife,1,1555803016
dancewolves,1,1555802396
deerhunter,1,1575779009
longgame,1,1555802765
moremoney,1,1575399636
bigfish,1,1575568388
fastexplorer,1,1555286096
theend,1,1555760335
conqueror,1,1578870032
throughhelheim,1,1578956041
