apiname,achieved,unlock_time
ACH_SKPV_AND_SKP2_PLATINUM,1,1665091629
ACH_SKPV_01,1,1663815657
ACH_SKPV_02,1,1663743153
ACH_SKPV_03,1,1663538130
ACH_SKPV_04,1,1663641731
ACH_SKPV_05,1,1663705759
ACH_SKPV_06,1,1663743169
ACH_SKPV_07,1,1663810143
ACH_SKPV_08,1,1663813612
ACH_SKP2_01,1,1664162078
ACH_SKP2_02,1,1665082395
ACH_SKP2_03,1,1663824852
ACH_SKP2_04,1,1665082395
ACH_SKP2_05,1,1665082259
ACH_SKP2_06,1,1665082307
ACH_SKP2_07,1,1664278156
ACH_SKP2_08,1,1664073256
ACH_SKP2_09,1,1664985850
ACH_SKP2_10,1,1664750093
ACH_SKP2_11,1,1664754701
ACH_SKP2_12,1,1664841293
ACH_SKP2_13,1,1664983775
ACH_SKP2_14,1,1664996727
ACH_SKP2_15,1,1665078207
ACH_SKP2_16,1,1665080340
ACH_SKP2_17,1,1663949546
ACH_SKP2_18,1,1664564836
ACH_SKP2_19,1,1664278952
ACH_SKP2_20,1,1664200314
ACH_SKP2_21,1,1664113897
ACH_SKP2_22,1,1664987071
ACH_SKP2_23,1,1663949546
ACH_SKP2_24,1,1664756805
ACH_SKP2_25,1,1664985216
ACH_SKP2_26,1,1665090104
ACH_SKP2_27,1,1665090104
ACH_SKP2_28,1,1665091605
ACH_SKP2_29,1,1663950221
