apiname,achieved,unlock_time
WELCOME_TO_SHONEN_IDLE,1,1469287309
ATTACK_MASTERY_I,1,1469288324
ATTACK_MASTERY_II,1,1469289338
PARTY_TIME_I,1,1469658661
PARTY_TIME_II,1,1469658727
GOLD_DIGGER_I,1,1469292304
GOLD_DIGGER_II,1,1469299069
MONSTER_KILLER_I,1,1469287391
MONSTER_KILLER_II,1,1469288061
MONSTER_KILLER_III,1,1469298085
MONSTER_LEVELER_I,1,1469287592
MONSTER_LEVELER_II,1,1469288101
MONSTER_LEVELER_III,1,1469289833
BOSS_DESTROYER_I,1,1469307858
BOSS_DESTROYER_II,1,1469747046
BOSS_DESTROYER_III,1,1470582051
KI_CONTROL_I,1,1469287826
KI_CONTROL_II,1,1469288148
KI_CONTROL_III,1,1469290125
TIME_MASTER_I,1,1469373691
TIME_MASTER_II,1,1469552214
TRAINER_I,1,1469287789
TRAINER_II,1,1469291410
TRAINER_III,1,1469659039
CLOTHERER_I,1,1469747046
CLOTHERER_II,1,1470435206
FRIENDLY_I,1,1469295363
FRIENDLY_II,1,1470208894
PRESTIGIOUS_I,1,1469648534
PRESTIGIOUS_II,1,1469648534
COLLECTOR_I,1,1470518259
THE_ACHIEVER_I,1,1470582052
LIKE_A_BOSS_I,1,1469747046
ATTACK_MASTERY_III,1,1469294756
ATTACK_MASTERY_IV,1,1469350824
PARTY_TIME_III,1,1470556853
PARTY_TIME_IV,1,1470556875
GOLD_DIGGER_III,1,1469347824
GOLD_DIGGER_IV,1,1469369375
MONSTER_KILLER_IV,1,1470042324
MONSTER_KILLER_V,1,1470559510
MONSTER_KILLER_VI,1,1472471496
MONSTER_LEVELER_IV,1,1469295363
MONSTER_LEVELER_V,1,1469372813
MONSTER_LEVELER_VI,1,1469645182
BOSS_DESTROYER_IV,1,1471739420
BOSS_DESTROYER_V,1,1473372732
BOSS_DESTROYER_VI,1,1475700662
KI_CONTROL_IV,1,1469298457
KI_CONTROL_V,1,1469369429
KI_CONTROL_VI,1,1469567491
TIME_MASTER_III,1,1469894773
TIME_MASTER_IV,1,1470498462
TRAINER_IV,1,1469863373
TRAINER_V,1,1470316817
TRAINER_VI,1,1470558103
CLOTHERER_III,1,1472829279
CLOTHERER_IV,1,1475927368
FRIENDLY_III,1,1471740073
FRIENDLY_IV,1,1476132660
PRESTIGIOUS_III,1,1470035320
PRESTIGIOUS_IV,1,1470260522
COLLECTOR_II,1,1476532830
THE_ACHIEVER_II,1,1476532830
LIKE_A_BOSS_II,1,1472941610
ATTACK_MASTERY_V,1,1469468815
ATTACK_MASTERY_VI,1,1469725495
PARTY_TIME_V,1,1471470784
PARTY_TIME_VI,1,1474924048
GOLD_DIGGER_V,1,1469554057
GOLD_DIGGER_VI,1,1469725466
MONSTER_KILLER_VII,1,1474800693
MONSTER_KILLER_VIII,1,1475941729
MONSTER_KILLER_IX,1,1480892335
MONSTER_LEVELER_VII,1,1470055360
MONSTER_LEVELER_VIII,1,1470949198
MONSTER_LEVELER_IX,1,1472489562
BOSS_DESTROYER_VII,1,1480121321
BOSS_DESTROYER_VIII,1,1481465107
BOSS_DESTROYER_IX,0,0
KI_CONTROL_VII,1,1469949189
KI_CONTROL_VIII,1,1470058773
KI_CONTROL_IX,1,1470504431
TIME_MASTER_V,1,1471104149
TIME_MASTER_VI,1,1472071437
TRAINER_VII,1,1471044127
TRAINER_VIII,1,1471278814
TRAINER_IX,1,1471555994
CLOTHERER_V,1,1480441364
CLOTHERER_VI,1,1480892335
FRIENDLY_V,1,1479247438
FRIENDLY_VI,1,1481585581
PRESTIGIOUS_V,1,1470952325
PRESTIGIOUS_VI,1,1472942100
COLLECTOR_III,1,1481927811
THE_ACHIEVER_III,0,0
LIKE_A_BOSS_III,1,1480886256
ATTACK_MASTERY_VII,1,1469996171
ATTACK_MASTERY_VIII,1,1470208894
PARTY_TIME_VII,1,1477866841
PARTY_TIME_VIII,1,1479210170
GOLD_DIGGER_VII,1,1469825842
GOLD_DIGGER_VIII,1,1470041586
MONSTER_KILLER_X,0,0
MONSTER_KILLER_XI,0,0
MONSTER_KILLER_XII,0,0
MONSTER_LEVELER_X,1,1474915978
MONSTER_LEVELER_XI,1,1479078658
MONSTER_LEVELER_XII,1,1480880859
BOSS_DESTROYER_X,0,0
BOSS_DESTROYER_XI,0,0
BOSS_DESTROYER_XII,0,0
KI_CONTROL_X,1,1472248595
KI_CONTROL_XI,1,1472411879
KI_CONTROL_XII,1,1472765639
TIME_MASTER_VII,1,1474757833
TIME_MASTER_VIII,1,1477866680
TRAINER_X,1,1472072046
TRAINER_XI,1,1472926838
TRAINER_XII,1,1473272764
CLOTHERER_VII,0,0
CLOTHERER_VIII,0,0
FRIENDLY_VII,0,0
FRIENDLY_VIII,0,0
PRESTIGIOUS_VII,1,1477866816
PRESTIGIOUS_VIII,1,1480939953
COLLECTOR_IV,0,0
THE_ACHIEVER_IV,0,0
LIKE_A_BOSS_IV,0,0
ATTACK_MASTERY_IX,1,1470524418
ATTACK_MASTERY_X,1,1472389118
PARTY_TIME_IX,1,1480940013
PARTY_TIME_X,0,0
GOLD_DIGGER_IX,1,1470291120
GOLD_DIGGER_X,1,1470523120
MONSTER_KILLER_XIII,0,0
MONSTER_KILLER_XIV,0,0
MONSTER_KILLER_XV,0,0
MONSTER_LEVELER_XIII,1,1481927539
MONSTER_LEVELER_XIV,0,0
MONSTER_LEVELER_XV,0,0
BOSS_DESTROYER_XIII,0,0
BOSS_DESTROYER_XIV,0,0
BOSS_DESTROYER_XV,0,0
KI_CONTROL_XIII,1,1474067822
KI_CONTROL_XIV,1,1476214936
KI_CONTROL_XV,1,1476521767
TIME_MASTER_IX,1,1479664927
TIME_MASTER_X,1,1485685978
TRAINER_XIII,1,1473374369
TRAINER_XIV,1,1474926970
TRAINER_XV,1,1475792666
CLOTHERER_IX,0,0
CLOTHERER_X,0,0
FRIENDLY_IX,0,0
FRIENDLY_X,0,0
PRESTIGIOUS_IX,1,1481238923
PRESTIGIOUS_X,1,1481927910
COLLECTOR_V,0,0
THE_ACHIEVER_V,0,0
