apiname,achieved,unlock_time
MONSTERS_KILLED_100,1,1471436552
HIGHEST_ZONE_10,1,1471436664
HIGHEST_ZONE_25,1,1483720347
HIGHEST_ZONE_50,1,1483794722
HIGHEST_ZONE_100,1,1484339734
HIGHEST_ZONE_120,1,1484586967
HIGHEST_ZONE_140,1,1485385847
HIGHEST_ZONE_160,1,1487648655
HIGHEST_ZONE_1200,1,1508170003
HIGHEST_ZONE_1400,1,1508263691
HIGHEST_ZONE_1600,1,1517675044
HIGHEST_ZONE_1800,1,1517850523
HIGHEST_ZONE_2000,1,1518907838
HIGHEST_ZONE_2200,1,1519265916
HIGHEST_ZONE_2400,1,1520002835
HIGHEST_ZONE_2600,1,1520531428
HIGHEST_ZONE_2800,1,1520945339
HIGHEST_ZONE_3000,1,1524626515
HIGHEST_ZONE_3200,1,1525175296
HIGHEST_ZONE_3400,1,1525526697
HIGHEST_ZONE_3600,1,1525867259
BOSS_KILLED_10,1,1483720261
BOSS_KILLED_100,1,1484959604
BOSS_KILLED_1000,1,1507507045
BOSS_KILLED_10000,1,1525869314
BOSS_KILLED_100000,1,1525936473
MONSTERS_KILLED_1000,1,1471436552
MONSTERS_KILLED_10000,1,1471436552
MONSTERS_KILLED_100000,1,1483720240
MONSTERS_KILLED_1000000,1,1486680409
MONSTERS_KILLED_1500000,1,1502677665
CLICKS_1000,1,1483720841
CLICKS_10000,1,1483721195
CLICKS_50000,1,1502850683
CLICKS_100000,1,1502852617
CLICKS_250000,1,1502857711
HERO_LEVELS_100,1,1483720336
HERO_LEVELS_500,1,1483720373
HERO_LEVELS_2500,1,1484164169
HERO_LEVELS_10000,1,1484701551
HERO_LEVELS_25000,1,1503154136
HERO_LEVELS_50000,1,1507650841
UPGRADE_25,1,1483720376
UPGRADE_50,1,1483759685
UPGRADE_100,1,1484188716
UPGRADE_200,1,1484956891
TREASURE_10000,1,1517506218
TRANSCEND_1,1,1484862008
TRANSCEND_3,1,1502987504
TRANSCEND_5,1,1504145046
TRANSCEND_10,1,1507775399
TRANSCEND_25,1,1521757907
TRANSCEND_50,1,1525875570
TRANSCEND_100,1,1525890617
TRANSCEND_250,1,1525985584
