apiname,achieved,unlock_time
L4D_ACHIEVEMENT_PUNCH_HUNTER,0,0
L4D_ACHIEVEMENT_RESCUE_FROM_SMOKER,1,1720503310
L4D_ACHIEVEMENT_ONE_SHOT_KILL_WITCH,0,0
L4D_ACHIEVEMENT_NO_TEAM_FINALE_DAMAGE,0,0
L4D_ACHIEVEMENT_NO_DAMAGE_AFTER_VOMIT,1,1720505962
L4D_ACHIEVEMENT_PROTECT_SURVIVORS_X_TIMES,1,1720571461
L4D_ACHIEVEMENT_CAMPAIGN_WITH_PISTOLS,0,0
L4D_ACHIEVEMENT_HEAL_X_SURVIVORS,0,0
L4D_ACHIEVEMENT_GIVE_PILLS_X_SURVIVORS,0,0
L4D_ACHIEVEMENT_REVIVE_X_SURVIVORS,0,0
L4D_ACHIEVEMENT_RESCUE_FROM_CLOSET,1,1720569627
L4D_ACHIEVEMENT_RESCUE_FROM_HUNTER,1,1720571174
L4D_ACHIEVEMENT_RESCUE_SELF_FROM_SMOKER,1,1720505366
L4D_ACHIEVEMENT_RESCUE_X_FROM_SMOKER,1,1720582655
L4D_ACHIEVEMENT_BURN_X_INFECTED,1,1720586641
L4D_ACHIEVEMENT_DONT_AWAKEN_WITCH,0,0
L4D_ACHIEVEMENT_KILL_TANK_SOLO,0,0
L4D_ACHIEVEMENT_KILL_TANK_NO_DAMAGE,1,1720506129
L4D_ACHIEVEMENT_NO_FRIENDLY_FIRE,0,0
L4D_ACHIEVEMENT_ALL_SURVIVORS_ALIVE,1,1720507966
L4D_ACHIEVEMENT_NO_SELF_MEDKIT,0,0
L4D_ACHIEVEMENT_WITCH_NO_DAMAGE,1,1720507096
L4D_ACHIEVEMENT_KILL_X_WITH_TURRET,0,0
L4D_ACHIEVEMENT_BLOW_UP_X_INFECTED,1,1720570352
L4D_ACHIEVEMENT_53595_INFECTED,0,0
L4D_ACHIEVEMENT_HEALTH_MARTYR,1,1720755274
L4D_ACHIEVEMENT_COVER_FRIEND_INCAPPED,0,0
L4D_ACHIEVEMENT_SHOVE_AND_KILL_BOOMER,0,0
L4D_ACHIEVEMENT_SURVIVE_WITHOUT_INCAP,0,0
L4D_ACHIEVEMENT_LEAVE_SAFEROOM_AND_REVIVE,0,0
L4D_ACHIEVEMENT_SURVIVE_ANY_IMPOSSIBLE,0,0
L4D_ACHIEVEMENT_SURVIVE_ALL_IMPOSSIBLE,0,0
L4D_ACHIEVEMENT_SURVIVE_NO_SPECIAL_DAMAGE,0,0
L4D_ACHIEVEMENT_BURN_WITCH,1,1720571679
L4D_ACHIEVEMENT_BURN_TANK,1,1720935108
L4D_ACHIEVEMENT_INFECTED_SNEAK_MELEE,0,0
L4D_ACHIEVEMENT_SURVIVE_NO_VOMIT,0,0
L4D_ACHIEVEMENT_MAKE_X_HEADSHOTS,1,1720505624
L4D_ACHIEVEMENT_HEADSHOT_HUNTER,1,1720571514
L4D_ACHIEVEMENT_SURVIVE_HOSPITAL,1,1720507991
L4D_ACHIEVEMENT_SURVIVE_SMALLTOWN,1,1720586811
L4D_ACHIEVEMENT_SURVIVE_AIRPORT,1,1720672543
L4D_ACHIEVEMENT_SURVIVE_FARM,1,1720756506
L4D_ACHIEVEMENT_COVER_ALL_WITH_BILE,0,0
L4D_ACHIEVEMENT_DRAG_SURVIVOR_X_DISTANCE,0,0
L4D_ACHIEVEMENT_CONSTRICT_X_WITHOUT_DYING,0,0
L4D_ACHIEVEMENT_POUNCE_X_WITHOUT_DYING,0,0
L4D_ACHIEVEMENT_KILL_ALL_WITHOUT_DYING,0,0
L4D_ACHIEVEMENT_DOLE_X_TOTAL_DAMAGE,0,0
L4D_ACHIEVEMENT_INCAP_AFTER_SAFEROOM,0,0
L4D_ACHIEVEMENT_INFECTED,0,0
L4D_ACHIEVEMENT_PLAY_LIGHTHOUSE,0,0
L4D_ACHIEVEMENT_GET_ONE_BRONZE,0,0
L4D_ACHIEVEMENT_GET_ONE_SILVER,0,0
L4D_ACHIEVEMENT_GET_ONE_GOLD,0,0
L4D_ACHIEVEMENT_GET_ALL_BRONZE,0,0
L4D_ACHIEVEMENT_GET_ALL_SILVER,0,0
L4D_ACHIEVEMENT_GET_ALL_GOLD,0,0
L4D_ACHIEVEMENT_SURVIVE_GARAGE,1,1720572192
L4D_ACHIEVEMENT_REPOWER_GENERATOR,1,1720571164
L4D_ACHIEVEMENT_5359_INFECTED_GARAGE,0,0
L4D_ACHIEVEMENT_WIN_VERSUS_GARAGE,0,0
L4D_ACHIEVEMENT_WIPE_ALL_AFTER_TRUCK,0,0
L4D_ACHIEVEMENT_HIT_X_WITH_CAR,0,0
L4D_ACHIEVEMENT_CAUSE_X_POUNCE_DAMAGE,0,0
L4D_ACHIEVEMENT_DRAG_BILED_SURVIVOR,0,0
L4D_ACHIEVEMENT_TANK_EXPLOSION_STUN,0,0
L4D_ACHIEVEMENT_INCAP_3_IN_5_SEC,0,0
L4D_ACHIEVEMENT_COMPLETE_THE_SACRIFICE,0,0
L4D_ACHIEVEMENT_SACRIFICE_BILL,0,0
L4D_ACHIEVEMENT_KILL_SPECIAL_WITH_BARREL,0,0
L4D_ACHIEVEMENT_RUN_ALL_GENERATORS,0,0
L4D_ACHIEVEMENT_VS_PREVENT_SACRIFICE,0,0
