apiname,achieved,unlock_time
CROW_CARRION,1,1346331870
DUST_TO_DUST,1,1346709592
CLIPPED_WINGS,1,1347302922
ITS_NOT_OVER,1,1347376974
SOUL_CRUSHING,1,1347220498
THE_BIG_BOSS,1,1347570267
A_STROLL_IN_THE_DEMONIC_PARK,1,1347570267
FOUR_MY_BROTHER,1,1347570267
A_TRUE_HORSEMAN,1,1347570267
PATHFINDER,1,1346503805
THE_SPECTRAL_TOUCH,1,1346684323
I_CAN_HAS_CAKE,1,1347288185
TEARING_TIME_A_NEW_ONE,1,1347310819
LOOKS_FAMILIAR,1,1346504035
DEATH_WILL_TEAR_US_APART,1,1346947019
BY_YOUR_COMMAND,1,1346858207
THE_TRIPLE_LINDY,1,1346968500
FIRE_OF_THE_MOUNTAIN,1,1346504276
TEARS_OF_THE_MOUNTAIN,1,1346614856
GNOMAD,1,1347376489
TO_MOVE_A_MOUNTAIN,1,1346679456
HEART_OF_THE_MOUNTAIN,1,1346709592
TREE_OF_LIFE,1,1346709752
THE_LORD_OF_BONES,1,1346782631
THE_TOLL_OF_KINGS,1,1346858092
THE_COURT_OF_BONES,1,1346946332
THE_BOOK_OF_THE_DEAD,1,1347385278
CITY_OF_THE_DEAD,1,1347221754
THE_ROOT_OF_CORRUPTION,1,1347569995
THE_ROD_OF_ARAFEL,1,1347285192
DIAMOND_GEEZERTRON,1,1347286663
MASS_RUCKUS,1,1346760986
STAINS_OF_HERESY,1,1347303143
THE_MAD_QUEEN,1,1347310823
LORD_OF_THE_BLACK_STONE,1,1347377274
THE_SECONDARY_ADVENTURE,1,1347396001
GRIM_REAPING,1,1346598326
BRAVO_OLD_CHAP,1,1349024627
IS_THERE_ANYONE_ELSE,1,1348265550
LIKE_A_NOSS,1,1346953593
ABRACADABRA,1,1347385491
ANTIQUING,1,1347386044
IVE_BROUGHT_YOU_A_GIFT,1,1347394772
EPIC,1,1348747341
FEEDING_TIME,1,1346593740
PAY_IT_FORWARD,1,1347563600
ALL_YOU_CAN_EAT_BUFFET,1,1347396000
FULL_POTENTIAL,1,1346858749
BFA,1,1349024627
RESPEC_YOURSELF,1,1347461889
