apiname,achieved,unlock_time
ACHIEVEMENT_00,1,1544277648
ACHIEVEMENT_01,1,1541011113
ACHIEVEMENT_02,1,1542463738
ACHIEVEMENT_03,1,1543773891
ACHIEVEMENT_04,1,1544223199
ACHIEVEMENT_05,1,1540043419
ACHIEVEMENT_06,1,1541027899
ACHIEVEMENT_07,1,1540066585
ACHIEVEMENT_08,1,1544277544
ACHIEVEMENT_09,1,1540046226
ACHIEVEMENT_10,1,1541256346
ACHIEVEMENT_11,1,1540224393
ACHIEVEMENT_12,1,1540663385
ACHIEVEMENT_13,1,1540652092
ACHIEVEMENT_14,1,1544277451
ACHIEVEMENT_15,1,1540068008
ACHIEVEMENT_16,1,1540064889
ACHIEVEMENT_17,1,1540041614
ACHIEVEMENT_18,1,1539895717
ACHIEVEMENT_19,1,1540133558
ACHIEVEMENT_20,1,1542570164
ACHIEVEMENT_21,1,1541096905
ACHIEVEMENT_22,1,1541096816
ACHIEVEMENT_23,1,1540066585
ACHIEVEMENT_24,1,1541023545
ACHIEVEMENT_25,1,1541105053
ACHIEVEMENT_26,1,1544277562
ACHIEVEMENT_27,1,1540576020
ACHIEVEMENT_28,1,1540840533
ACHIEVEMENT_29,1,1540134369
ACHIEVEMENT_30,1,1541084845
ACHIEVEMENT_31,1,1541364967
ACHIEVEMENT_32,1,1543954815
ACHIEVEMENT_33,1,1540085834
ACHIEVEMENT_34,1,1540931820
ACHIEVEMENT_35,1,1541362980
ACHIEVEMENT_36,1,1541023172
ACHIEVEMENT_37,1,1544277473
ACHIEVEMENT_38,1,1544277522
ACHIEVEMENT_39,1,1544277581
ACHIEVEMENT_40,1,1543092441
ACHIEVEMENT_41,1,1541263437
ACHIEVEMENT_42,1,1541536148
ACHIEVEMENT_43,1,1544277602
ACHIEVEMENT_44,1,1543784592
ACHIEVEMENT_45,1,1544277496
ACHIEVEMENT_46,1,1541026175
ACHIEVEMENT_47,1,1541294843
ACHIEVEMENT_48,1,1541009343
ACHIEVEMENT_49,1,1544214432
ACHIEVEMENT_50,1,1544277634
ACHIEVEMENT_51,1,1544277617
