apiname,achieved,unlock_time
BUILD_FOUNDATIONS,1,1725024927
BUILT_SPACE_ELEVATOR,1,1725024927
BUILT_MANUFACTURERS,1,1725024927
COMPLETE_ALL_RESEARCH_TREES,1,1725024927
COMPLETE_FIRST_RESEARCH_TREE,1,1725024927
COMPLETE_GAMEPHASE1,1,1725024927
COMPLETE_GAMEPHASE2,1,1725024927
COMPLETE_GAMEPHASE3,1,1725024927
COMPLETE_GAMEPHASE4,1,1725024927
COMPLETE_GAMEPHASE5,1,1725024927
COMPLETE_ONBOARDING,1,1725024927
DRINK_COFFEE,1,1725024927
ENTERED_CYBERWAGON,1,1725024927
FLOOR_IS_LAVA,1,1725024927
FUSE_RESET,1,1725024927
GATHERED_ALL_SLUG_TYPES,1,1725024927
GATHERED_HARDDRIVES,1,1725024927
JUMPED_ON_SPACE_GIRAFFE,1,1725024927
KNOCKED_CREATURE_WITH_VEHICLE,1,1725024927
BUILT_CONVEYOR_BELT,1,1725024927
PIPELINE_PLACED,1,1725024927
RAILWAY_PLACED,1,1725024927
PICKED_UP_BOOMTAPE,1,1725024927
NUM_PLAYER_KNOCKED_OVER,1,1725024927
PETTED_MANTA,1,1725024927
PICKED_UP_CONSUMABLES,1,1725024927
PICKED_UP_FIRST_MERCER,1,1725024927
PICKED_UP_FIRST_SOMERSLOOP,1,1725024927
PICKED_UP_X_MERCER,1,1725024927
PICKED_UP_X_SOMERSLOOP,1,1725024927
PLACED_PORTABLE_MINER,1,1725024927
PRINTED_COUPON,1,1725024927
PURCHASED_NUT,1,1725024927
REACHED_HIGHEST_PEAK,1,1725024927
SETUP_TRAIN_SCHEDULE,1,1725024927
SURVIVED_FALL_1HP,1,1725024927
TAMED_LIZARD_DOGGO,1,1725024927
TOO_FAST,1,1725024927
UNLOCK_FIRST_ALT_RECIPE,1,1725024927
PICKED_UP_SLUG,1,1725024927
REACH_MAX_WORLD_HEIGHT,1,1725024927
UNLOCK_ALL_MILESTONES,1,1725024927
DESTROY_FOLIAGE,1,1725024927
VISIT_STARTING_BIOMES,1,1725024927
