apiname,achieved,unlock_time
Boss57,1,1608304392
BossConvoy,1,1608564657
BossArena,1,1608306542
BossBlob,1,1608298741
BossJet,1,1608393386
BossDefender,1,1608300523
BossServer,1,1608294201
BossArmageddon,1,1608395972
BossArmageddon200,1,1608452832
Prestige,1,1608448495
DivineWeapon,1,1608454562
Credits10000,1,1612796160
Researches,1,1608448495
ClassGuardian,1,1608448495
ClassRogue,1,1608564913
ClassCommando,1,1608730786
ClassSpecialist,1,1608983535
Shieldboost,1,1612797106
Loop5rooms,1,1608463359
RatingS,1,1608309886
RatingSSS,1,1608985013
ChestTimedLastSecFail,1,1608315042
Artefact,1,1608293138
UltraWeapon,1,1608571782
HeartCoreHP,1,1608913637
Class25,1,1608448495
ChestTimedLastSec,1,1608450341
