apiname,achieved,unlock_time
QUEST_SOLVER_SILVER,1,1515253430
QUEST_SOLVER_GOLD,1,1515412059
QUEST_SOLVER_RUBIE,1,1516134762
EXPLORER_SILVER,1,1515253979
EXPLORER_GOLD,1,1515412068
EXPLORER_RUBIE,1,1515618870
CHOSEN_BY_SPIRITS_SILVER,1,1515348838
CHOSEN_BY_SPIRITS_GOLD,1,1515449023
CHOSEN_BY_SPIRITS_RUBIE,1,1515755889
MANA_DRINKER_SILVER,1,1515356601
MANA_DRINKER_GOLD,1,1515511316
MANA_DRINKER_RUBIE,1,1515941763
CHOSEN_WARRIOR_SILVER,1,1516361474
CHOSEN_WARRIOR_GOLD,1,1517570352
CHOSEN_WARRIOR_RUBIE,1,1520683732
TRAVELLER_SILVER,1,1516467147
TRAVELLER_GOLD,1,1518780336
TRAVELLER_RUBIE,1,1523617287
SEA_DOG_SILVER,1,1515338630
SEA_DOG_GOLD,1,1515446365
SEA_DOG_RUBIE,1,1518263407
ALL-SEEING_SILVER,1,1515431441
ALL-SEEING_GOLD,1,1516196370
ALL-SEEING_RUBIE,1,1518180208
HAND_OF_GOD_SILVER,1,1515446237
HAND_OF_GOD_GOLD,1,1516198389
HAND_OF_GOD_RUBIE,1,1517142119
COLLECTOR_SILVER,1,1515333609
COLLECTOR_GOLD,1,1515412076
COLLECTOR_RUBIE,1,1515608784
BY_MIGHT_AND_MAGIC_SILVER,1,1515346854
BY_MIGHT_AND_MAGIC_GOLD,1,1515516479
BY_MIGHT_AND_MAGIC_RUBIE,1,1516381844
OLD_BONES_SILVER,1,1515334483
OLD_BONES_GOLD,1,1515516609
OLD_BONES_RUBIE,1,1516377061
SWAMP_HORDES_SILVER,1,1515341935
SWAMP_HORDES_GOLD,1,1515602746
SWAMP_HORDES_RUBIE,1,1516704240
OGRE_HUNTER_SILVER,1,1515416289
OGRE_HUNTER_GOLD,1,1515676338
OGRE_HUNTER_RUBIE,1,1517589562
GREMLIN_BANE_SILVER,1,1515434972
GREMLIN_BANE_GOLD,1,1515960840
GREMLIN_BANE_RUBIE,1,1517594240
TUTANKHAMUN_CURSE_SILVER,1,1516134261
TUTANKHAMUN_CURSE_GOLD,1,1517927397
TUTANKHAMUN_CURSE_RUBIE,1,1519045315
PURIFIER_OF_LANDS_SILVER,1,1515352241
PURIFIER_OF_LANDS_GOLD,1,1515448023
PURIFIER_OF_LANDS_RUBIE,1,1516198747
SMOKE_DISSOLVER_SILVER,1,1515420482
SMOKE_DISSOLVER_GOLD,1,1516023916
SMOKE_DISSOLVER_RUBIE,1,1516880086
MIRROR_BREAKER_SILVER,1,1515351898
MIRROR_BREAKER_GOLD,1,1515776327
MIRROR_BREAKER_RUBIE,1,1516813183
LINGUIST_SILVER,1,1515433528
LINGUIST_GOLD,1,1516020215
LINGUIST_RUBIE,1,1516648816
OWL_SIGHT_SILVER,1,1515412084
OWL_SIGHT_GOLD,1,1515499244
OWL_SIGHT_RUBIE,1,1517399271
TREASURE_SEEKER_SILVER,1,1515432297
TREASURE_SEEKER_GOLD,1,1515777674
TREASURE_SEEKER_RUBIE,1,1516894100
MASTER_OF_SHOTS_SILVER,1,1515419769
MASTER_OF_SHOTS_GOLD,1,1516035186
MASTER_OF_SHOTS_RUBIE,1,1517337837
HUNGRY_ONE_SILVER,1,1515334932
HUNGRY_ONE_GOLD,1,1515499590
HUNGRY_ONE_RUBIE,1,1517163090
GENEROUS_SILVER,1,1515507316
GENEROUS_GOLD,1,1515620153
GENEROUS_RUBIE,1,1518436954
OLYMPIC_COMPETITOR_SILVER,1,1515620457
OLYMPIC_COMPETITOR_GOLD,1,1516291211
OLYMPIC_COMPETITOR_RUBIE,1,1517833384
