apiname,achieved,unlock_time
ACH_HONK_A_CLOWNS_NOSE,0,0
ACH_INCENDIARY_CLOWN_POSSE,0,0
ACH_MELEE_A_CHARGER,0,0
ACH_KILL_SPITTER_FAST,1,1721012706
ACH_FINISH_CAMPAIGN_MELEE_ONLY,0,0
ACH_KILL_EVERY_UNCOMMON_INFECTED,1,1721274802
ACH_SAVE_PLAYER_FROM_JOCKEY_FAST,1,1720937964
ACH_CUT_OFF_HEADS_MELEE,0,0
ACH_VS_LEAVE_SAFE_ROOM_DEFIB_TEAMMATE,0,0
ACH_BEAT_CAMPAIGNS_EXPERT_MODE,0,0
ACH_SURVIVE_EXPERT_REALISM,0,0
ACH_VS_FORM_PARTY_AND_WIN_4V4,0,0
ACH_KILL_SUBMERGED_MUDMEN,0,0
ACH_COLLECT_CEDA_VIALS,0,0
ACH_KILL_ZOMBIES_GRENADE_BLAST,1,1722313467
ACH_IGNITE_INFECTED_FIRE_AMMO,1,1721450047
ACH_DEPLOY_AMMO_UPGRADE,1,1721273833
ACH_RES_SURVIVORS_WITH_DEFIB,0,0
ACH_SPEED_REVIVE_WITH_ADRENALINE,0,0
ACH_KILL_INFECTED_WITH_CHAINSAW,0,0
ACH_BILE_A_TANK,0,0
ACH_KILL_WITH_EVERY_MELEE,0,0
ACH_KILL_TANK_MELEE_ONLY,0,0
ACH_BRIDGE_TIMED_RUN,0,0
ACH_SURVIVE_MALL,0,0
ACH_SURVIVE_ROAD,1,1721107123
ACH_SURVIVE_SWAMP,1,1721277459
ACH_SURVIVE_TOWN,1,1721454629
ACH_SURVIVE_BRIDGE,0,0
ACH_IMPOUND_LOT_NO_ALARMS,0,0
ACH_GNOME_RESCUE,0,0
ACH_WITCH_TOWN_NO_WITCH_KILLS,0,0
ACH_AIRLINE_FINALE_NO_DAMAGE,0,0
ACH_VS_JOCKEY_LONG_RIDE,0,0
ACH_VS_JOCKEY_TWO_PLAYERS,0,0
ACH_VS_JOCKEY_INTO_ACID,0,0
ACH_VS_SPIT_ON_ENEMY_TEAM,0,0
ACH_VS_SPIT_ON_SMOKERED_PLAYER,0,0
ACH_VS_BOWL_ENEMY_TEAM,0,0
ACH_VS_CHARGER_GROUND_SMASH,0,0
ACH_VS_CHARGER_LONG_CARRY,0,0
ACH_SURVIVAL_GET_MEDAL_MELEE_ONLY,0,0
ACH_SCAVENGE_WIN_A_GAME,0,0
ACH_SCAVENGE_COLLECT_CAN_GRIND,0,0
ACH_SCAVENGE_COLLECT_ALL_CANS,0,0
ACH_SCAVENGE_SHUT_OUT,0,0
ACH_STRONGMAN_GAME,0,0
ACH_SCAVENGE_MAKE_SURVIVOR_DROP_CAN,0,0
ACH_SCAVENGE_CAN_DROP_GRIND,0,0
ACH_STASH_WHACKER,0,0
ACH_SURVIVE_THE_PASSING,0,0
ACH_VS_CHARGE_THROUGH_CHAIRS,0,0
ACH_KILLS_WITH_M60,0,0
ACH_SCAVENGE_FALLEN_SURVIVOR,0,0
ACH_COMPLETE_CHALLENGE_MODES,0,0
ACH_HEADS_WITH_GOLF_CLUB,1,1722909288
ACH_HEAR_BALLAD,0,0
ACH_KILL_TANK_L4D1_ONLY,0,0
ACH_OPEN_FOOT_LOCKERS,0,0
ACH_SCAVENGE_PLAY_C6_FINALE,0,0
ACH_COMPLETE_THE_SACRIFICE,0,0
ACH_SACRIFICE_BILL,0,0
ACH_KILL_SPECIAL_WITH_BARREL,0,0
ACH_RUN_ALL_GENERATORS,0,0
ACH_VS_PREVENT_SACRIFICE,0,0
ACH_SURVIVE_COLD_STREAM,0,0
ACH_VS_COMPLETE_DEAD_AIR,0,0
ACH_COLLECT_HOLIDAY_GIFTS,0,0
ACH_HELP_FREE_PLAYER_SURVIVE,0,0
ACH_HELP_FREE_CHRISTMAS_PLAYER_SURVIVE,0,0
ACH_SURVIVAL_BRONZE_MEDAL,1,1722312260
ACH_SURVIVAL_SILVER_MEDAL,1,1722312440
ACH_SURVIVAL_GOLD_MEDAL,0,0
ACH_SURVIVE_LIGHTHOUSE,0,0
ACH_SURVIVE_LIGHTHOUSE_EXPERT_REALISM,0,0
ACH_COLLECT_GOLDEN_CROWBARS,0,0
ACH_REVIVE_WITH_ACTIVE_TANK,1,1722912399
ACH_VS_SPIT_ON_CHARGED_PLAYER,0,0
ACH_VS_SPIT_ON_POUNCED_PLAYER,0,0
ACH_VS_SPIT_ON_GAS_CANS,0,0
ACH_VS_CHARGER_INSTANT_KILL,0,0
ACH_VS_BILE_PLAYER_NO_LINE_OF_SIGHT,0,0
ACH_RESCUE_X_PLAYERS_TOGETHER,0,0
ACH_FREE_SELF_FROM_SMOKER_WITH_MELEE,0,0
ACH_KILL_LEAPING_HUNTER_WITH_SHOTGUN,1,1721010130
ACH_DESTROY_TANK_ROCK,0,0
ACH_ONE_SHOT_KILL_WITCH_BRIDE,0,0
ACH_CAUSE_X_POUNCE_DAMAGE,0,0
ACH_KILL_X_JOCKEYS_WITH_MELEE,0,0
ACH_SURVIVAL_VERSUS_X_MINUTES,0,0
ACH_KILL_X_INFECTED_LIFETIME,0,0
ACH_ESCAPE_MALL_FINALE_NO_TANKS,0,0
ACH_FIND_LIGHTHOUSE_HIDDEN_ROOM,0,0
ACH_EARN_ALL_BRONZE_MEDALS,0,0
ACH_EARN_ALL_SILVER_MEDALS,0,0
ACH_EARN_ALL_GOLD_MEDALS,0,0
ACH_SURVIVAL_X_MINUTES,0,0
ACH_KILL_WITCH_MELEE_ONLY,0,0
ACH_CONCERT_FINALE_DONT_LEAVE_STAGE,0,0
ACH_LAST_STAND_TIMED,0,0
GLOBAL_GNOME_ALONE,1,1720937501
