apiname,achieved,unlock_time
Dead Presidents,1,1338999204
The Welcome Wagon,1,1338999637
"Opulence, You Has It",1,1339002275
We're Takin' Over,1,1339002498
Tower Defense,1,1339105507
"Kuh, Boom.",1,1339004018
Gotta Break Em In,1,1339008190
I Heart Nyte Blayde,1,1339008934
kill-deckers.exe,1,1339009947
Titanic Effort,1,1339011660
Once Bitten... Braaaaaaains,1,1339012611
Murderbrawl 31,1,1339013291
Mr. Fury Would Be Proud,1,1339015002
Gangstas...  In Space!,1,1339013943
Hanging With Mr. Pierce,1,1338907105
Mourning Stars,1,1338907105
Hack the Planet,1,1338907105
You're the Best...,1,1338907105
"Bright Lights, Big City",1,1338907105
Ouch.,1,1338907105
"Tune In, Drop Off",1,1338907105
And Boom Goes the Dynamite,1,1338907105
Fence Killa 2011,1,1338907105
Your Backseat Smells Funny,1,1338907105
Double Dose of Pimping,1,1338907105
Porkchop Sandwiches,1,1338907105
Go Into the Light,1,1338907105
Tank You Very Much,1,1338907105
Have A Reality Climax,1,1338907105
Everything is Permitted,1,1338907105
Hi-Jack It,1,1338907105
Getting the Goods,1,1338907105
Life of the Party,1,1338907105
Shake and Bake,1,1338907105
You're My Hero!,1,1338908815
Ow My Balls!,1,1338907105
Gender Equality,1,1338907105
Bo-Duke-En,1,1338907105
Love Hate Relationship,1,1338907105
Gellin' Like Magellan,1,1338907105
Who Loves Ya Baby,1,1338907105
Stay Classy Steelport,1,1338907105
The American Dream,1,1338907105
A Better Person,1,1339161363
Haters Gonna Hate,1,1338907105
Cowboy Up,1,1339068217
Pimped Out Pad,1,1339176222
Flash the Pan,1,1338907105
Third and 30,1,1338907105
Jumped In,1,1338913500
Bromance in the Row,1,1340055367
Crew of Two,1,1344960888
Partners in Crime,1,1346927064
Cooked To Perfection,1,1339019939
Get Off My Back,1,1339019620
Stick the Landing,1,1339078795
Cat on a Hot Tin Roof,1,1339085988
Flame On,1,1339078795
Feeding Time,1,1339019287
Murder in the Jungle,1,1339019342
Storm the Yarn,1,1339020335
C-C-C-Combo breaker,1,1339086503
Genki Bowl Champ,1,1339081482
No Stuntman Required,1,1339088369
Blowing the Budget,1,1339089386
Cameramen Down,1,1339088536
Xenaphobe,1,1339095600
Lights! Camera! Action!,1,1339095366
Pew Pew Pew!,1,1339092783
Man Power!,1,1339093063
Shoot that Green Stuff,1,1339097748
MDK3000,1,1339098415
A-Lister,1,1339098561
BAMF!,1,1339099869
Public Enemy No. 1,1,1339100170
Here's Johnny,1,1339100244
Eye of the Bee-Holder,1,1339100745
Sting Operation,1,1339100982
Tour de Farce,1,1339101209
Supaa-Excellent!,1,1339102325
Send in the Clones,1,1339102669
The Johnnyguard,1,1339103238
"My Pet, Monster",1,1339103342
