apiname,achieved,unlock_time
AchLevel002,1,1608770969
AchLevel005,1,1608822937
AchLevel010,1,1609432724
AchLevel020,0,0
AchLevel030,0,0
AchLevel040,0,0
AchLevel050,0,0
AchLevel060,0,0
AchPCCollected01,1,1608771479
AchPCCollected02,1,1608911364
AchPCCollected03,1,1608992652
AchPCCollected04,0,0
AchPCCollected05,0,0
AchPCCollected06,0,0
AchPCSecretCollected01,0,0
AchPCSecretCollected02,0,0
AchLevel070,0,0
AchPCCollected07,0,0
AchLevel080,0,0
AchLevel090,0,0
AchLevel100,0,0
AchPCCollected08,0,0
AchLevel150,0,0
AchLevel200,0,0
AchBarrelRoll,0,0
AchFruitSalad,0,0
AchShapeshifter,0,0
AchPotato,0,0
AchOnlyOne,1,1608840449
AchNativeWitch,0,0
AchBig,0,0
AchLastWitch,1,1608842211
AchSneakyWItch,0,0
AchWitchHunter,0,0
AchPowerup,0,0
AchTourist,0,0
AchCatchFly,1,1608840035
AchCannonball,0,0
AchLevel250,0,0
AchPhoto,0,0
AchPCSecretCollected03,0,0
