apiname,achieved,unlock_time
KillMultipleEnemies,1,1363536449
KillRetreating,1,1363541216
CompleteCampaignEasy,1,1363555721
CompleteCampaignNormal,1,1364574175
CompleteCampaignHard,1,1364574175
CompleteCampaignLegendary,1,1364574175
CompleteCampaignAsSM,1,1364574175
CompleteCampaignAsOrk,1,1364254108
CompleteCampaignAsEldar,1,1363634065
CompleteCampaignASTyranid,1,1363555721
CompleteCampaignAsChaos,1,1364335922
CompleteCampaignAsIG,1,1364654814
Coop_CompleteOneMission,1,1364156692
Coop_CompleteMultipleMissionsAsGuest,1,1364320121
Coop_CompleteCampaign,1,1364335922
MaxOutDisciplineInCampaign,1,1363540037
MP_Create3PlayerPartyAndPlayRanked,1,1363363432
MP_PlayMultipleRankedGames,1,1362570472
MP_ViewRecordedGame,1,1362237653
MP_MultipleRankedWins,1,1363096147
MP_MultipleEldarGames,1,1362944443
MP_MultipleSMGames,1,1362606338
MP_MultipleOrkGames,1,1362611162
MP_MultipleTyranidGames,1,1362600975
MP_MultipleChaosGames,1,1362869466
MP_MultipleIGGames,1,1362866066
MP_EarnMultipleMVP,1,1362607814
MP_ReviveMultipleTimes,1,1363018394
MP_WinStreak,1,1362570723
MP_FlawlessVictory,1,1362515308
MP_UseArmyPainter,1,1361637500
MP_WinForKhorne,1,1362867279
MP_WinForTzeentch,1,1362866234
MP_WinForNurgle,1,1362866580
MP_WinRanked3v3WithAllChaosHeroes,1,1363368277
MP_WinRanked3v3WithAllSMHeroes,1,1363369927
MP_WinRanked3v3WithAllEldarHeroes,1,1363366762
MP_WinRanked3v3WithAllTyranidHeroes,1,1363364894
MP_WinRanked3v3WithAllIGHeroes,1,1363367405
MP_WinRanked3v3WithAllOrkHeroes,1,1363369114
MP_FFA_HoldMultipleVictoryPoints,1,1362493676
LS_HighScore01,1,1361645816
LS_MaxLevel,1,1361724848
LS_WinMaxWaveInMap01,1,1361659716
LS_WinMaxWaveInMap02,1,1361744260
LS_HighScore02,1,1361659716
LS_HighScore03,1,1361659716
LS_HighScore04,1,1361659716
LS_HighScore05,1,1362254967
MP_PerfectVictory,1,1363004280
MP_ConcedeAfterGG,1,1362577214
MP_Spammer,1,1362493587
MP_ReinforcementFromDifferentRaceUnit,1,1364669124
DefeatBeneblade,1,1363535728
DefeatRenegadeIGOnMeridian,1,1363543070
EscapeFromImperialFleet,1,1363547975
UnlockFinalMission,1,1363552113
UnlockAllUnitsInCampaign,1,1363550311
LS_CaptainKills,1,1361964229
LS_CaptainKillsInAMatch,1,1361969464
LS_FarseerRevives,1,1362327511
LS_FarseerMultiplier,1,1362079136
LS_GeneralKills,1,1362165247
LS_GeneralPointCap,1,1361650401
LS_HiveTyrantSuperheavyKills,1,1362425319
LS_HiveTyrantMegaKill,1,1362083931
LS_MekboyKills,1,1362231967
LS_MekboyKillsInAMatch,1,1362218231
LS_SorcererCloneKiller,1,1361993275
LS_SorcererEnergyUsed,1,1361980124
FlameEnemies,1,1361645229
LS_KillBanshees,1,1361644042
LS_FutureAchievementA,1,1361707553
LS_FutureAchievementB,1,1362746308
FutureAchievementC,1,1363021484
LS_FutureAchievementD,1,1457639627
LS_FutureAchievementE,1,1457640697
