apiname,achieved,unlock_time
2147714,1,1549826573
completeTown10,1,1487496638
completeTown50,1,1488105024
completeTown100,1,1488738878
completeTown500,1,1497787701
completeTown1000,1,1498409997
completeTownAll,0,0
completeNorthCanberraACT,1,1549802603
completeSouthCanberraACT,1,1549804273
completeSouthernSydneyNSW,1,1489770792
completeSouthSydneyNSW,1,1549826808
completeNorthernSydneyNSW,1,1490889132
completeWesternSydneyNSW,1,1493626691
completeSydneySurroundsNSW,1,1491045648
completeMidNorthCoastNSW,1,1497020913
completeMurrayNSW,0,0
completeMurrumbidgeeNSW,1,1549804962
completeHunterNSW,1,1549794324
completeIllawarraNSW,1,1549800842
completeRichmondTweedNSW,1,1497305172
completeSouthEasternNSW,1,1549825132
completeNorthernNSW,1,1549800922
completeCentralWestNSW,1,1493543632
completeNorthWesternNSW,1,1496651712
completeFarWestNSW,1,1496480129
completeBrisbaneQLD,0,0
completeIpswichQLD,1,1497479572
completeNorthernQLD,0,0
completeCentralQLD,0,0
completeSouthernQLD,0,0
completeWesternQLD,0,0
completeAdelaideSA,0,0
completeOuterAdelaideSA,0,0
completeSouthernSA,0,0
completeNorthernSA,0,0
completeNorthernTAS,0,0
completeSouthernTAS,0,0
completeNorthWestMelbourneVIC,0,0
completeEasternMelbourneVIC,0,0
completeSouthernMelbourneVIC,0,0
completeWestVictoriaVIC,0,0
completeEastVictoriaVIC,0,0
completePerthWA,0,0
completeNorthernPerthWA,0,0
completeNorthernWA,0,0
completeWesternWA,0,0
completeSouthernPerthWA,0,0
completeSouthernWA,0,0
completeACT,1,1549804273
completeNSW,0,0
completeVIC,0,0
completeQLD,0,0
completeSA,0,0
completeTAS,0,0
completeWA,0,0
completeNT,0,0
completeAUS,0,0
i10000008_63,0,0
upgradeAllIndustry,0,0
buyIndustry,1,1488126314
buyMegaIndustry,1,1493138991
r21477142169378,1,1487523075
fixAllRoads,0,0
millionaire,1,1488650227
compTownSouthernSydneyNSW,1,1488219743
compTownSouthSydneyNSW,1,1549826573
compTownNorthSydneyNSW,1,1490434072
compTownWesternSydneyNSW,1,1489603383
compTownSydneySurroundsNSW,1,1490975659
compTownMidNorthCoastNSW,1,1496512648
compTownMurrayNSW,0,0
compTownMurrumbidgeeNSW,1,1549795294
compTownHunterNSW,1,1549794324
compTownIllawarraNSW,1,1490954380
compTownRichmondTweedNSW,1,1497197804
compTownSouthEasternNSW,1,1549823313
compTownNorthernNSW,1,1496672105
compTownCentralWestNSW,1,1491291902
compTownNorthWesternNSW,1,1493272154
completeTown20,1,1487701886
completeTown30,1,1487958805
completeTown40,1,1488043351
completeTown75,1,1488480337
completeTown200,1,1489770086
completeTown300,1,1491117721
completeTown400,1,1496511772
completeTown600,1,1497820211
completeTown700,1,1498080633
completeTown800,1,1498298200
completeTown900,1,1498395264
completeTown5,1,1487494969
2158177,0,0
2174003,1,1497481241
2063523,0,0
2078025,0,0
2165087,1,1497290844
2172517,1,1490885844
2155472,1,1491034093
2171507,1,1489690161
7281838,1,1497374776
2165798,0,0
2163355,0,0
2146142,0,0
10000034,1,1497391858
2172797,0,0
10000020,1,1490973767
2146268,1,1496671267
2073124,0,0
2062338,0,0
2160517,0,0
2176187,1,1549825525
2177091,0,0
2176373,1,1490945982
7302189,1,1549804273
2067119,0,0
2159220,0,0
2173323,0,0
2075432,0,0
2159045,1,1491064354
2077579,0,0
2151437,0,0
7302628,0,0
2207259,0,0
10000039,1,1549801766
2147497,1,1495042686
10000044,1,1549802398
2145110,1,1549795295
2178174,0,0
2152659,1,1496508432
2152286,1,1549802012
2170078,0,0
2154219,1,1491291902
2175411,1,1489172382
2149645,0,0
2172710,0,0
7281807,0,0
10000038,0,0
2158151,0,0
2172111,1,1488043351
2154787,1,1490954380
2166143,0,0
2144528,0,0
2077963,0,0
8015209,0,0
2176632,1,1490458978
10000041,1,1549803462
2168305,1,1492016832
2143285,0,0
2068823,0,0
2165478,0,0
2068079,0,0
2160063,1,1496859483
2157698,0,0
2147914,0,0
2148928,1,1497290669
2148398,1,1491119713
2176934,1,1497085129
2070998,0,0
2158651,1,1488304963
2171085,1,1496511291
2156813,1,1489336489
2151649,0,0
2208285,1,1488479476
2077895,0,0
2152329,1,1489227176
8347325,0,0
6301965,0,0
2071223,0,0
7281850,0,0
8504554,1,1549797748
7302631,0,0
7932612,0,0
2156643,0,0
2158626,1,1488044832
2164691,1,1488706583
2065594,0,0
10000043,1,1549804094
2177671,1,1495358632
2065740,0,0
2156878,0,0
2146108,0,0
2075265,0,0
2158562,0,0
2172832,0,0
2172303,1,1488045513
2159851,1,1488104204
2172311,1,1487958327
2164837,1,1490369226
2143069,1,1497481942
7932654,1,1497475493
10000021,1,1488133043
2062944,0,0
2164515,0,0
2071059,0,0
2173125,0,0
7932629,0,0
2173741,0,0
2163137,1,1489328882
7281840,1,1487875390
2170089,0,0
2058430,0,0
2172686,0,0
7932638,0,0
2065176,0,0
2167817,0,0
2168943,0,0
7302642,1,1488478443
2167280,1,1488216609
2161776,1,1489424363
2147849,0,0
2173911,1,1493057456
2156934,0,0
2167312,1,1488031913
2150660,0,0
2156340,0,0
2166309,1,1489385810
2208305,1,1489335733
2070571,0,0
7281782,1,1488822121
2144764,0,0
2169956,1,1487958804
2147381,1,1495899426
2167949,1,1487875111
2147892,1,1497479770
2171845,1,1491036902
2155542,1,1497168492
2169220,0,0
2157343,0,0
8347717,0,0
2164422,1,1492967050
6943558,0,0
2173605,0,0
7932646,0,0
7281839,0,0
7932636,0,0
2063042,0,0
2160744,1,1488098252
2161311,0,0
2163055,0,0
2176123,0,0
2177069,1,1496856806
6621337,1,1488562656
2160258,1,1488653191
7932618,0,0
2158867,1,1489171878
2162733,1,1488480068
7932620,0,0
2171360,0,0
2145214,0,0
2149475,1,1491066126
2174933,0,0
2205631,1,1491065040
2156671,1,1488129649
2177394,0,0
2155386,1,1488131662
2156825,0,0
2152658,0,0
2142316,0,0
2063056,0,0
2063030,0,0
10000037,0,0
2150615,0,0
2170697,1,1488908754
7932627,0,0
7932614,0,0
7932626,0,0
2063036,0,0
2168556,1,1489167459
2170852,1,1488822476
2157495,1,1487530383
2075720,0,0
2061840,0,0
6931021,1,1497374438
2144502,1,1496672378
6695266,0,0
7932611,0,0
7932635,0,0
2161515,1,1489792174
