apiname,achieved,unlock_time
Achievement0,1,1587975584
Achievement1,1,1545866861
Achievement2,1,1546039168
Achievement3,1,1553084386
Achievement4,1,1577051219
Achievement5,1,1577230167
Achievement6,1,1577309350
Achievement7,1,1577488893
Achievement8,1,1578527029
Achievement9,1,1577481276
Achievement10,1,1552844511
Achievement11,1,1579462730
Achievement12,1,1553360596
Achievement13,1,1587975584
Achievement14,1,1577051269
Achievement15,1,1545859994
Achievement16,1,1545868543
Achievement17,1,1553367510
Achievement18,1,1546038974
Achievement19,1,1581621089
Achievement20,1,1587064530
Achievement21,1,1581620654
Achievement22,1,1580161716
Achievement23,1,1578777355
Achievement24,1,1579300343
Achievement25,1,1578668383
Achievement26,1,1579112221
Achievement27,1,1578081412
Achievement28,1,1553074798
Achievement29,1,1577035943
Achievement30,1,1587056100
Achievement31,1,1578939302
Achievement32,1,1580852638
Achievement33,1,1579194506
Achievement34,1,1586102897
Achievement35,1,1587931841
Achievement36,1,1577189219
Achievement37,1,1586084426
Achievement38,1,1587575025
Achievement39,1,1550782897
Achievement40,1,1579365988
Achievement41,1,1579959881
Achievement42,1,1578526083
Achievement43,1,1580393761
Achievement44,1,1554318791
Achievement45,1,1579387949
Achievement46,1,1546039169
Achievement47,1,1578511283
Achievement48,1,1579186502
Achievement49,1,1580421413
Achievement50,1,1599556315
Achievement51,1,1578604948
Achievement52,1,1578692826
Achievement53,1,1578851953
Achievement54,1,1579289239
Achievement55,1,1579345309
Achievement56,1,1579521665
Achievement57,1,1579522333
Achievement58,1,1586693066
Achievement59,1,1579998269
Achievement60,1,1580003975
Achievement61,1,1581248560
Achievement62,1,1579541753
Achievement63,1,1578646502
Achievement64,1,1578645670
Achievement65,1,1587319445
Achievement66,1,1581022482
Achievement67,1,1586642066
Achievement68,1,1587320070
Achievement69,1,1587571953
Achievement70,1,1586739145
Achievement71,1,1586738526
Achievement72,1,1579949813
Achievement73,1,1581248844
Achievement74,1,1579025593
Achievement75,1,1578661197
Achievement76,1,1578840804
Achievement77,1,1580073343
Achievement78,1,1587068238
Achievement79,1,1590256309
Achievement80,1,1579343816
Achievement81,1,1578786326
Achievement82,1,1581022195
Achievement83,1,1578666350
Achievement84,1,1578666547
Achievement85,1,1579109343
Achievement86,1,1578795336
Achievement87,1,1580323730
Achievement88,1,1586794107
Achievement89,1,1579387950
Achievement90,1,1587155277
Achievement91,1,1590234770
Achievement92,1,1591871015
Achievement93,1,1599556315
Achievement94,1,1578604949
Achievement95,1,1579629076
Achievement96,1,1579993769
Achievement97,1,1586692755
Achievement98,1,1579289240
Achievement99,1,1586652233
