apiname,achieved,unlock_time
enemy_kill_magic_1,1,1546021820
new_location_1,1,1546022317
new_location_2,1,1546023512
new_location_3,1,1546024798
crossroads_visit_1,1,1546041450
crossroads_visit_2,1,1550106981
stage_complete_1,1,1546026988
stage_complete_2,1,1546813510
stage_complete_3,1,1547621207
stage_complete_4,1,1548491561
stage_complete_5,1,1549218170
stage_complete_6,1,1549413250
stage_complete_7,1,1552852827
hero_hired_1,1,1546021854
hero_hired_2,1,1546021954
hero_hired_3,1,1546022262
hero_hired_4,1,1546023063
hero_hired_5,1,1546031255
hero_hired_6,1,1546154128
hero_hired_7,1,1546592217
collect_hero_ring_1,1,1545999427
unique_hero_ring_1,1,1549837485
maxed_hero_ring_1,1,1554321420
artifact_reroll_1,1,1546055930
artifact_demolish_1,1,1546038698
chrono_bought_1,1,1546560426
chrono_maxed_1,1,1548162009
collect_arrowhead_1,1,1548369656
collect_finger_1,1,1549188214
collect_bone_1,1,1548977938
collect_horn_1,1,1552440713
collect_eye_1,1,1552609441
collect_rare_1,1,1546006085
artifact_craft_1,1,1546023223
artifact_craft_2,1,1546109221
artifact_craft_3,1,1547565784
magic_level_1,1,1546031022
magic_level_2,1,1546811334
magic_level_3,1,1547622265
magic_level_4,1,1549230077
magic_level_5,1,1552858125
time_loop_1,1,1546027489
time_loop_2,1,1546078969
time_loop_3,1,1546129478
time_loop_4,1,1546976811
time_loop_5,1,1557142740
chest_unlock_1,1,1546021984
chest_unlock_2,1,1546027650
chest_unlock_3,1,1546086788
chest_unlock_4,1,1546130313
chest_unlock_5,1,1546943940
collect_fay_gift_1,1,1546021949
collect_fay_gift_2,1,1546026685
collect_fay_gift_3,1,1546040723
chest_boost_1,1,1546056854
boost_chest_unlock_1,1,1546021984
boost_chest_unlock_2,1,1546027650
boost_chest_unlock_3,1,1546087159
mimic_craft_1,1,1547830522
mimic_craft_2,1,1547836293
mimic_craft_3,1,1549293219
mimic_level_1,1,1547847657
build_organs_all_1,1,1548057447
build_organs_max_1,1,1548159799
mimic_unlock_1,1,1547830694
collect_fayball_mimic_1,1,1547834898
collect_ring_mimic_1,1,1548160549
collect_gift_mimic_1,1,1548160554
collect_wizardnote_1,1,1547554752
collect_gratogmor_1,1,1547554726
collect_tomeshield_1,1,1546778753
collect_passage_1,1,1546691047
friend_help_1,1,1546039172
boss_kill_1,1,1546021837
boss_kill_2,1,1546022053
boss_kill_3,1,1546026988
boss_kill_4,1,1546059916
boss_kill_5,1,1546130434
boss_kill_6,1,1546849495
dmg_received_1,1,1546022705
dmg_received_2,1,1546023277
dmg_received_3,1,1546023809
dmg_received_4,1,1546033431
dmg_dealt_magic_1,1,1546022227
dmg_dealt_magic_2,1,1546022498
dmg_dealt_magic_3,1,1546022503
dmg_dealt_magic_4,1,1546083296
hero_upgrade_1,1,1546022388
hero_maxed_1,1,1549649338
hero_maxed_2,1,1549735451
hero_maxed_3,1,1550867049
hero_maxed_4,1,1551290901
hero_maxed_5,1,1552846424
hero_maxed_6,1,1553709767
hero_maxed_7,1,1555005849
slots_found_1,1,1546022551
collect_gems_quest_1,1,1547222486
spent_manacoin_1,1,1546032011
spent_manacoin_2,1,1546044860
spent_manacoin_3,1,1546445487
collect_manacoin_1,1,1546022732
collect_manacoin_2,1,1546022732
collect_manacoin_3,1,1546439119
active_skill_use_1,1,1546023108
unique_active_skill_use_1,1,1546023124
active_skill_use_2,1,1546037292
passive_skill_max_1,1,1547553515
collect_runes_1,1,1546022646
collect_runes_2,1,1546422488
collect_runes_3,1,1548625896
imps_full_1,1,1547830551
imps_hired_1,1,1547837263
imps_hurry_1,1,1547831129
quest_complete_1,1,1546023193
quest_complete_2,1,1546031874
quest_complete_3,1,1546133756
