apiname,achieved,unlock_time
ACH.SURVIVE_CONTAINER_RIDE,1,1710507188
ACH.WAKE_UP,1,1710507188
ACH.LASER,1,1710507188
ACH.BRIDGE,1,1710507188
ACH.BREAK_OUT,1,1710507188
ACH.STALEMATE_ASSOCIATE,1,1710507188
ACH.ADDICTED_TO_SPUDS,1,1710507188
ACH.BLUE_GEL,1,1710507188
ACH.ORANGE_GEL,1,1710507188
ACH.WHITE_GEL,1,1710507188
ACH.TRACTOR_BEAM,1,1710507188
ACH.TRIVIAL_TEST,1,1710507188
ACH.WHEATLEY_TRIES_TO,1,1710507188
ACH.SHOOT_THE_MOON,1,1710507188
ACH.BOX_HOLE_IN_ONE,1,1710507188
ACH.SPEED_RUN_LEVEL,1,1710507188
ACH.COMPLIANT,1,1710507188
ACH.SAVE_CUBE,1,1710507188
ACH.LAUNCH_TURRET,1,1710507188
ACH.CLEAN_UP,1,1710507188
ACH.REENTER_TEST_CHAMBERS,1,1710507188
ACH.NOT_THE_DROID,1,1710507188
ACH.SAVE_REDEMPTION_TURRET,1,1710507188
ACH.CATCH_CRAZY_BOX,1,1710507188
ACH.NO_BOAT,1,1710507188
ACH.A3_DOORS,1,1710507188
ACH.PORTRAIT,1,1710507188
ACH.DEFIANT,1,1710507188
ACH.BREAK_MONITORS,1,1710507188
ACH.HI_FIVE_YOUR_PARTNER,1,1710507188
ACH.TEAM_BUILDING,1,1710507188
ACH.MASS_AND_VELOCITY,1,1710507188
ACH.HUG_NAME,1,1710507188
ACH.EXCURSION_FUNNELS,1,1710507188
ACH.NEW_BLOOD,1,1710507188
ACH.NICE_CATCH,1,1710507188
ACH.TAUNTS,1,1710507188
ACH.YOU_MONSTER,1,1710507188
ACH.PARTNER_DROP,1,1710507188
ACH.PARTY_OF_THREE,1,1710507188
ACH.PORTAL_TAUNT,1,1710507188
ACH.TEACHER,1,1710507188
ACH.WITH_STYLE,1,1710507188
ACH.LIMITED_PORTALS,1,1710507188
ACH.FOUR_PORTALS,1,1710507188
ACH.SPEED_RUN_COOP,1,1710507188
ACH.STAYING_ALIVE,1,1710507188
ACH.TAUNT_CAMERA,1,1710507188
ACH.ROCK_CRUSHES_ROBOT,1,1710507188
ACH.SPREAD_THE_LOVE,1,1710507188
ACH.SUMMER_SALE,1,1710507188
