apiname,achieved,unlock_time
ACH_1,1,1522251939
ACH_2,1,1522324911
ACH_3,1,1522338193
ACH_4,1,1522679648
ACH_5,1,1522682375
ACH_6,1,1522691580
ACH_7,1,1522957816
ACH_8,1,1522961980
ACH_9,1,1523201876
ACH_10,1,1523217792
ACH_11,1,1523223494
ACH_12,1,1523224737
ACH_13,1,1523282703
ACH_14,1,1523299782
ACH_15,1,1523458874
ACH_16,1,1523540737
ACH_17,1,1522259689
ACH_18,1,1522425669
ACH_19,1,1523540737
ACH_20,1,1522265635
ACH_21,1,1523540737
ACH_22,1,1522257407
ACH_23,1,1522931879
ACH_24,1,1523195586
ACH_25,1,1522342948
ACH_26,1,1522261718
ACH_27,1,1522261718
ACH_28,1,1522332455
ACH_29,1,1523540737
ACH_30,1,1523540737
ACH_31,1,1523201894
ACH_32,1,1523540737
ACH_33,1,1522255730
ACH_34,1,1522257550
ACH_35,1,1522260920
ACH_36,1,1522320845
ACH_37,1,1522682113
ACH_38,1,1522320095
ACH_39,1,1522315630
ACH_40,1,1523119278
ACH_41,1,1522267033
ACH_42,1,1522691596
ACH_43,1,1522263937
ACH_44,1,1522315363
ACH_45,1,1522333209
ACH_46,1,1522424737
ACH_47,1,1522604242
ACH_48,1,1523132431
ACH_49,1,1522262209
ACH_50,1,1523540737
ACH_51,1,1523540737
ACH_52,1,1523540737
ACH_53,1,1523464244
ACH_54,1,1523540737
ACH_55,1,1523472260
ACH_56,1,1523540737
ACH_57,1,1523540737
ACH_58,1,1523540737
ACH_59,1,1523540737
ACH_60,1,1523540737
ACH_61,1,1523540737
ACH_62,1,1523540737
ACH_63,1,1523540737
ACH_64,1,1523540737
ACH_65,1,1523540737
ACH_66,1,1523540737
ACH_67,1,1523538120
ACH_68,1,1523538753
ACH_69,1,1523539748
ACH_70,1,1523540737
ACH_71,1,1523540737
ACH_72,1,1523540737
ACH_73,1,1523540737
ACH_74,1,1523531293
ACH_75,1,1523532151
ACH_76,1,1523540737
ACH_77,1,1523540737
ACH_78,1,1523540737
ACH_79,1,1523540737
ACH_80,1,1523540737
ACH_81,1,1523540737
ACH_82,1,1523540737
ACH_83,1,1523540737
ACH_84,1,1523134071
ACH_85,1,1523540737
ACH_86,1,1523455958
ACH_87,1,1523443260
ACH_88,1,1523540737
ACH_89,1,1523540737
ACH_90,1,1523540737
ACH_91,0,0
ACH_92,0,0
ACH_93,0,0
ACH_94,0,0
ACH_95,0,0
ACH_96,0,0
ACH_97,0,0
