apiname,achieved,unlock_time
_eTROPHY_PLATINUM,1,1750644653
_eTROPHY_TUTORIAL,1,1742866397
_eTROPHY_CLEAR_076,1,1742907822
_eTROPHY_CLEAR_077,1,1742907822
_eTROPHY_CLEAR_078,1,1742972564
_eTROPHY_CLEAR_079,1,1743985268
_eTROPHY_CLEAR_080,1,1744302021
_eTROPHY_CLEAR_081,1,1744339996
_eTROPHY_CLEAR_082,1,1745805931
_eTROPHY_CLEAR_083,1,1745975882
_eTROPHY_CLEAR_084,1,1746115884
_eTROPHY_CLEAR_085,1,1746741205
_eTROPHY_CLEAR_086,1,1746924352
_eTROPHY_CLEAR_087,1,1748484757
_eTROPHY_CLEAR_088,1,1749605349
_eTROPHY_CLEAR_089,1,1749658138
_eTROPHY_CLEAR_090,1,1749758397
_eTROPHY_CLEAR_091,1,1749836340
_eTROPHY_CLEAR_092,1,1749854682
_eTROPHY_CLEAR_093,1,1749868339
_eTROPHY_CLEAR_094,1,1749948446
_eTROPHY_CLEAR_095,1,1749965157
_eTROPHY_CLEAR_096,1,1750185682
_eTROPHY_CLEAR_097,1,1750211601
_eTROPHY_CLEAR_098,1,1750547529
_eTROPHY_CLEAR_099,1,1750560761
_eTROPHY_CLEAR_100,1,1750640558
_eTROPHY_LAST_ATTACK_ALL,1,1750640873
_eTROPHY_ALIVE_ALL,1,1750640830
_eTROPHY_DEFEAT_YUUKI,1,1750644653
_eTROPHY_AREA_BOSS_001,1,1743967605
_eTROPHY_AREA_BOSS_002,1,1745370736
_eTROPHY_AREA_BOSS_003,1,1746332633
_eTROPHY_AREA_BOSS_004,1,1747785739
_eTROPHY_AREA_BOSS_005,1,1748310725
_eTROPHY_AREA_BOSS_006,1,1749429413
_eTROPHY_DEFEAT_POH,1,1747620301
_eTROPHY_DEFEAT_H_KIRITO,1,1749429734
_eTROPHY_CLEAR_H_MISSION,1,1750644617
_eTROPHY_CLEAR_IMPLEMENT,1,1750640909
_eTROPHY_WEAPON_FORGE,1,1750644638
_eTROPHY_FRIENDSHIP_ASUNA,1,1746925494
_eTROPHY_FRIENDSHIP_SILICA,1,1750640744
_eTROPHY_FRIENDSHIP_LISBETH,1,1749965157
_eTROPHY_FRIENDSHIP_LEAFA,1,1750640803
_eTROPHY_FRIENDSHIP_CHINON,1,1750640744
_eTROPHY_FRIENDSHIP_PHILIA,1,1750640704
_eTROPHY_FRIENDSHIP_ALL,1,1749957162
_eTROPHY_COMPLETE_GALLERY,1,1750644602
_eTROPHY_KIRITO_LEVEL,1,1750640776
_eTROPHY_COL_100_MILLION,1,1745976308
_eTROPHY_PLAYTIME_100_HOURS,1,1749430273
_eTROPHY_COOP_PLAYTIME_20_HOURS,1,1750640859
_eTROPHY_COOP_DEFEAT_HNM_100,1,1750644653
