apiname,achieved,unlock_time
00_Where_It_All_Began,1,1672261265
01_Stuff_of_Legend,1,1672261265
02_President_Kiryu,1,1668204903
03_The_Promised_Land,1,1668269369
04_The_Glamorous_Life,1,1670166904
05_A_Host_of_Hostesses,1,1668366432
06_Talk_of_the_Town,1,1668376116
07_You're_Still_Number_One,1,1669756382
08_Half_the_Battle,1,1668858166
09_Perfectionist,1,1670687080
10_Tell_Me_a_Story,1,1661029742
11_Hero_of_the_Story,1,1667655848
12_Story_of_My_Life,1,1670019979
13_High_Roller,1,1668282089
14_Make_It_Rain,1,1668283511
15_Worked_Hard,1,1669551406
16_Who_Ya,1,1660854280
17_I_Did_it,1,1661891536
19_Lucky_Star,1,1667596679
20_Training_in,1,1667688089
21_A_Wise,1,1661027350
22_Master_Of,1,1670607274
23_Whip_It,1,1660834171
24_Mr_Shakedown,1,1661711501
25_Welcome_To,1,1668872482
26_Eye_Of,1,1670603418
27_Prizefighter,1,1670090281
28_What_A,1,1670605096
29_Call_Me,1,1668200130
30_Say_You,1,1667685303
31_Cat_Scratch,1,1670421368
32_The_Dragon,1,1667755141
33_Nostalgic_For,1,1660829938
34_New_Allies,1,1661893646
35_Rich_Taste,1,1661720606
36_A_Matter,1,1667748608
37_Smooth_Criminal,1,1667680434
38_Time_To,1,1668343307
39_Business_Etiquette,1,1668265615
40_When_It,1,1668889367
41_Best_Served,1,1668357996
42_The_Big,1,1668894963
43_It_Takes,1,1668889367
44_A_Familiar,1,1669209102
45_They_Wont,1,1669208413
46_Painful_Reunion,1,1669461419
47_Big_Hair,1,1669212756
48_Lion_In,1,1669486879
49_Hitting_The,1,1669486879
50_Awakened_And,1,1670522566
51_We_Built,1,1670192233
52_Walking_On,1,1669149239
53_Generosity_Of,1,1670593048
54_Just_Beat,1,1670705987
55_Amon_Defeated,1,1670018190
