apiname,achieved,unlock_time
NEW_ACHIEVEMENT_1_0,1,1616672620
NEW_ACHIEVEMENT_1_1,1,1616686355
NEW_ACHIEVEMENT_1_2,1,1616693555
NEW_ACHIEVEMENT_1_3,1,1616702426
NEW_ACHIEVEMENT_1_4,1,1616709626
NEW_ACHIEVEMENT_1_5,1,1616743858
NEW_ACHIEVEMENT_1_6,1,1617001120
NEW_ACHIEVEMENT_1_7,1,1617048102
NEW_ACHIEVEMENT_1_8,1,1617132904
NEW_ACHIEVEMENT_1_9,1,1617384968
NEW_ACHIEVEMENT_1_10,1,1617458913
NEW_ACHIEVEMENT_1_11,1,1617717114
NEW_ACHIEVEMENT_1_12,1,1617809178
NEW_ACHIEVEMENT_1_13,1,1618127238
NEW_ACHIEVEMENT_1_14,1,1619192832
NEW_ACHIEVEMENT_1_15,1,1619882410
NEW_ACHIEVEMENT_1_16,1,1625075057
