apiname,achieved,unlock_time
achievement_one_down,1,1505955713
achievement_are_we_there_yet,1,1505959314
achievement_long_way_home,1,1506713491
achievement_very_long_way_home,1,1509271690
achievement_reset,1,1540253260
achievement_adventurer,1,1550256277
achievement_finger_fitness,1,1505955713
achievement_mouse_breaker,1,1506228815
achievement_first_contact,1,1505955833
achievement_men_in_black,1,1506706979
achievement_exterminator,1,1511328931
achievement_there_and_back_again,1,1506604708
achievement_groundhog_day,1,1552147204
achievement_kill_transfer_repeat,1,1555550162
achievement_im_the_boss,1,1505955833
achievement_staff_turnover,1,1508118067
achievement_one_ship_fleet,1,1510403977
achievement_numismatist,1,1505958353
achievement_postmark_collector,1,1507941958
achievement_hotel_towel_collector,1,1511014876
achievement_self_defense,1,1505955713
achievement_i_like_fireworks,1,1505956673
achievement_accident,1,1506707835
achievement_destroyer_of_worlds,1,1539801084
achievement_im_your_father,1,1509324817
achievement_another_day_another_dollar,1,1505957153
achievement_character_customization,1,1505963394
achievement_fake_treasure,1,1519550491
adventurer_2,1,1508112656
adventurer_3,1,1509251650
adventurer_4,1,1509254530
adventurer_5,1,1509257290
adventurer_6,1,1509260170
adventurer_7,1,1509262930
adventurer_8,1,1509265810
adventurer_9,1,1509268690
adventurer_11,1,1509878977
adventurer_12,1,1510515589
adventurer_13,1,1510973923
adventurer_14,1,1511315971
adventurer_15,1,1519452362
adventurer_16,1,1520192027
adventurer_17,1,1520559986
adventurer_18,1,1527350444
adventurer_19,1,1527705806
adventurer_20,1,1528110951
adventurer_21,1,1528701177
adventurer_22,1,1529246193
adventurer_23,1,1529914436
adventurer_24,1,1530422095
adventurer_25,1,1531256090
adventurer_26,1,1539602476
adventurer_27,1,1539915601
adventurer_28,1,1542286612
adventurer_29,1,1543194541
adventurer_30,1,1544437430
adventurer_31,1,1545520779
adventurer_32,1,1546183312
adventurer_33,1,1547713410
adventurer_34,1,1548043969
adventurer_35,1,1548399662
adventurer_36,1,1548407702
adventurer_37,1,1548430502
adventurer_38,1,1548550165
adventurer_39,1,1548693251
adventurer_40,1,1548823816
adventurer_41,1,1548880143
adventurer_42,1,1548970101
adventurer_43,1,1549045328
adventurer_44,1,1549208887
adventurer_45,1,1549291873
adventurer_46,1,1549382256
adventurer_47,1,1549418197
adventurer_48,1,1549486718
adventurer_49,1,1549555599
adventurer_50,1,1549638039
adventurer_51,1,1549671579
adventurer_52,1,1549732300
adventurer_53,1,1549847236
adventurer_54,1,1549893316
adventurer_55,1,1549920502
adventurer_56,1,1549996568
adventurer_57,1,1550046129
adventurer_58,1,1550079609
adventurer_59,1,1550140042
adventurer_60,1,1550153722
adventurer_61,1,1550202036
adventurer_62,1,1550239356
mouse_breaker_1,1,1505955713
mouse_breaker_2,1,1505955713
mouse_breaker_3,1,1505955713
mouse_breaker_4,1,1505955833
mouse_breaker_5,1,1505956433
mouse_breaker_6,1,1505956793
mouse_breaker_7,1,1505961714
mouse_breaker_8,1,1506012595
mouse_breaker_9,1,1506012835
mouse_breaker_10,1,1506227735
mouse_breaker_11,1,1506227855
mouse_breaker_12,1,1506228095
mouse_breaker_13,1,1506228335
mouse_breaker_14,1,1506228575
exterminator_1,1,1505958234
exterminator_2,1,1505978394
exterminator_4,1,1508323366
exterminator_5,1,1509436908
exterminator_6,1,1509918840
exterminator_7,1,1510522917
exterminator_8,1,1510963482
exterminator_9,1,1517558691
exterminator_10,1,1517563131
exterminator_11,1,1517567451
exterminator_12,1,1517571771
exterminator_13,1,1517625477
exterminator_14,1,1517650446
exterminator_15,1,1517677750
exterminator_16,1,1517796305
exterminator_17,1,1517810228
fake_treasure_1,1,1509247685
fake_treasure_2,1,1510322078
fake_treasure_3,1,1510967202
fake_treasure_5,1,1519550491
fake_treasure_6,1,1525708329
fake_treasure_7,1,1529881676
fake_treasure_8,1,1541687810
postman_collector_1,1,1506606517
postman_collector_3,1,1508338967
postman_collector_4,1,1509375820
postman_collector_5,1,1509462670
postman_collector_6,1,1509638234
postman_collector_8,1,1510614151
postman_collector_7,1,1510279595
kill_transfer_repeat_1,1,1509577752
kill_transfer_repeat_2,1,1510314158
kill_transfer_repeat_3,1,1511554280
kill_transfer_repeat_4,1,1539385672
kill_transfer_repeat_5,1,1548136896
kill_transfer_repeat_7,1,1552227462
ach_groundhog_day,1,1552314554
kill_transfer_repeat_8,1,1552518201
kill_transfer_repeat_9,1,1552688939
kill_transfer_repeat_10,1,1552841660
kill_transfer_repeat_11,1,1552999406
kill_transfer_repeat_12,1,1553173438
kill_transfer_repeat_13,1,1553341690
kill_transfer_repeat_14,1,1553533344
kill_transfer_repeat_15,1,1553707867
kill_transfer_repeat_16,1,1553881950
kill_transfer_repeat_17,1,1554220984
kill_transfer_repeat_18,1,1554416331
kill_transfer_repeat_19,1,1554568492
kill_transfer_repeat_20,1,1554719905
kill_transfer_repeat_21,1,1554871947
kill_transfer_repeat_22,1,1555039665
