apiname,achieved,unlock_time
founder_achievement,1,1710515406
ea_achievement,1,1710515406
SPIDERSHOT_NOOB,1,1710515406
SPIDERSHOT_ROOKIE,1,1710515406
SPIDERSHOT_COMPETENT,1,1710515406
SPIDERSHOT_PRO,1,1710515406
SPIDERSHOT_EXPERT,1,1710515406
SPIDERSHOT_MASTER,1,1710515406
SPIDERSHOT_LEGEND,1,1710515406
REFLEXSHOT_NOOB,1,1710515406
REFLEXSHOT_ROOKIE,1,1710515406
REFLEXSHOT_COMPETENT,1,1710515406
REFLEXSHOT_PRO,1,1710515406
REFLEXSHOT_EXPERT,1,1710515406
REFLEXSHOT_MASTER,1,1710515406
REFLEXSHOT_LEGEND,1,1710515406
STRAFESHOT_NOOB,1,1710515406
STRAFESHOT_ROOKIE,1,1710515406
STRAFESHOT_COMPETENT,1,1710515406
STRAFESHOT_PRO,1,1710515406
STRAFESHOT_EXPERT,1,1710515406
STRAFESHOT_MASTER,1,1710515406
STRAFESHOT_LEGEND,1,1710515406
PENTAKILL_NOOB,1,1710515406
PENTAKILL_ROOKIE,1,1710515406
PENTAKILL_COMPETENT,1,1710515406
PENTAKILL_PRO,1,1710515406
PENTAKILL_EXPERT,1,1710515406
PENTAKILL_MASTER,1,1710515406
PENTAKILL_LEGEND,1,1710515406
STRAFETRACK_NOOB,1,1710515406
STRAFETRACK_ROOKIE,1,1710515406
STRAFETRACK_COMPETENT,1,1710515406
STRAFETRACK_PRO,1,1710515406
STRAFETRACK_EXPERT,1,1710515406
STRAFETRACK_MASTER,1,1710515406
STRAFETRACK_LEGEND,1,1710515406
CIRCLETRACK_NOOB,1,1710515406
CIRCLETRACK_ROOKIE,1,1710515406
CIRCLETRACK_COMPETENT,1,1710515406
CIRCLETRACK_PRO,1,1710515406
CIRCLETRACK_EXPERT,1,1710515406
CIRCLETRACK_MASTER,1,1710515406
CIRCLETRACK_LEGEND,1,1710515406
BLINKSHOT_NOOB,1,1710515406
BLINKSHOT_ROOKIE,1,1710515406
BLINKSHOT_COMPETENT,1,1710515406
BLINKSHOT_PRO,1,1710515406
BLINKSHOT_EXPERT,1,1710515406
BLINKSHOT_MASTER,1,1710515406
BLINKSHOT_LEGEND,1,1710515406
NINJASHOT_NOOB,1,1710515406
NINJASHOT_ROOKIE,1,1710515406
NINJASHOT_COMPETENT,1,1710515406
NINJASHOT_PRO,1,1710515406
NINJASHOT_EXPERT,1,1710515406
NINJASHOT_MASTER,1,1710515406
NINJASHOT_LEGEND,1,1710515406
DETECTION_NOOB,1,1710515406
DETECTION_ROOKIE,1,1710515406
DETECTION_COMPETENT,1,1710515406
DETECTION_PRO,1,1710515406
DETECTION_EXPERT,1,1710515406
DETECTION_MASTER,1,1710515406
DETECTION_LEGEND,1,1710515406
MICROSHOT_NOOB,1,1710515406
MICROSHOT_ROOKIE,1,1710515406
MICROSHOT_COMPETENT,1,1710515406
MICROSHOT_PRO,1,1710515406
MICROSHOT_EXPERT,1,1710515406
MICROSHOT_MASTER,1,1710515406
MICROSHOT_LEGEND,1,1710515406
FREETRACK_NOOB,1,1710515406
FREETRACK_ROOKIE,1,1710515406
FREETRACK_COMPETENT,1,1710515406
FREETRACK_PRO,1,1710515406
FREETRACK_EXPERT,1,1710515406
FREETRACK_MASTER,1,1710515406
FREETRACK_LEGEND,1,1710515406
AUDIOSPATIAL_NOOB,1,1710515406
AUDIOSPATIAL_ROOKIE,1,1710515406
AUDIOSPATIAL_COMPETENT,1,1710515406
AUDIOSPATIAL_PRO,1,1710515406
AUDIOSPATIAL_EXPERT,1,1710515406
AUDIOSPATIAL_MASTER,1,1710515406
AUDIOSPATIAL_LEGEND,1,1710515406
CAPACITY_NOOB,1,1710515406
CAPACITY_ROOKIE,1,1710515406
CAPACITY_COMPETENT,1,1710515406
CAPACITY_PRO,1,1710515406
CAPACITY_EXPERT,1,1710515406
CAPACITY_MASTER,1,1710515406
CAPACITY_LEGEND,1,1710515406
DECISIONSHOT_NOOB,1,1710515406
DECISIONSHOT_ROOKIE,1,1710515406
DECISIONSHOT_COMPETENT,1,1710515406
DECISIONSHOT_PRO,1,1710515406
DECISIONSHOT_EXPERT,1,1710515406
DECISIONSHOT_MASTER,1,1710515406
DECISIONSHOT_LEGEND,1,1710515406
