apiname,achieved,unlock_time
NEW_ACHIEVEMENT_1_0,1,1435048199
NEW_ACHIEVEMENT_2_0,1,1435259928
NEW_ACHIEVEMENT_3_0,1,1435563430
NEW_ACHIEVEMENT_4_0,1,1438301871
NEW_ACHIEVEMENT_5_0,1,1438363587
NEW_ACHIEVEMENT_6_0,1,1438461653
NEW_ACHIEVEMENT_7_0,1,1442871943
NEW_ACHIEVEMENT_8_0,1,1442954806
NEW_ACHIEVEMENT_9_0,1,1440014999
NEW_ACHIEVEMENT_10_0,1,1440022894
NEW_ACHIEVEMENT_11_0,1,1440309809
NEW_ACHIEVEMENT_12_0,1,1438369388
NEW_ACHIEVEMENT_13_0,1,1439475833
NEW_ACHIEVEMENT_14_0,1,1439486275
NEW_ACHIEVEMENT_15_0,1,1438886017
NEW_ACHIEVEMENT_16_0,1,1441143269
NEW_ACHIEVEMENT_17_0,1,1441144976
NEW_ACHIEVEMENT_18_0,1,1442329996
NEW_ACHIEVEMENT_19_0,1,1442352318
NEW_ACHIEVEMENT_20_0,1,1442367704
NEW_ACHIEVEMENT_21_0,1,1442830607
NEW_ACHIEVEMENT_22_0,1,1442864059
NEW_ACHIEVEMENT_23_0,1,1442869958
NEW_ACHIEVEMENT_24_0,1,1437100096
NEW_ACHIEVEMENT_25_0,1,1435218663
NEW_ACHIEVEMENT_26_0,1,1435097867
NEW_ACHIEVEMENT_27_0,1,1436889168
NEW_ACHIEVEMENT_28_0,1,1436973419
NEW_ACHIEVEMENT_29_0,1,1435048575
NEW_ACHIEVEMENT_30_0,1,1441221299
NEW_ACHIEVEMENT_31_0,1,1435333638
NEW_ACHIEVEMENT_32_0,1,1439922386
NEW_ACHIEVEMENT_33_0,1,1441207709
NEW_ACHIEVEMENT_34_0,1,1436967790
NEW_ACHIEVEMENT_35_0,1,1439921639
NEW_ACHIEVEMENT_36_0,1,1436984144
NEW_ACHIEVEMENT_37_0,1,1438332421
NEW_ACHIEVEMENT_38_0,1,1437084088
NEW_ACHIEVEMENT_39_0,1,1438292430
NEW_ACHIEVEMENT_40_0,1,1438530326
NEW_ACHIEVEMENT_41_0,1,1438338042
NEW_ACHIEVEMENT_42_0,1,1442314357
NEW_ACHIEVEMENT_43_0,1,1435260898
NEW_ACHIEVEMENT_44_0,1,1438346286
NEW_ACHIEVEMENT_45_0,1,1436845334
NEW_ACHIEVEMENT_46_0,1,1438567026
NEW_ACHIEVEMENT_47_0,1,1435100222
NEW_ACHIEVEMENT_48_0,1,1435308949
NEW_ACHIEVEMENT_49_0,1,1436881154
NEW_ACHIEVEMENT_50_0,1,1438457578
NEW_ACHIEVEMENT_51_0,1,1439493575
NEW_ACHIEVEMENT_52_0,1,1439800520
NEW_ACHIEVEMENT_53_0,1,1439890359
NEW_ACHIEVEMENT_54_0,1,1439331733
NEW_ACHIEVEMENT_55_0,1,1439802569
NEW_ACHIEVEMENT_56_0,1,1439888742
NEW_ACHIEVEMENT_57_0,1,1440363809
NEW_ACHIEVEMENT_58_0,1,1439929464
NEW_ACHIEVEMENT_59_0,1,1438343724
NEW_ACHIEVEMENT_60_0,1,1439314595
NEW_ACHIEVEMENT_61_0,1,1438335986
NEW_ACHIEVEMENT_62_0,1,1441959107
NEW_ACHIEVEMENT_63_0,1,1441963013
NEW_ACHIEVEMENT_64_0,1,1442404216
NEW_ACHIEVEMENT_65_0,1,1442405271
NEW_ACHIEVEMENT_66_0,1,1435589366
NEW_ACHIEVEMENT_67_0,1,1436806586
NEW_ACHIEVEMENT_68_0,1,1436834138
NEW_ACHIEVEMENT_69_0,1,1436848236
NEW_ACHIEVEMENT_70_0,1,1436893359
NEW_ACHIEVEMENT_71_0,1,1437064518
NEW_ACHIEVEMENT_72_0,1,1438432320
NEW_ACHIEVEMENT_73_0,1,1438292478
NEW_ACHIEVEMENT_74_0,1,1436965969
NEW_ACHIEVEMENT_75_0,1,1436972068
