apiname,achieved,unlock_time
Achievement_1,1,1554324853
Achievement_2,1,1593332523
Achievement_3,1,1593890915
Achievement_4,1,1594065235
Achievement_5,1,1595168631
Achievement_6,1,1594230958
Achievement_7,1,1593294879
Achievement_8,1,1593968259
Achievement_9,1,1594063719
Achievement_10,1,1594042875
Achievement_11,1,1594070386
Achievement_12,1,1595167100
Achievement_13,1,1593199749
Achievement_14,1,1554394478
Achievement_15,1,1554484313
Achievement_16,1,1593294879
Achievement_17,1,1593971062
Achievement_18,1,1594239332
Achievement_19,1,1554395261
Achievement_20,1,1554590982
Achievement_21,1,1593279699
Achievement_22,1,1593980440
Achievement_23,1,1593897694
Achievement_24,1,1593963911
Achievement_25,1,1594065741
Achievement_26,1,1594068535
Achievement_27,1,1595163341
Achievement_28,1,1554587678
Achievement_29,1,1554395843
Achievement_30,1,1593900234
Achievement_31,1,1554479861
Achievement_32,1,1595167059
Achievement_33,1,1594074296
Achievement_34,1,1593901299
Achievement_35,1,1593903181
Achievement_36,1,1595167018
Achievement_37,1,1594074154
Achievement_38,1,1593166213
Achievement_39,1,1595167018
Achievement_40,1,1594074393
Achievement_41,1,1593279525
Achievement_42,1,1593892200
Achievement_43,1,1593172830
Achievement_44,1,1554483545
Achievement_45,1,1593295288
Achievement_46,1,1594065481
Achievement_47,1,1593196146
Achievement_48,1,1594074271
Achievement_49,1,1594332958
Achievement_50,1,1594074110
Achievement_51,1,1594232086
Achievement_52,1,1594237584
Achievement_53,1,1594322511
Achievement_54,1,1594323126
Achievement_55,1,1594323887
Achievement_56,1,1594404156
Achievement_57,1,1594599586
Achievement_58,1,1594675962
Achievement_59,1,1594503069
Achievement_60,1,1594675962
Achievement_61,1,1594676862
Achievement_62,1,1595008971
Achievement_63,1,1595093107
Achievement_64,1,1595166968
Achievement_65,1,1595167018
Achievement_66,1,1594920941
Achievement_67,1,1595163408
Achievement_68,1,1595168748
Achievement_69,1,1595170571
Achievement_70,1,1595006972
Achievement_71,1,1595167086
Achievement_72,1,1595167040
Achievement_73,1,1595168631
Achievement_74,1,1595168631
Achievement_75,1,1595170233
Achievement_76,1,1595170571
Achievement_77,1,1595166980
Achievement_78,1,1595166954
Achievement_79,1,1595166929
Achievement_80,1,1595167074
