apiname,achieved,unlock_time
completeRU,0,0
completeCentral,0,0
completeFarEastern,0,0
completeNorthCaucasian,0,0
completeNorthwestern,0,0
completeSiberian,0,0
completeSouthern,0,0
completeUral,0,0
completeVolga,0,0
reg64300009,0,0
reg64300010,0,0
reg64300021,0,0
reg64300025,0,0
reg64300037,0,0
reg64300041,0,0
reg64300043,0,0
reg64300047,0,0
reg64300048,0,0
reg64300056,0,0
reg64300062,0,0
reg64300069,0,0
reg64300072,0,0
reg64300076,0,0
reg64300077,0,0
reg64300083,0,0
reg64300086,0,0
reg64300088,0,0
reg64301005,0,0
2127202,1,1551679727
reg64301030,0,0
reg64301044,0,0
reg64301059,0,0
reg64301063,0,0
reg64301064,0,0
reg64301089,0,0
reg64301092,0,0
reg64302012,0,0
reg64302017,0,0
reg64302019,0,0
reg64302022,0,0
reg64302027,0,0
reg64302068,0,0
reg64302070,0,0
reg64303006,0,0
reg64303023,0,0
reg64303028,0,0
reg64303034,0,0
reg64303049,0,0
reg64303050,0,0
reg64303052,0,0
reg64303060,0,0
reg64303066,0,0
reg64303085,0,0
reg64304003,0,0
reg64304004,0,0
reg64304011,0,0
reg64304020,0,0
reg64304029,0,0
reg64304031,0,0
reg64304053,0,0
reg64304054,0,0
reg64304075,0,0
reg64304079,0,0
reg64304091,0,0
reg64304093,0,0
reg64305001,0,0
reg64305007,0,0
reg64305024,0,0
reg64305038,0,0
reg64305061,0,0
reg64305084,0,0
reg64306013,0,0
reg64306032,0,0
reg64306040,0,0
reg64306071,0,0
reg64306078,0,0
reg64306087,0,0
reg64307008,0,0
reg64307016,0,0
reg64307033,0,0
reg64307045,0,0
reg64307046,0,0
reg64307051,0,0
reg64307055,0,0
reg64307057,0,0
reg64307065,0,0
reg64307067,0,0
reg64307073,0,0
reg64307080,0,0
reg64307090,0,0
2122104,0,0
2020595,1,1552540558
2119441,1,1591338254
2021956,0,0
2022890,0,0
2056861,0,0
1512236,0,0
1486031,1,1553822198
1496421,1,1553997998
517963,1,1552972758
498687,0,0
1496153,1,1591323002
1490624,0,0
1508291,0,0
1536648,1,1591331877
561810,1,1552275645
487444,1,1552247830
11184865,1,1553463625
538508,1,1553918706
557992,1,1552974082
584243,0,0
512382,1,1553464223
501175,0,0
578072,0,0
581049,0,0
524305,0,0
565381,1,1552886006
494806,1,1552528016
8504962,1,1553399588
549302,1,1553400246
r21221042127202,1,1551671498
r21221042119441,1,1551643450
r20205952022890,1,1551517652
r21194412022890,1,1551595426
r20219562022890,1,1551489333
r20228902056861,1,1551486369
r20568611512236,1,1551479370
r15122361496421,1,1551350488
r14860311512236,1,1551475203
r14964211496153,1,1551481326
r14961531508291,1,1551470541
r150829111184865,1,1551323687
r14906241496153,1,1551480613
r15366481508291,1,1551492427
r561810494806,1,1551084004
r487444561810,1,1543905599
r48744411184865,1,1550886475
r11184865538508,1,1551550356
r557992538508,1,1543885926
r557992578072,1,1551491562
r512382584243,1,1551474057
r512382501175,1,1551467669
r501175578072,1,1550886959
r578072565381,1,1551475398
r5810498504962,1,1551478438
r5243058504962,1,1551551881
r494806565381,1,1551083509
r8504962494806,1,1551323306
r5493028504962,1,1550927786
524901,0,0
498817,0,0
1496747,0,0
1486209,0,0
520555,0,0
499099,0,0
551487,0,0
479561,0,0
472757,0,0
511196,0,0
1502026,0,0
498677,0,0
472045,1,1553994839
482283,1,1553462318
542420,1,1553464481
479123,0,0
554840,0,0
468902,1,1553487608
1510853,0,0
2013348,0,0
2023469,0,0
2056752,0,0
515003,1,1553824018
1496990,0,0
500096,1,1553995874
1488754,0,0
535121,1,1553995011
511565,1,1553996294
523750,0,0
8504951,1,1553391281
580497,0,0
532096,0,0
1489425,0,0
1503901,0,0
480562,0,0
548408,0,0
569696,0,0
554234,1,1553488782
571476,1,1553994529
555312,1,1553378138
532288,0,0
538560,1,1552856234
480060,0,0
520494,0,0
487846,0,0
2014407,0,0
1501321,1,1553823609
553915,1,1553306008
8504952,0,0
491422,0,0
515012,1,1553995301
472231,1,1591335677
491687,1,1554086986
473249,0,0
569223,0,0
472459,0,0
473247,1,1553303824
2025339,0,0
498698,0,0
484646,1,1553978931
466806,0,0
484907,0,0
543878,1,1553303558
2021851,0,0
523523,0,0
487495,0,0
509820,0,0
2051523,0,0
514734,1,1554082536
1497543,0,0
2027667,0,0
529237,0,0
518255,0,0
550280,1,1552283872
2013159,0,0
521118,0,0
563708,0,0
485239,0,0
487928,0,0
558418,0,0
496015,0,0
2026609,0,0
1494114,0,0
500004,1,1552270214
470451,1,1552283653
463829,1,1552964300
1510018,0,0
519336,0,0
8504960,0,0
8504949,1,1553391013
504341,0,0
496348,1,1552968638
579492,0,0
580922,0,0
563464,0,0
496285,0,0
462444,0,0
484972,0,0
1504826,0,0
468809,1,1552277794
508101,0,0
532535,0,0
577206,0,0
472761,0,0
1498894,0,0
518970,1,1553408115
523064,0,0
1493467,0,0
523812,1,1552189156
499292,1,1591321187
576432,1,1552284076
549479,1,1552256467
560465,1,1552269754
8504953,1,1552880859
2014006,0,0
532615,1,1552883962
543460,1,1552528630
487150,0,0
579464,1,1552281646
462745,1,1552283618
546230,1,1552278542
2019528,0,0
563523,0,0
528293,0,0
6418220,1,1552277769
