appid,name,playtime_hours
730,Counter-Strike 2,2877.4166666666665
1097840,Gears 5,2221.383333333333
813780,Age of Empires II: Definitive Edition,1663.6
56400,"Warhammer 40,000: Dawn of War II - Retribution",1414.7333333333333
41070,Serious Sam 3: BFE,1012.1166666666667
41010,Serious Sam HD: The Second Encounter,876.3333333333334
1522820,Orcs Must Die! 3,764.7
259080,Just Cause 2: Multiplayer Mod,730.3333333333334
310950,Street Fighter V,645.0833333333334
237110,Mortal Kombat Komplete Edition,588.6833333333333
