apiname,achieved,unlock_time
Achievement_Trophy01,1,1640287562
Achievement_Trophy02,1,1648675633
Achievement_Trophy03,1,1649193414
Achievement_Trophy04,1,1640315076
Achievement_Trophy05,1,1669234502
Achievement_Trophy06,1,1640199860
Achievement_Trophy07,1,1682030829
Achievement_Trophy08,1,1656445748
Achievement_Trophy09,1,1640315077
Achievement_Trophy10,1,1640314575
Achievement_Trophy11,1,1650414093
Achievement_Trophy12,1,1679107653
Achievement_Trophy13,1,1658350556
Achievement_Trophy14,1,1652295578
Achievement_Trophy15,1,1661378497
Achievement_Trophy16,1,1640052051
Achievement_Trophy17,1,1640052051
Achievement_Trophy18,1,1664995864
Achievement_Trophy19,1,1684358103
Achievement_Trophy20,1,1640052098
Achievement_Trophy21,1,1691090461
Achievement_Trophy22,1,1640315077
Achievement_Trophy23,1,1640213668
Achievement_Trophy24,1,1640208664
Achievement_Trophy25,1,1649185680
Achievement_Trophy26,1,1640205573
Achievement_Trophy27,1,1659213489
Achievement_Trophy28,1,1640208664
Achievement_Trophy29,1,1640549598
Achievement_Trophy30,1,1640307399
Achievement_Trophy31,1,1640208664
Achievement_Trophy32,1,1640311766
Achievement_Trophy33,1,1649878402
Achievement_Trophy34,1,1640208664
Achievement_Trophy35,1,1660774455
Achievement_Trophy36,1,1640549598
Achievement_Trophy37,1,1642103431
Achievement_Trophy38,1,1640298313
Achievement_Trophy39,1,1640298313
Achievement_Trophy40,1,1641413317
Achievement_Trophy41,1,1640202504
Achievement_Trophy42,1,1678317363
Achievement_Trophy43,1,1642021325
Achievement_Trophy44,1,1678916159
Achievement_Trophy45,1,1673466278
Achievement_Trophy46,1,1663191472
Achievement_Trophy47,1,1642027645
Achievement_Trophy48,1,1666207270
Achievement_Trophy49,1,1659216587
Achievement_Trophy50,1,1659202562
Achievement_Trophy_JOTL_01,1,1674071896
Achievement_Trophy_JOTL_02,1,1674077680
Achievement_Trophy_JOTL_03,1,1680118679
Achievement_Trophy_JOTL_04,1,1714264300
Achievement_Trophy_JOTL_05,1,1680118685
Achievement_Trophy_JOTL_06,1,1660767618
Achievement_Trophy_JOTL_08,1,1660780925
Achievement_Trophy_JOTL_09,1,1660785049
Achievement_Trophy_JOTL_10,1,1660778450
Achievement_Trophy_JOTL_11,1,1660778451
Achievement_Trophy_JOTL_07,1,1660774455
