apiname,achieved,unlock_time
AZTEC_VICTORY,1,1721174607
BERBERS_VICTORY,1,1721365567
BRITONS_VICTORY,1,1721344606
BULGARIANS_VICTORY,1,1722086393
BURMESE_VICTORY,1,1721796213
BYZANTINES_VICTORY,1,1721244073
CELTS_VICTORY,1,1720961532
CHINESE_VICTORY,1,1721360023
CUMANS_VICTORY,1,1722141105
ETHIOPIANS_VICTORY,1,1721507189
FRANKS_VICTORY,1,1720971343
GOTHS_VICTORY,1,1721183289
HUNS_VICTORY,1,1721155313
INCAS_VICTORY,1,1721266062
INDIANS_VICTORY,1,1722179668
ITALIANS_VICTORY,1,1721249779
JAPANESE_VICTORY,1,1721361058
KHMER_VICTORY,1,1721780413
KOREANS_VICTORY,1,1721362621
MAGYARS_VICTORY,1,1721237270
MALAY_VICTORY,1,1721513966
MALIANS_VICTORY,1,1721419951
MAYANS_VICTORY,1,1721348242
MONGOLS_VICTORY,1,1720999523
PERSIANS_VICTORY,1,1721351552
PORTUGUESE_VICTORY,1,1721445426
SARACENS_VICTORY,1,1720984167
SLAVS_VICTORY,1,1721239586
SPANISH_VICTORY,1,1721165264
TATARS_VICTORY,1,1722146485
TEUTONS_VICTORY,1,1721056367
TURKS_VICTORY,1,1721233660
VIETNAMESE_VICTORY,1,1722063850
VIKINGS_VICTORY,1,1721337433
ACHIEVEMENT_CAMPAIGN_WALLACE_COMPLETED,1,1720969345
ACHIEVEMENT_CAMPAIGN_JOANARC_COMPLETED,1,1720981304
ACHIEVEMENT_CAMPAIGN_SALADIN_COMPLETED,1,1720996197
ACHIEVEMENT_CAMPAIGN_KHAN_COMPLETED,1,1721054031
ACHIEVEMENT_CAMPAIGN_BARBAROSSA_COMPLETED,1,1721153310
ACHIEVEMENT_CAMPAIGN_ATTILA_COMPLETED,1,1721163755
ACHIEVEMENT_CAMPAIGN_ELCID_COMPLETED,1,1721172619
ACHIEVEMENT_CAMPAIGN_MONTEZUMA_COMPLETED,1,1721181672
ACHIEVEMENT_CAMPAIGN_ALARIC_COMPLETED,1,1721232225
ACHIEVEMENT_CAMPAIGN_DRACULA_COMPLETED,1,1721242281
ACHIEVEMENT_CAMPAIGN_BARI_COMPLETED,1,1721248042
ACHIEVEMENT_CAMPAIGN_SFORZA_COMPLETED,1,1721261152
ACHIEVEMENT_CAMPAIGN_ELDORADO_COMPLETED,1,1721272680
ACHIEVEMENT_CAMPAIGN_PRITHVIRAJ_COMPLETED,1,1721333060
ACHIEVEMENT_CAMPAIGN_BERBER_COMPLETED,1,1721417351
ACHIEVEMENT_CAMPAIGN_MALIAN_COMPLETED,1,1721445074
ACHIEVEMENT_CAMPAIGN_PORTUGUESE_COMPLETED,1,1721455209
ACHIEVEMENT_CAMPAIGN_ETHIOPIAN_COMPLETED,1,1721512478
ACHIEVEMENT_CAMPAIGN_MALAY_COMPLETED,1,1721779134
ACHIEVEMENT_CAMPAIGN_KHMER_COMPLETED,1,1721788945
ACHIEVEMENT_CAMPAIGN_BURMESE_COMPLETED,1,1722062579
ACHIEVEMENT_CAMPAIGN_VIETNAMESE_COMPLETED,1,1722084205
ACHIEVEMENT_CAMPAIGN_TATAR_COMPLETED,1,1722417250
ACHIEVEMENT_CAMPAIGN_BULGARIAN_COMPLETED,1,1722094926
ACHIEVEMENT_CAMPAIGN_CUMAN_COMPLETED,1,1722403617
ACHIEVEMENT_CAMPAIGN_HISTORICAL_BATTLES_COMPLETE,1,1721364417
ACHIEVEMENT_WOLOLO,1,1722600329
ACHIEVEMENT_UNEXPECTED,1,1722788474
ACHIEVEMENT_LOSING_YOUR_RELIGION,1,1721322083
ACHIEVEMENT_CHAIN_REACTION,1,1721342991
ACHIEVEMENT_KABOOM,1,1723081833
ACHIEVEMENT_BULLS_EYE,1,1720977779
ACHIEVEMENT_NO_WONDER_LEFT_BEHIND,1,1721362608
ACHIEVEMENT_CATHEDRAL_RUSH,1,1722734618
ACHIEVEMENT_NO_WONDER_ON_MY_WATCH,1,1722915685
ACHIEVEMENT_DIPLOMACY_IS_FOR_THE_MEEK,1,1722809525
ACHIEVEMENT_KUSHLUK_ASSASSINATION,1,1722994450
ACHIEVEMENT_I_WAS_IN_CHINA_BEFORE,1,1723051846
ACHIEVEMENT_OFFENSE_IS_THE_BEST_DEFENSE,1,1722737444
ACHIEVEMENT_THE_GO_GETTER,1,1721054031
ACHIEVEMENT_FUROR_TEUTONICUS,1,1722685944
ACHIEVEMENT_ATTILA_SPEED_RUN,1,1723130429
ACHIEVEMENT_HOT_N_SPICY,1,1721177776
ACHIEVEMENT_BATTLESHIP,1,1721353373
ACHIEVEMENT_SURYAVARMAN_RELICS,1,1723187986
ACHIEVEMENT_THE_MISSIONARY,1,1722862848
ACHIEVEMENT_OTTOMAN_GLORY_SEEKER,1,1721354310
ACHIEVEMENT_NO_HOJO,1,1721364412
ACHIEVEMENT_FIRE_WITH_FIRE,1,1723061045
ACHIEVEMENT_DESTROY_DELHI,1,1722346214
ACHIEVEMENT_KILL_KING_TAKAYUTPI,1,1722723701
ACHIEVEMENT_NO_KILLING_PORTUGUESE,1,1722685944
ACHIEVEMENT_NUMBERS_BEAT_EVERYTHING,1,1723056068
ACHIEVEMENT_ALARIC_SPEED_RUN,1,1723252550
ACHIEVEMENT_DRAGON_SHIPS,1,1722906082
ACHIEVEMENT_100_GBETO,1,1723065285
ACHIEVEMENT_SATANS_MAP,1,1722870022
ACHIEVEMENT_NO_SUPPORT,1,1723159714
ACHIEVEMENT_RUSH_TO_THE_KING,1,1723196330
