apiname,achieved,unlock_time
ACHIEVEMENT_WIN_WASHINGTON,1,1286026014
ACHIEVEMENT_WIN_ELIZABETH,0,0
ACHIEVEMENT_WIN_NAPOLEON,1,1374505379
ACHIEVEMENT_WIN_BISMARCK,0,0
ACHIEVEMENT_WIN_CATHERINE,0,0
ACHIEVEMENT_WIN_CAESAR,0,0
ACHIEVEMENT_WIN_ALEXANDER,0,0
ACHIEVEMENT_WIN_RAMESSES,0,0
ACHIEVEMENT_WIN_ASKIA,0,0
ACHIEVEMENT_WIN_HARUN,1,1289642981
ACHIEVEMENT_WIN_DARIUS,0,0
ACHIEVEMENT_WIN_GANDHI,1,1302003573
ACHIEVEMENT_WIN_RAMKHAMHAENG,0,0
ACHIEVEMENT_WIN_WU,1,1288261534
ACHIEVEMENT_WIN_ODA,0,0
ACHIEVEMENT_WIN_HIAWATHA,1,1292500819
ACHIEVEMENT_WIN_MONTEZUMA,0,0
ACHIEVEMENT_WIN_SULEIMAN,1,1286717366
ACHIEVEMENT_WIN_ALLBASELEADERS,0,0
ACHIEVEMENT_DIFLEVEL_SETTLER,1,1286026014
ACHIEVEMENT_DIFLEVEL_CHIEFTAIN,1,1286717366
ACHIEVEMENT_DIFLEVEL_WARLORD,1,1288261534
ACHIEVEMENT_DIFLEVEL_PRINCE,1,1289642981
ACHIEVEMENT_DIFLEVEL_KING,1,1292500819
ACHIEVEMENT_DIFLEVEL_EMPEROR,1,1338762842
ACHIEVEMENT_DIFLEVEL_IMMORTAL,0,0
ACHIEVEMENT_DIFLEVEL_DEITY,0,0
ACHIEVEMENT_MAPSIZE_DUEL,1,1333210337
ACHIEVEMENT_MAPSIZE_TINY,1,1338507154
ACHIEVEMENT_MAPSIZE_SMALL,1,1286026014
ACHIEVEMENT_MAPSIZE_STANDARD,1,1286717366
ACHIEVEMENT_MAPSIZE_LARGE,1,1288261534
ACHIEVEMENT_MAPSIZE_HUGE,1,1292500819
ACHIEVEMENT_MAPTYPE_CONTINENTS,1,1286717366
ACHIEVEMENT_MAPTYPE_PANGAEA,1,1289642981
ACHIEVEMENT_MAPTYPE_ARCHIPELAGO,1,1286026014
ACHIEVEMENT_MAPTYPE_EARTH,1,1339849669
ACHIEVEMENT_MAPS_ALL,1,1339849669
ACHIEVEMENT_WIN_MULTIPLAYER,0,0
ACHIEVEMENT_CITYSTATE_ALLY,1,1285672175
ACHIEVEMENT_CITYSTATE_ANNEX,1,1286343516
ACHIEVEMENT_BUILD_WONDER,1,1285671148
ACHIEVEMENT_UNIT_UPGRADE,1,1285752023
ACHIEVEMENT_UNIT_PROMOTE,1,1285589238
ACHIEVEMENT_DESTROY_CIV,1,1285916138
ACHIEVEMENT_SECOND_CITY,1,1285670331
ACHIEVEMENT_ANCIENT_RUIN,1,1285587289
ACHIEVEMENT_ALL_TECHS,1,1286537325
ACHIEVEMENT_ALL_WONDERS,1,1338479391
ACHIEVEMENT_ALL_SOCIAL_POLICIES,1,1332671500
ACHIEVEMENT_ALL_UNITS,0,0
ACHIEVEMENT_GOLDEN_AGE,1,1285670055
ACHIEVEMENT_CITY_100CULTURE,1,1287411378
ACHIEVEMENT_CITY_100SCIENCE,1,1286432832
ACHIEVEMENT_CITY_100GOLD,1,1287494452
ACHIEVEMENT_PURCHASE_1000TILES,0,0
ACHIEVEMENT_ONEHITKILL,1,1285589170
ACHIEVEMENT_UNIT_EMBARK,1,1285678572
ACHIEVEMENT_100CAMPS,1,1288328722
ACHIEVEMENT_SUCK_AT_WONDERS,1,1285751979
ACHIEVEMENT_ONECITY,1,1333210337
ACHIEVEMENT_VICTORY_SPACE,1,1286717366
ACHIEVEMENT_VICTORY_CULTURE,1,1288261534
ACHIEVEMENT_VICTORY_DIPLO,1,1292500819
ACHIEVEMENT_VICTORY_DOMINATION,1,1286026014
ACHIEVEMENT_VICTORY_ALL,1,1292500819
ACHIEVEMENT_DROP_NUKE,1,1286445123
ACHIEVEMENT_EXPERIMENTER,1,1743947505
ACHIEVEMENT_EXPANSIONIST,1,1286210851
ACHIEVEMENT_POLICY_LIBERTY,1,1286184308
ACHIEVEMENT_POLICY_PIETY,1,1286180461
ACHIEVEMENT_POLICY_AUTOCRACY,1,1332671500
ACHIEVEMENT_POLICY_ORDER,1,1287477552
ACHIEVEMENT_POLICY_TRADITION,1,1287129132
ACHIEVEMENT_POLICY_HONOR,1,1288534039
ACHIEVEMENT_POLICY_PATRONAGE,1,1286440144
ACHIEVEMENT_POLICY_COMMERCE,1,1288182944
ACHIEVEMENT_POLICY_RATIONALISM,1,1290159633
ACHIEVEMENT_POLICY_FREEDOM,1,1287677208
ACHIEVEMENT_ALL_NATURALWONDER,1,1332351783
ACHIEVEMENT_1000ROADS,1,1292568950
ACHIEVEMENT_1000MINES,0,0
ACHIEVEMENT_100RESOURCES,1,1289233970
ACHIEVEMENT_1000TILES,1,1285680145
ACHIEVEMENT_ROUND_WORLD,1,1290860158
ACHIEVEMENT_1000FOREST,0,0
ACHIEVEMENT_1000TEMPLES,1,1294141888
ACHIEVEMENT_SPECIAL_B17,1,1290508067
ACHIEVEMENT_SPECIAL_TRADER,1,1288340936
ACHIEVEMENT_SPECIAL_GARDENS,0,0
ACHIEVEMENT_SPECIAL_SPHINX,1,1289814967
ACHIEVEMENT_SPECIAL_MUSKETEERS,0,0
ACHIEVEMENT_SPECIAL_LONGHOUSE,1,1290684140
ACHIEVEMENT_SPECIAL_BOLLYWOOD,1,1338507154
ACHIEVEMENT_SPECIAL_KAMIKAZE,0,0
ACHIEVEMENT_SPECIAL_ARCHAEMENNID,0,0
ACHIEVEMENT_SPECIAL_ROMANROADS,1,1433802005
ACHIEVEMENT_SPECIAL_SUNTZU,1,1286795121
ACHIEVEMENT_SPECIAL_BARBARIANWARLORD,1,1744040160
ACHIEVEMENT_SPECIAL_BARBARYPIRATE,1,1286200984
ACHIEVEMENT_SPECIAL_TOMBRAIDER,0,0
ACHIEVEMENT_SPECIAL_WARCANOE,0,0
ACHIEVEMENT_SPECIAL_PONY,0,0
ACHIEVEMENT_SPECIAL_ARMADA,0,0
ACHIEVEMENT_SPECIAL_CONQUEST_WORLD,0,0
ACHIEVEMENT_REALLY_SUCK,1,1292595518
ACHIEVEMENT_PSG,0,0
ACHIEVEMENT_WIN_NEBUCHADNEZZAR,0,0
ACHIEVEMENT_WIN_GENGHIS,1,1292844824
ACHIEVEMENT_WIN_SCENARIO_01_PRINCE_OR_BELOW,1,1292844824
ACHIEVEMENT_WIN_SCENARIO_01_KING,1,1292844824
ACHIEVEMENT_WIN_SCENARIO_01_EMPEROR,0,0
ACHIEVEMENT_WIN_SCENARIO_01_IMMORTAL,0,0
ACHIEVEMENT_WIN_SCENARIO_01_DEITY,0,0
ACHIEVEMENT_LOSE_SCENARIO_01,1,1292520398
ACHIEVEMENT_WIN_ISABELLA,1,1339849669
ACHIEVEMENT_WIN_PACHACUTI,0,0
ACHIEVEMENT_SCENARIO_02_WIN_SPAIN,0,0
ACHIEVEMENT_SCENARIO_02_WIN_FRANCE,0,0
ACHIEVEMENT_SCENARIO_02_WIN_ENGLAND,0,0
ACHIEVEMENT_SCENARIO_02_WIN_INCA,0,0
ACHIEVEMENT_SCENARIO_02_WIN_AZTECS,0,0
ACHIEVEMENT_SCENARIO_02_WIN_IROQUOIS,1,1338762842
ACHIEVEMENT_SCENARIO_02_ROUTE_TO_ORIENT,1,1338732735
ACHIEVEMENT_SCENARIO_02_DISCOVER_FOUNTAIN,0,0
ACHIEVEMENT_SCENARIO_02_DISCOVER_EL_DORADO,1,1296218648
ACHIEVEMENT_SCENARIO_02_RETURN_TREASURE,1,1296292939
ACHIEVEMENT_WIN_KAMEHAMEHA,1,1332847237
ACHIEVEMENT_SCENARIO_03_WIN_HIVA,0,0
ACHIEVEMENT_SCENARIO_03_WIN_TAHITI,0,0
ACHIEVEMENT_SCENARIO_03_WIN_SAMOA,1,1302003573
ACHIEVEMENT_SCENARIO_03_WIN_TONGA,0,0
ACHIEVEMENT_SCENARIO_03_FIND_HAWAII,1,1299765573
ACHIEVEMENT_SCENARIO_03_FIND_EASTER_ISLAND,0,0
ACHIEVEMENT_SCENARIO_03_FIND_CAPTAIN_COOK,1,1299767408
ACHIEVEMENT_SCENARIO_03_FIND_AUSTRALIA,0,0
ACHIEVEMENT_SCENARIO_03_FIND_NEW_ZEALAND,1,1301998371
ACHIEVEMENT_WIN_BLUETOOTH,1,1338727672
ACHIEVEMENT_SCENARIO_04_BIATHLON,1,1310896344
ACHIEVEMENT_SCENARIO_04_PILLAGE,0,0
ACHIEVEMENT_SCENARIO_04_NORMANDY,0,0
ACHIEVEMENT_SCENARIO_04_WIN_DENMARK,0,0
ACHIEVEMENT_SCENARIO_04_WIN_NORWAY,0,0
ACHIEVEMENT_SCENARIO_04_WIN_ENGLAND,0,0
ACHIEVEMENT_SCENARIO_04_BUILD_MOTTE,0,0
ACHIEVEMENT_SCENARIO_04_WIN_EMPEROR,0,0
ACHIEVEMENT_SCENARIO_04_WIN_IMMORTAL,0,0
ACHIEVEMENT_SCENARIO_04_WIN_DEITY,0,0
ACHIEVEMENT_WIN_SEJONG,0,0
ACHIEVEMENT_SPECIAL_IRONCLAD_TURTLE,0,0
ACHIEVEMENT_SCENARIO_05_WIN_JAPAN,0,0
