apiname,achieved,unlock_time
ACHIEVEMENT_0_1,1,1541837378
ACHIEVEMENT_0_2,1,1541837452
ACHIEVEMENT_0_3,1,1541837515
ACHIEVEMENT_0_4,1,1541837608
ACHIEVEMENT_0_5,1,1541837658
ACHIEVEMENT_0_6,1,1541837707
ACHIEVEMENT_0_7,1,1541837790
ACHIEVEMENT_0_8,1,1541837974
ACHIEVEMENT_0_9,1,1541838114
ACHIEVEMENT_0_10,1,1541839541
ACHIEVEMENT_0_11,1,1541839755
ACHIEVEMENT_0_12,1,1541839929
ACHIEVEMENT_0_13,1,1541840184
ACHIEVEMENT_0_14,1,1541840464
ACHIEVEMENT_0_15,1,1541892506
ACHIEVEMENT_0_16,1,1542802924
ACHIEVEMENT_0_17,1,1542804200
ACHIEVEMENT_0_18,1,1544629383
ACHIEVEMENT_0_19,1,1544630546
ACHIEVEMENT_0_20,1,1544631279
ACHIEVEMENT_1_1,1,1544631305
ACHIEVEMENT_1_2,1,1544631576
ACHIEVEMENT_1_3,1,1544632243
ACHIEVEMENT_1_4,1,1544634096
ACHIEVEMENT_1_5,1,1544650677
ACHIEVEMENT_1_6,1,1544652947
ACHIEVEMENT_1_7,1,1546126345
ACHIEVEMENT_1_8,1,1546289771
ACHIEVEMENT_1_9,1,1546445732
ACHIEVEMENT_1_10,1,1546453377
ACHIEVEMENT_1_11,1,1546463436
ACHIEVEMENT_1_12,1,1546549523
ACHIEVEMENT_1_13,1,1546617312
ACHIEVEMENT_1_14,1,1546632916
ACHIEVEMENT_1_15,1,1546723371
ACHIEVEMENT_1_16,1,1547423296
ACHIEVEMENT_1_17,1,1547468414
ACHIEVEMENT_1_18,1,1547632595
ACHIEVEMENT_1_19,1,1547658077
ACHIEVEMENT_1_20,1,1550522808
ACHIEVEMENT_2_1,1,1546811086
ACHIEVEMENT_2_2,1,1546811252
ACHIEVEMENT_2_3,1,1546811343
ACHIEVEMENT_2_4,1,1546811538
ACHIEVEMENT_2_5,1,1546812127
ACHIEVEMENT_2_6,1,1547499273
ACHIEVEMENT_2_7,1,1547499785
ACHIEVEMENT_2_8,1,1547500420
ACHIEVEMENT_2_9,1,1547818314
ACHIEVEMENT_2_10,1,1547819868
ACHIEVEMENT_2_11,1,1547835564
ACHIEVEMENT_2_12,1,1547836213
ACHIEVEMENT_2_13,1,1547837487
ACHIEVEMENT_2_14,1,1547996567
ACHIEVEMENT_2_15,1,1550524998
ACHIEVEMENT_2_16,1,1550525595
ACHIEVEMENT_2_17,1,1550527191
