apiname,achieved,unlock_time
Achievement_1,1,1357654890
Achievement_2,1,1358462108
Achievement_3,1,1358547675
Achievement_4,1,1359150729
Achievement_5,1,1358265071
Achievement_6,1,1358520028
Achievement_7,1,1358459190
Achievement_8,1,1358888100
Achievement_9,1,1359144932
Achievement_10,1,1359065973
Achievement_11,1,1359150730
Achievement_12,1,1359204427
Achievement_13,1,1358376033
Achievement_14,1,1358199846
Achievement_15,1,1358284180
Achievement_16,1,1358462097
Achievement_17,1,1358893019
Achievement_18,1,1359411763
Achievement_19,1,1358199606
Achievement_20,1,1358369002
Achievement_21,1,1358457388
Achievement_22,1,1359060470
Achievement_23,1,1358771185
Achievement_24,1,1358805866
Achievement_25,1,1359147674
Achievement_26,1,1359149579
Achievement_27,1,1361307881
Achievement_28,1,1358357902
Achievement_29,1,1358269198
Achievement_30,1,1358875385
Achievement_31,1,1358363071
Achievement_32,1,1358198204
Achievement_33,1,1358280286
Achievement_34,1,1358280827
Achievement_35,1,1358281816
Achievement_36,1,1358459190
Achievement_37,1,1358196166
Achievement_38,1,1358801642
Achievement_39,1,1358802581
Achievement_40,1,1358280286
Achievement_41,1,1358713983
Achievement_42,1,1358449019
Achievement_43,1,1358351356
Achievement_44,1,1358286983
Achievement_45,1,1358460009
Achievement_46,1,1359147741
Achievement_47,1,1358200657
Achievement_48,1,1358352713
Achievement_49,1,1358777384
Achievement_50,1,1358776795
Achievement_51,1,1359925481
Achievement_52,1,1360096785
Achievement_53,1,1360100269
Achievement_54,1,1360100367
Achievement_55,1,1360097691
Achievement_56,1,1360360849
Achievement_57,1,1360955175
Achievement_58,1,1361211824
Achievement_59,1,1360879372
Achievement_60,1,1361211824
Achievement_61,1,1359153456
Achievement_62,1,1359413134
Achievement_63,1,1359581625
Achievement_64,1,1361570683
Achievement_65,1,1359580454
Achievement_66,1,1359406939
Achievement_67,1,1361310159
Achievement_68,1,1361567329
Achievement_69,1,1361571107
Achievement_70,1,1359660253
Achievement_71,1,1360275036
Achievement_72,1,1360272120
Achievement_73,1,1360272570
Achievement_74,1,1360272359
Achievement_75,1,1360273027
Achievement_76,1,1360358721
Achievement_79,1,1360704634
Achievement_77,1,1360773682
Achievement_78,1,1360773807
Achievement_80,1,1360775070
