apiname,achieved,unlock_time
completeUSWA,1,1543174589
reg84048001,1,1543171902
reg84048003,1,1543174086
reg84048005,1,1543002845
reg84048007,1,1543105714
reg84048009,1,1542550613
reg84048011,1,1542827317
reg84048013,1,1543171480
reg84048015,1,1542742294
reg84048017,1,1543105828
reg84048019,1,1543153425
reg84048021,1,1543101794
reg84048023,1,1543168677
reg84048025,1,1543148693
reg84048027,1,1542482181
reg84048029,1,1542568138
reg84048031,1,1542499657
reg84048033,1,1542478231
reg84048035,1,1542470997
reg84048037,1,1542914448
reg84048039,1,1542840342
reg84048041,1,1542469372
reg84048043,1,1543149348
reg84048045,1,1542470491
reg84048047,1,1543145942
reg84048049,1,1542476797
reg84048051,1,1543155681
reg84048053,1,1542469294
reg84048055,1,1542569461
reg84048057,1,1542581671
reg84048059,1,1542827727
reg84048061,1,1542566519
reg84048063,1,1543169027
reg84048065,1,1543163957
reg84048067,1,1542470059
reg84048069,1,1542474204
reg84048071,1,1543174588
reg84048073,1,1542654068
reg84048075,1,1543173723
reg84048077,1,1543001390
USWAmodCompleteMailbox5,1,1539957276
USWAmodCompleteMailbox10,1,1539986117
USWAmodCompleteMailbox20,1,1539986468
USWAmodCompleteMailbox50,1,1539988885
USWAmodCompleteMailbox100,1,1540026612
USWAmodCompleteMailbox200,1,1540047798
USWAmodCompleteMailbox500,1,1540080494
USWAmodCompleteMailbox1000,1,1540158155
USWAmodCompleteMailbox2000,1,1540838973
USWAmodCompleteMailbox5000,1,1541014200
USWAmodCompleteMailbox10000,1,1541548225
USWAmodCompleteMailboxAll,1,1541804455
USWAmodCompleteTowns5,1,1540572531
USWAmodCompleteTowns10,1,1540940343
USWAmodCompleteTowns20,1,1541807205
USWAmodCompleteTowns50,1,1541849523
USWAmodCompleteTowns100,1,1541935894
USWAmodCompleteTowns200,1,1542224242
USWAmodCompleteTowns500,1,1543101980
USWAmodCompleteRoads5,1,1539958611
USWAmodCompleteRoads10,1,1539959555
USWAmodCompleteRoads20,1,1539964434
USWAmodCompleteRoads50,1,1539988197
USWAmodCompleteRoads100,1,1540045017
USWAmodCompleteRoads200,1,1540118220
USWAmodCompleteRoads500,1,1540243048
USWAmodCompleteRoads1000,1,1540454290
USWAmodCompleteRoads2000,1,1540756836
5808276,1,1543001819
5811456,1,1541849988
USWAmodCompleteRoadsAll,1,1540765176
USWAmodCompleteInds5,1,1540142173
USWAmodCompleteInds10,1,1540244562
USWAmodCompleteInds20,1,1540568862
USWAmodCompleteInds50,1,1540987912
USWAmodCompleteInds100,1,1541078412
contract84048050,1,1540047999
contract84048051,1,1540493291
contract84048052,1,1540686406
contract84048053,1,1540852886
5809844,1,1541808179
5811696,1,1543167408
5812944,1,1541849177
5814616,1,1542743002
5786882,1,1541937180
5799625,1,1540509303
5793933,1,1542558896
5808189,1,1542389314
5794245,1,1541809982
5811729,1,1543165360
5816605,1,1542914592
5799841,1,1541936306
5786899,1,1542582090
5799610,1,1543002558
5785965,1,1541810511
5806298,1,1543002503
5802570,1,1542551015
5808079,1,1541940593
5800420,1,1541847958
5810301,1,1541002614
completeTV,1,1580249662
reg798001,1,1580249002
reg798002,1,1580249662
reg798003,1,1580216997
reg798004,1,1580248360
reg798005,1,1580249424
reg798006,1,1580239977
reg798007,1,1580216997
reg798008,1,1580218519
TVmodCompleteTowns5,1,1580216997
TVmodCompleteTowns10,1,1580216997
TVmodCompleteTowns20,1,1580248361
TVmodCompleteMailbox5,1,1580216997
TVmodCompleteMailbox10,1,1580216997
TVmodCompleteMailbox20,1,1580216997
TVmodCompleteMailbox50,1,1580220937
TVmodCompleteMailboxAll,1,1580251537
TVmodCompleteRoads5,1,1580216997
TVmodCompleteRoads10,1,1580216997
TVmodCompleteRoadsAll,1,1580248654
TVmodCompleteInds5,1,1580216997
TVmodCompleteInds10,1,1580216997
2110394,1,1580216996
7602506,1,1580216996
7602508,1,1580216996
7602507,1,1580216996
7602373,1,1580216996
completeSR,1,1580946565
state254000,1,1580855622
reg740000,1,1580946564
SRmodCompleteTowns5,1,1580748434
SRmodCompleteTowns10,1,1580820927
SRmodCompleteTowns20,1,1580865742
SRmodCompleteMailbox5,1,1580251649
SRmodCompleteMailbox10,1,1580251649
SRmodCompleteMailbox20,1,1580251649
SRmodCompleteMailbox50,1,1580251649
SRmodCompleteMailbox100,1,1580251649
SRmodCompleteMailbox200,1,1580251649
SRmodCompleteMailbox500,1,1580251649
SRmodCompleteMailbox1000,1,1580251649
SRmodCompleteMailbox2000,1,1580777079
SRmodCompleteMailbox5000,1,1581292741
SRmodCompleteMailboxAll,1,1581519144
SRmodCompleteRoads5,1,1580251649
SRmodCompleteRoads10,1,1580251649
SRmodCompleteRoads20,1,1580251649
SRmodCompleteRoads50,1,1580251649
SRmodCompleteRoads100,1,1580251649
SRmodCompleteRoads200,1,1580251649
SRmodCompleteRoads500,1,1580251649
SRmodCompleteRoadsAll,1,1580919752
3382160,1,1580734717
3384792,1,1580838129
3382783,1,1580915773
3383570,1,1580897240
3383434,1,1580251639
3383494,1,1580844538
3383427,1,1580946565
3384482,1,1580251636
3383714,1,1580944453
3383330,1,1580251638
completeUSTX,0,0
USTXcompletePanhandle,0,0
USTXcompleteNorthTexas,0,0
USTXcompleteEastTexas,0,0
USTXcompleteUpperGulfCoast,0,0
USTXcompleteSouthTexas,1,1580606197
USTXcompleteWestTexas,0,0
USTXcompleteCentralTexas,0,0
reg840441295,0,0
reg840442085,0,0
reg840442113,0,0
reg840442121,0,0
reg840442139,0,0
reg840442221,0,0
reg840442231,0,0
reg840442251,0,0
reg840442257,0,0
reg840442349,0,0
reg840442363,0,0
reg840442367,0,0
reg840442397,0,0
reg840442439,0,0
reg840442497,0,0
reg840442009,0,0
reg840442077,0,0
reg840442337,0,0
reg840442485,0,0
reg840442097,0,0
reg840442147,0,0
reg840442181,0,0
reg840443037,0,0
reg840443067,0,0
reg840443223,0,0
reg840443277,0,0
reg840443387,0,0
reg840443073,0,0
reg840443183,0,0
reg840443203,0,0
reg840443213,0,0
reg840443401,0,0
reg840443423,0,0
reg840443459,0,0
reg840443467,0,0
reg840443499,0,0
reg840443005,0,0
reg840443225,0,0
reg840443241,0,0
reg840443347,0,0
reg840443373,0,0
reg840443419,0,0
reg840443199,0,0
reg840443245,0,0
reg840443361,0,0
reg840444015,1,1580606197
reg840444039,1,1580606197
reg840444071,0,0
reg840444157,1,1580606197
reg840444167,0,0
reg840444201,1,1580606197
reg840444291,0,0
reg840444321,1,1580606197
reg840444339,0,0
reg840444473,1,1580606197
reg840444481,1,1580606197
reg840445013,1,1580606197
reg840445029,1,1580606197
reg840445091,1,1580606197
reg840445163,1,1580606197
reg840445187,1,1580606197
reg840445325,1,1580606197
reg840445239,1,1580606197
reg840445469,1,1580606197
reg840445025,1,1580606197
reg840445047,1,1580606197
reg840445131,1,1580606197
reg840445249,1,1580606197
reg840445355,1,1580606197
reg840445391,1,1580606197
reg840445409,1,1580606197
reg840445061,1,1580606197
reg840445215,1,1580606197
reg840445489,1,1580606197
reg840445247,1,1580606197
reg840445427,1,1580606197
reg840445479,1,1580606197
reg840445505,1,1580606197
reg840445127,1,1580606197
reg840445323,1,1580606197
reg840445463,1,1580606197
reg840445465,1,1580606197
reg840445507,1,1580606197
reg840446475,0,0
reg840446043,0,0
reg840446141,0,0
reg840446189,0,0
reg840446219,0,0
reg840446279,0,0
reg840446303,0,0
reg840446049,0,0
reg840446133,0,0
reg840446207,0,0
reg840446441,0,0
reg840447041,0,0
reg840447185,0,0
reg840447289,0,0
reg840447395,0,0
reg840447021,1,1580606197
reg840447053,0,0
reg840447055,1,1580606197
