apiname,achieved,unlock_time
ACHIVE_RESPECT_V,0,0
ACHIVE_LEVEL_99,1,1633441326
ACHIVE_MISSION_50,1,1647328417
ACHIVE_MAXCOMBO_500,1,1633515065
ACHIVE_ACCUMULATE_300,1,1633781658
ACHIVE_FREESTYLE_999999,1,1633613887
ACHIVE_ALL_SONG_CLEAR,1,1633629940
ACHIVE_PERFECT_PLAY,1,1634313460
ACHIVE_MORE_COMBO_10000,1,1635950031
ACHIVE_LADDER_DRAW,1,1715854324
ACHIVE_MASTER_SCORE_80,1,1633612581
ACHIVE_LEVEL_50,1,1633192098
ACHIVE_MISSION_30,1,1636764065
ACHIVE_MAXCOMBO_300,1,1633331389
ACHIVE_ACCUMULATE_200,1,1633537383
ACHIVE_AIR_MESSAGE_10,1,1633716003
ACHIVE_10OVER_50,1,1635853029
ACHIVE_MASTER_SCORE_40,1,1633237154
ACHIVE_777,1,1635921089
ACHIVE_ALL_HIDDEN_BGA,1,1633761653
ACHIVE_SRANK_100,1,1633181537
ACHIVE_GOLD_GRADE,1,1645718555
ACHIVE_OPEN_ALL_MAXCOMBO,1,1662207935
ACHIVE_OPEN_100,0,0
ACHIVE_OPEN_1st,1,1662207711
ACHIVE_HOST,1,1662212483
ACHIVE_ALPHAGO_WIN,1,1634397985
ACHIVE_10OVER_30,1,1635597002
ACHIVE_NB_MOVIE,1,1633710406
ACHIVE_LEVEL_10,1,1633107480
ACHIVE_MISSION_10,1,1633107480
ACHIVE_MAXCOMBO_100,1,1633181389
ACHIVE_ACCUMULATE_100,1,1633316793
ACHIVE_SILVER_GRADE,1,1635868172
ACHIVE_FREESTYLE_100000,1,1633192396
ACHIVE_GEAR_10,1,1633095064
ACHIVE_NOTE_10,1,1633095064
ACHIVE_IMAGE_100,1,1633237982
ACHIVE_COMMENT_50,1,1633416954
ACHIVE_10OVER_10,1,1633784811
ACHIVE_MORE_COMBO_5000,1,1633355242
ACHIVE_PLATE_30,1,1633183349
ACHIVE_BRONZE_GRADE,1,1635868172
ACHIVE_HIDDEN_BGA,1,1633183556
ACHIVE_BREAK_1,1,1633096466
ACHIVE_FAIL,1,1633107664
ACHIVE_LADDER,1,1633707877
ACHIVE_AIR_COMMENT,1,1633108072
ACHIVE_AIR,1,1633107716
ACHIVE_AIR_HEART,1,1633107935
ACHIVE_AIR_FAVORITE_SONG,1,1633716466
ACHIVE_CREDIT,1,1633717435
ACHIVE_V_ALL_S,1,1634107354
ACHIVE_V_MAXCOMBO_50,1,1633537383
ACHIVE_V_STARLIGHT_MISSION,1,1673800160
ACHIVE_V_ICY_MISSION,1,1675697905
ACHIVE_V_DREAMIT,1,1633716991
ACHIVE_V_IMAGE_10,1,1633247511
ACHIVE_V_PLATE_3,1,1633249348
ACHIVE_V_COMMENT,1,1633717927
ACHIVE_V_SC_MAXCOMBO,1,1637336704
ACHIVE_TR_ALL_S,1,1633759112
ACHIVE_TR_SOMEDAY,1,1662207935
ACHIVE_TR_ANGEL,1,1662211423
ACHIVE_TR_UI_SKIN,1,1633671709
ACHIVE_TR_RESPECT_U,1,1662053669
ACHIVE_TR_FAVORITE,1,1633258040
ACHIVE_TR_HIDDEN_BGA,1,1633759913
ACHIVE_GC_ALL_S,1,1633763814
ACHIVE_GC_PLATE,1,1635516371
ACHIVE_GC_BLIND,1,1635950396
ACHIVE_CE_ALL_S,1,1635509049
ACHIVE_CE_ES,1,1641791522
ACHIVE_CE_FIRST_KISS,1,1635500694
ACHIVE_CE_ALL_PATTERN,1,1635825982
ACHIVE_CE_LIVE,1,1682929919
ACHIVE_CE_CLAZZI,1,1635508913
ACHIVE_CE_CE_BGA,1,1635444009
ACHIVE_CE_STYLE,1,1635486373
ACHIVE_CE_METRO,1,1662211592
ACHIVE_BS_ALL_S,1,1635511746
ACHIVE_BS_MAXCOMBO_100,1,1635822879
ACHIVE_BS_FERMION,1,1635578197
ACHIVE_BS_RD,1,1662272979
ACHIVE_BS_SC,1,1637337163
