apiname,achieved,unlock_time
1_0_LIFE_STORY,1,1619621946
1_1_JUST_GETTING_STARTED,1,1605863148
1_2_BALAHOS_MOST_WANTED,1,1605886991
1_3_THE_ONE_PERCENT,1,1605907391
1_4_SPOILSPORT,1,1605921043
1_5_GOING_BANANAS,1,1606020788
1_6_HUNTERS_HUNTED,1,1607528828
1_7_CHECKMATE,1,1613358712
1_8_I_WAS_WONDERING_WHAT_WOULD_BREAK_FIRST,1,1610448411
1_9_PEST_CONTROL,1,1609104645
1_10_THANKS_A_KILLION,1,1611539855
1_11_MEDAL_COMPLETIONIST,1,1611158956
1_12_THE_GUARDIANS_ARE_COMING,1,1606032800
1_13_BITE_THE_HAND,1,1605900952
1_14_MYSTERY_ACHIEVEMENT,1,1617696813
1_15_WHERE_AM_I?,1,1605893011
1_16_I_GOT_THIS,1,1607293781
1_17_TEMPERED_BLADE,1,1607096168
1_18_FORGED_IN_FIRE,1,1610131015
1_19_SAMPLE_PLATE,1,1619524980
1_20_I_DABBLE_IN_SLAYING,1,1617877055
1_21_STICK_WITH_IT_A_LITTLE_LONGER,1,1616754445
1_22_VETERAN,1,1612165506
1_23_WAR_HERO,1,1616473829
1_24_LEGEND,1,1618313038
1_25_LORE_MASTER,1,1619478957
1_26_YOUR_JOURNEY_BEGINS,1,1605583647
1_27_LASO_MASTER,1,1619899896
1_28_PILLAR_OF_AUTUMN,1,1605623599
1_29_HALO,1,1606748018
1_30_TRUTH_AND_RECONCILIATION,1,1606761599
1_31_THE_SILENT_CARTOGRAPHER,1,1606771887
2_0_ASSAULT_ON_THE_CONTROL_ROOM,1,1606809578
2_1_343_GUILTY_SPARK,1,1606816616
2_2_THE_LIBRARY,1,1605793824
2_3_TWO_BETRAYALS,1,1607247594
2_4_KEYES,1,1607251389
2_5_THE_MAW,1,1607288769
2_6_DIDNT_LIKE_THIS_SHIP_ANYWAYS,1,1608194238
2_7_FLYOVER_COUNTRY,1,1618274846
2_8_YOU_CANT_HANDLE_THE_TRUTH,1,1609428717
2_9_HIT_THE_BEACH,1,1617727071
2_10_WOULD_ITVE_KILLED_YOU_TO_TAKE_THE_ELEVATOR,1,1618664546
2_11_LIGHTNING_IN_A_BOTTLE,1,1617899938
2_12_TLDR,1,1615708796
2_13_WHISTLE_STOP_TOUR,1,1619021149
2_14_SCURTY_BUMP,1,1617214667
2_15_ALL_YOU_CAN_EAT,1,1618622390
2_16_DID_SOMEBODY_SAY,1,1619176841
2_17_PILLAR_OF_AWESOME,1,1610812193
2_18_GIANT_HULA_HOOP,1,1612697468
2_19_YOU_REALLY_CANT_HANDLE_THE_TRUTH,1,1611437059
2_20_CHARTED,1,1615307262
2_21_VETRO_STRIKE,1,1612177377
2_22_CIRCUIT_BREAKER,1,1615716009
2_23_READING_ROOM,1,1606898748
2_24_IT_WAS_INEVITABLE,1,1616231872
2_25_HEADSTRONG,1,1615708796
2_26_CONSUMPTION_JUNCTION,1,1617190979
2_27_OVERACHIEVER,1,1619448667
2_28_ARRIVAL,1,1610446810
2_29_SACRIFICE,1,1607804737
2_30_SPLINTERS,1,1607859696
2_31_IDLE_HANDS,1,1608222785
3_0_HITCHHIKERS_MAY_BE_ESCAPING_CONVICTS,1,1610438699
3_1_BEARLY_CONTAINED,1,1615396823
3_2_QUIS_CUSTODIET_IPSOS_CUSTODES,1,1612828652
3_3_MEMORIES,1,1611092128
3_4_MIND_GAMES,1,1610211533
3_5_KILOTONS_OF_FUN,1,1609289701
3_6_DEAR_DIARY,1,1617228890
3_7_SKULLTAKER_HALO_CE_IRON,1,1611246920
3_8_SKULLTAKER_HALO_CE_MYTHIC,1,1610626915
3_9_SKULLTAKER_HALO_CE_BOOM,1,1612875092
3_10_SKULLTAKER_HALO_CE_FOREIGN,1,1610708500
3_11_SKULLTAKER_HALO_CE_FAMINE,1,1611000436
3_12_SKULLTAKER_HALO_CE_BANDANA,1,1616047785
3_13_SKULLTAKER_HALO_CE_FOG,1,1616569811
3_14_SKULLTAKER_HALO_CE_MALFUNCTION,1,1616037064
3_15_SKULLTAKER_HALO_CE_RECESSION,1,1613050977
3_16_SKULLTAKER_HALO_CE_BLACK_EYE,1,1616577199
3_17_SKULLTAKER_HALO_CE_EYE_PATCH,1,1612878674
3_18_SKULLTAKER_HALO_CE_PINATA,1,1616516132
3_19_SKULLTAKER_HALO_CE_GRUNT_BIRTHDAY_PARTY,1,1611161278
3_20_HEADHUNTER,1,1617462169
3_21_BIRTH_OF_A_SPARTAN,1,1608001465
3_22_BELIEVE_IN_A_HERO,1,1609445184
3_23_LIVING_LEGEND,1,1611697215
3_24_OVERSHIELDS_ARE_FOR_SISSIES,1,1611966172
3_25_WALK_IT_OFF,1,1615393853
3_26_HOW_PEDESTRIAN,1,1618347564
3_27_THAT_JUST_HAPPENED,1,1619300822
3_28_LOOK_OUT_FOR_THE_LITTLE_GUYS,1,1619590235
3_29_LEAVE_IT_WHERE_IT_LAY,1,1619414390
3_30_TYING_UP_LOOSE_ENDS,1,1619372980
3_31_A_FINE_CHOICE,1,1617450247
4_0_EXCELLENT_TASTE,1,1619444459
4_1_LIKE_A_FINE_WINE,1,1619824150
4_2_YOU_ARE_THE_WEAPON,1,1608370378
4_3_MADRIGAL_DEBUT,1,1618535512
4_4_MY_BUDDY_CHIPS,1,1605614096
