apiname,achieved,unlock_time
ACHIEVEMENT_KILL_DREDMOR_EASY,1,1383949895
ACHIEVEMENT_KILL_DREDMOR_MEDIUM,1,1614051905
ACHIEVEMENT_KILL_DREDMOR_HARD,1,1614050007
ACHIEVEMENT_DEATH_BY_DIGGLE,1,1310669902
ACHIEVEMENT_DEATH_BY_SICKLY_DIGGLE,1,1310668459
ACHIEVEMENT_DEATH_BY_DIGGLE_COMMANDO,1,1614162050
ACHIEVEMENT_DEATH_BY_ARCH_DIGGLE,1,1325441595
ACHIEVEMENT_CRASH_GAME,1,1312048033
ACHIEVEMENT_ORNITHOLOGIST,1,1311119872
ACHIEVEMENT_HMS_DEAGLE,1,1311123676
ACHIEVEMENT_WAY_OF_THE_DODO,1,1311811980
ACHIEVEMENT_PENITENT_MAN,1,1311187663
ACHIEVEMENT_HE_CHOOSE_POORLY,1,1311189277
ACHIEVEMENT_GUESS_WHOS_COMING_TO_DINNER,1,1311291468
ACHIEVEMENT_BLOODY_MESS,1,1311811998
ACHIEVEMENT_MAKE_THIS,1,1311120767
ACHIEVEMENT_HE_WHO_SMELT_IT,1,1311184870
ACHIEVEMENT_PERSONAL_PROTECTION,1,1311716994
ACHIEVEMENT_TIME_CUBE,1,1319676885
ACHIEVEMENT_ITS_MY_DUNGEON,1,1614637839
ACHIEVEMENT_KILL_DREDMOR_EASY_PERMADEATH,1,1383949895
ACHIEVEMENT_KILL_DREDMOR_MEDIUM_PERMADEATH,1,1614051905
ACHIEVEMENT_KILL_DREDMOR_HARD_PERMADEATH,1,1614050007
ACHIEVEMENT_DEATH_BY_THRUSTY,1,1614050510
ACHIEVEMENT_SWORD_MASTERY,1,1365191657
ACHIEVEMENT_AXE_MASTERY,1,1425835370
ACHIEVEMENT_MACE_MASTERY,1,1425425526
ACHIEVEMENT_STAFF_MASTERY,1,1363106985
ACHIEVEMENT_BOW_MASTERY,1,1319390378
ACHIEVEMENT_THROWN_MASTERY,1,1425469616
ACHIEVEMENT_UNARMED_MASTERY,1,1319552241
ACHIEVEMENT_DUAL_WIELD_MASTERY,1,1311188010
ACHIEVEMENT_SHIELD_MASTERY,1,1425422386
ACHIEVEMENT_BERSERKER_MASTERY,1,1311959163
ACHIEVEMENT_DODGE_MASTERY,1,1312824369
ACHIEVEMENT_MASTER_OF_ARMS_MASTERY,1,1425839494
ACHIEVEMENT_VAMPIRE_MASTERY,1,1311788353
ACHIEVEMENT_GOLEMANCY_MASTERY,1,1477403997
ACHIEVEMENT_FLESHSMITHING_MASTERY,1,1614054640
ACHIEVEMENT_MATHEMAGIC_MASTERY,1,1614055524
ACHIEVEMENT_PSIONICS_MASTERY,1,1362946621
ACHIEVEMENT_NECRONOMICONOMICS_MASTERY,1,1614055887
ACHIEVEMENT_VIKING_WIZARD_MASTERY,1,1343761655
ACHIEVEMENT_ASTROLOGY_MASTERY,1,1477406113
ACHIEVEMENT_PROMETHEAN_MASTERY,1,1481840863
ACHIEVEMENT_MAGIC_TRAINING_MASTERY,1,1316808823
ACHIEVEMENT_BLOOD_MAGIC_MASTERY,1,1446849670
ACHIEVEMENT_LEY_LINES_MASTERY,1,1369012893
ACHIEVEMENT_PERCEPTION_MASTERY,1,1311280777
ACHIEVEMENT_BURGLARY_MASTERY,1,1344033856
ACHIEVEMENT_ASSASSINATION_MASTERY,1,1311192303
ACHIEVEMENT_FUNGUS_MASTERY,1,1477411082
ACHIEVEMENT_ALCHEMY_MASTERY,1,1477411829
ACHIEVEMENT_ARCHAEOLOGY_MASTERY,1,1481840424
ACHIEVEMENT_SMITHING_MASTERY,1,1343750279
ACHIEVEMENT_TINKERING_MASTERY,1,1311288745
ACHIEVEMENT_DEATH_BY_DOOR,1,1311593836
ACHIEVEMENT_DEATH_BY_ENRAGED_DIGGLE,1,1316810066
ACHIEVEMENT_REALLY_TINKERING_MASTERY,1,1339962443
ACHIEVEMENT_HIGH_CHOLESTEROL,1,1446849734
ACHIEVEMENT_DEATH_BY_BRAX,1,1340399288
ACHIEVEMENT_ACCIDENTS_HAPPEN,1,1333753879
ACHIEVEMENT_DEATH_BY_DREAD_COLLECTOR,1,1333753908
ACHIEVEMENT_FRUIT,1,1614167203
ACHIEVEMENT_LUTEFISK,1,1317672499
ACHIEVEMENT_PORK_SWORD,1,1614533014
ACHIEVEMENT_CANADIAN_PRIDE,1,1614611563
ACHIEVEMENT_DUBIOUS_ID,1,1614641369
ACHIEVEMENT_KRONG_HATES_YOU,1,1363105463
ACHIEVEMENT_DEATH_BY_THAUMITES,1,1339613907
ACHIEVEMENT_SURVIVE_THAUMITES,1,1319395034
ACHIEVEMENT_ROOT_OF_TCHAR,1,1324073440
ACHIEVEMENT_KLEPTOMANIA,1,1614214143
ACHIEVEMENT_DONT_DRINK_THE_WATER,1,1614631004
ACHIEVEMENT_TASTE_THE_RAINBOW,1,1317668899
ACHIEVEMENT_DOUBLE_RAINBOW,1,1343768253
ACHIEVEMENT_WEAK_KUNG_FU,1,1319554052
ACHIEVEMENT_NORMANDY,1,1315418241
ACHIEVEMENT_SIR_MIXALOT,1,1477410959
ACHIEVEMENT_TWO_KRONGS_DONT_MAKE_A_RIGHT,1,1315425169
ACHIEVEMENT_MONSTERS_WITH_OMELETTES,1,1614636237
ACHIEVEMENT_NOTHING_TO_SEE_HERE,1,1340988480
