apiname,achieved,unlock_time
Prk_Can_Exploration,1,1324685338
Prk_Can_Graveyard,1,1324685338
Prk_Can_History,1,1324687303
Prk_Can_Reveal,1,1323278207
Prk_Damage_Dealt_R3,0,0
Prk_Damage_Taken_R3,0,0
Prk_Des_Explore,1,1321900112
Prk_Des_Graveyard,1,1321900111
Prk_Des_History,1,1321957772
Prk_Des_Reveal,1,1321870704
Prk_Healing_Dealt_R3,0,0
Prk_Kill_Aquaticlem_R3,0,0
Prk_Kill_Argent_R3,1,1333472245
Prk_Kill_B17robots_R3,0,0
Prk_Kill_Bleakmin_R3,0,0
Prk_Kill_Burnghost_R3,1,1333198789
Prk_Kill_Contamwild_R3,1,1339440660
Prk_Kill_Cowboyrobo_R3,1,1334182882
Prk_Kill_Cultredban_R3,1,1326585434
Prk_Kill_Demon_R3,1,1356356353
Prk_Kill_Demons_R3,0,0
Prk_Kill_Drdestrorobo_R3,1,1360872538
Prk_Kill_Elderworm_R3,0,0
Prk_Kill_Empconstruct_R3,0,0
Prk_Kill_Escapedpris_R3,1,1326493603
Prk_Kill_Evilspirits_R3,0,0
Prk_Kill_Firedemon_R3,1,1356089386
Prk_Kill_Foxbot_R3,1,1330262269
Prk_Kill_Gadroon_R3,1,1364771642
Prk_Kill_Gangblackace_R3,1,1325979771
Prk_Kill_Gangcobra_R3,1,1326569355
Prk_Kill_Gangmaniacs_R3,1,1326410749
Prk_Kill_Gangnewpurp_R3,1,1326913696
Prk_Kill_Greatdemon_R3,0,0
Prk_Kill_Hunterpat_R3,1,1325530660
Prk_Kill_Irradiates_R3,1,1322141041
Prk_Kill_Karkaradon_R3,0,0
Prk_Kill_Lemurians_R3,0,0
Prk_Kill_Lemuriansub_R3,1,1360452874
Prk_Kill_Mananimalhyb_R3,1,1335028324
Prk_Kill_Monsthatchling_R3,0,0
Prk_Kill_Netherdemon_R3,0,0
Prk_Kill_Objects_R3,0,0
Prk_Kill_Pets_R3,0,0
Prk_Kill_Pirateghosts_R3,0,0
Prk_Kill_Prisoners_R3,1,1343690492
Prk_Kill_Prisonguards_R3,1,1343688306
Prk_Kill_Psi_R3,0,0
Prk_Kill_Qularr_R3,1,1358720580
Prk_Kill_Sasquachcor_R3,1,1342431343
Prk_Kill_Seacreatures_R3,0,0
Prk_Kill_Teleioclones_R3,0,0
Prk_Kill_Viper_R3,1,1328922035
Prk_Lem_Exploration,0,0
Prk_Lem_Graveyard,0,0
Prk_Lem_History,0,0
Prk_Lem_Masterdiver,0,0
Prk_Lem_Reveal,1,1360453763
Prk_Lem_Riftrunner,0,0
Prk_Lem_Trumping_The_Shark,0,0
Prk_Lore_Crownskrim_Loremaster,0,0
Prk_Lore_Destroyer_Loremaster,0,0
Prk_Lore_Edom_Loremaster,0,0
Prk_Lore_Istvatha_Loremaster,1,1330297572
Prk_Lore_Mechanon_Loremaster,1,1366150505
Prk_Lore_Teleios_Loremaster,1,1358879831
Prk_Lore_Viper_Loremaster,0,0
Prk_Mil_Bullet_For_Biselle,1,1326586128
Prk_Mil_Desdroids_Rise_Again,1,1322205910
Prk_Mil_Explore,1,1320705511
Prk_Mil_History,1,1320595363
Prk_Mil_Jailbreak,1,1320581004
Prk_Mil_Respawn,1,1320705510
Prk_Mil_Reveal,1,1320594255
Prk_Mon_Explore,1,1334511962
Prk_Mon_Graveyard,1,1334511961
Prk_Mon_History,1,1356397467
Prk_Mon_Reveal,1,1333492304
Prk_Nem_Kill_Aliens_R3,1,1364925208
Prk_Nem_Kill_Convicts_R3,0,0
Prk_Nem_Kill_Cowboys_R3,0,0
Prk_Nem_Kill_Demons_R3,0,0
Prk_Nem_Kill_Infernals_R3,0,0
Prk_Nem_Kill_Insectoid_R3,1,1363653741
Prk_Nem_Kill_Lizardmen_R3,0,0
Prk_Nem_Kill_Ninja_R3,1,1326594966
Prk_Nem_Kill_Pirates_R3,1,1356310571
Prk_Nem_Kill_Robots_R3,0,0
Prk_Nem_Kill_Soldiers_R3,1,1333928493
Prk_Nem_Kill_Thugs_R3,0,0
Prk_Nem_Kill_Undead_R3,1,1330299779
Prk_Pvp_Bash_R3,0,0
Prk_Pvp_Bash_R4,0,0
Prk_Pvp_Damage_R3,0,0
Prk_Pvp_Damage_R4,0,0
Prk_Pvp_Games_R3,1,1333984070
Prk_Pvp_Games_R4,0,0
Prk_Pvp_Healing_R3,0,0
Prk_Pvp_Healing_R4,0,0
Prk_Pvp_Injury_R3,0,0
Prk_Pvp_Injury_R4,0,0
Prk_Pvp_Kills_R3,1,1334176982
Prk_Pvp_Kills_R4,0,0
Prk_Pvp_Stronghold_Npcs_R3,1,1328481303
Prk_Pvp_Stronghold_Npcs_R4,1,1359669665
Prk_Pvp_Stronghold_R3,1,1333130378
Prk_Pvp_Stronghold_R4,1,1383230862
Prk_Pvp_Utc_R3,0,0
Prk_Pvp_Utc_R4,0,0
Prk_Pvp_Wins_R3,0,0
Prk_Pvp_Wins_R4,0,0
Prk_Sig_Kill_Armadillo,1,1323631838
Prk_Sig_Kill_Ascii_Oakley,1,1321703184
Prk_Sig_Kill_Black_Talon,1,1311249372
Prk_Sig_Kill_Bleakelder,0,0
Prk_Sig_Kill_Bloodstone,1,1322243910
Prk_Sig_Kill_Bronze,0,0
Prk_Sig_Kill_Buster,1,1338326249
Prk_Sig_Kill_Buzzard,1,1321953767
Prk_Sig_Kill_Captain_Claw,0,0
Prk_Sig_Kill_Clyde_Von_Schoultz,1,1322999732
Prk_Sig_Kill_Darkmoon,1,1321870314
Prk_Sig_Kill_Diamondback,0,0
Prk_Sig_Kill_Director,1,1321627585
Prk_Sig_Kill_Dr_Demogaard,1,1334524873
Prk_Sig_Kill_Drdestroyer,1,1333754733
Prk_Sig_Kill_Drmoreau,1,1328314630
Prk_Sig_Kill_Eclipse,1,1323628438
Prk_Sig_Kill_Escapedqularr,1,1328824142
Prk_Sig_Kill_Ferd,1,1321443177
Prk_Sig_Kill_Foxbat,1,1321259418
Prk_Sig_Kill_Galeforce,1,1321899519
Prk_Sig_Kill_Giantdesbot,1,1333754720
Prk_Sig_Kill_Gigaton,1,1321459313
Prk_Sig_Kill_Grond,0,0
Prk_Sig_Kill_Hanging_Judge_Hensley,1,1321601287
Prk_Sig_Kill_Hyena,1,1327850357
Prk_Sig_Kill_Hyrg,0,0
Prk_Sig_Kill_Kevinpoe,1,1320683574
Prk_Sig_Kill_Khusor,1,1361315645
Prk_Sig_Kill_Kigatilik,0,0
Prk_Sig_Kill_Leech,1,1321533399
Prk_Sig_Kill_Leviathan,0,0
Prk_Sig_Kill_Lionel_Benjamin,1,1322929484
Prk_Sig_Kill_Major_Gertz,1,1321521461
Prk_Sig_Kill_Maw,0,0
Prk_Sig_Kill_Mechaniste,1,1323600445
Prk_Sig_Kill_Mechassassin,1,1323296499
Prk_Sig_Kill_Megalodon,0,0
Prk_Sig_Kill_Megaterak,1,1328832459
Prk_Sig_Kill_Menton,1,1328981696
Prk_Sig_Kill_Mindcontrolled,0,0
Prk_Sig_Kill_Mindslayer,1,1324777803
Prk_Sig_Kill_Neanderthal,1,1321880372
